SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
19501,EVENING WATCH,CHHHIN/2014/58480,26-11-2014,Hindi,Daily,MANOJ KOTHARI,MANOJ KOTHARI,Chhattisgarh,Raipur,View  registration details for EVENING WATCH (CHHHIN/2014/58480)
19502,EVENT OF WORLD,UPHIN/2015/62732,19-06-2015,Hindi,Weekly,PARVEZ,PARVEZ,Uttar Pradesh,Jaunpur,View  registration details for EVENT OF WORLD (UPHIN/2015/62732)
19503,EVENT REVIEW,UTTHIN/2013/56225,16-07-2014,Hindi,Monthly,ARTI GUSAIN,ARTI GUSAIN,Uttarakhand,Dehradun,View  registration details for EVENT REVIEW (UTTHIN/2013/56225)
19504,EVENTS,14368,01-01-1965,English,Weekly,OMPRAKASH KHURSHEED,1. K.G. ROHTAGI 2. O.P. PARASHAR 3.O.P. KHURSHEED 4. M.R. GUPTA 5. B. RAY,Delhi,New Delhi,View  registration details for EVENTS (14368)
19505,EVENTS 360,TELBIL/2013/51431,14-08-2013,"English, Telugu",Monthly,M. SHARATH BABU,M. SHARATH BABU,Telangana,Rangareddy,View  registration details for EVENTS 360 (TELBIL/2013/51431)
19506,EVENTS VENUES AND AVENUES,MAHENG/2009/31100,08-11-2012,English,Bimonthly (Once in two months),DEVANG N. SHETH,ADITYA MEDIA,Maharashtra,Mumbai,View  registration details for EVENTS VENUES AND AVENUES (MAHENG/2009/31100)
19507,EVER FRESH SAMACHAR,MPHIN/2010/36077,10-03-2011,Hindi,Weekly,RAVINDRAPAL SINGH BHATIA,RAVINDRAPAL SINGH BHATIA,Madhya Pradesh,Khargone,View  registration details for EVER FRESH SAMACHAR (MPHIN/2010/36077)
19508,EVER LATEST GENERAL KNOWLEDGE REFRESHER,49315,06-09-1989,English,Monthly,PRITAM SINGH BRIGHT,PRITAM SINGH BRIGHT,Delhi,New Delhi,View  registration details for EVER LATEST GENERAL KNOWLEDGE REFRESHER (49315)
19509,EVEREST,GUJGUJ/2011/38756,02-09-2011,Gujarati,Fortnightly,RAJESH DHIRAJLAL SHAH,RAJESH DHIRAJLAL SHAH,Gujarat,Ahmedabad,View  registration details for EVEREST (GUJGUJ/2011/38756)
19510,EVEREST NEWS,APTEL/2016/69312,11-11-2016,Telugu,Daily,BILLA SWARNA LATHA,BILLA SWARNA LATHA,Andhra Pradesh,Guntur,View  registration details for EVEREST NEWS (APTEL/2016/69312)
19511,EVEREST TIMES,UPHIN/1998/00104,21-01-2000,Hindi,Daily,ANIL KUMAR SHARMA,ANIL KUMAR SHARMA,Uttar Pradesh,Ghaziabad,View  registration details for EVEREST TIMES (UPHIN/1998/00104)
19512,EVEREST TIMES,58371,16-12-1993,Hindi,Weekly,,,,,View  registration details for EVEREST TIMES (58371)
19513,EVEREST VOICE,UPENG/2022/83957,24-04-2023,English,Daily,NEHA KULSHRESHTHA,NEHA KULSHRESHTHA,Uttar Pradesh,Lucknow,View  registration details for EVEREST VOICE (UPENG/2022/83957)
19514,EVEREST VOICE,UTTHIN/2013/53002,18-11-2013,Hindi,Monthly,PRERNA PATWAL,PRERNA PATWAL,Uttarakhand,Dehradun,View  registration details for EVEREST VOICE (UTTHIN/2013/53002)
19515,EVERGREEN,GUJGUJ/2012/48122,08-07-2013,Gujarati,Fortnightly,NAYANA J. CHANDARANA,CHANDARANA JITENDRA RAMNIKLAL,Gujarat,Bhavnagar,View  registration details for EVERGREEN (GUJGUJ/2012/48122)
19516,EVERGREEN,GUJHIN/2014/57545,01-10-2014,Hindi,Fortnightly,NAYANA J. CHANDARANA,JITENDRA RAMNIKLAL CHANDARANA,Gujarat,Bhavnagar,View  registration details for EVERGREEN (GUJHIN/2014/57545)
19517,EVERGREEN RACHANA,MAHENG/2012/41563,12-04-2012,English,Quarterly,PRADIP PRABHAKAR AMBERKAR,RACHANA SANSAD TRUST,Maharashtra,Mumbai,View  registration details for EVERGREEN RACHANA (MAHENG/2012/41563)
19518,EVERGREEN SANDESH,UPHIN/25/A4099,19-11-2025,Hindi,Daily,Brijesh Singh,EVERGREEN ADVERTISING PVT LTD,Uttar Pradesh,Lucknow,View  registration details for EVERGREEN SANDESH (UPHIN/25/A4099)
19519,EVERGREEN SANDESH,UPHIN/26/A3069,05-05-2026,Hindi,Monthly,Brijesh Singh,EVERGREEN ADVERTISING PVT LTD,Uttar Pradesh,Lucknow,View  registration details for EVERGREEN SANDESH (UPHIN/26/A3069)
19520,EVERGREEN TIRUPATI,APTEL/2018/76466,03-12-2018,Telugu,Monthly,N. DEVI ANURADHA,N. DEVI ANURADHA,Andhra Pradesh,Chittoor,View  registration details for EVERGREEN TIRUPATI (APTEL/2018/76466)
19521,EVERGREEN TODAY,GUJGUJ/2015/62384,04-06-2015,Gujarati,Weekly,CHANDRAKANT V.TARWANI,JITENDRA RAMNIKLAL CHANDARANA,Gujarat,Bhavnagar,View  registration details for EVERGREEN TODAY (GUJGUJ/2015/62384)
19522,EVERY MOMENT,UPHIN/25/A1688,04-07-2025,Hindi,Weekly,NEERAJ VERMA,NEERAJ VERMA,Uttar Pradesh,Lucknow,View  registration details for EVERY MOMENT (UPHIN/25/A1688)
