SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
51501,PRAJA ENCOUNTER,TELTEL/2018/75524,18-07-2018,Telugu,Daily,KEERTHI PURNIMA,KEERTHI PURNIMA,Telangana,Nalgonda,View  registration details for PRAJA ENCOUNTER (TELTEL/2018/75524)
51502,PRAJA ENCOUNTER,TELTEL/2015/64512,29-10-2015,Telugu,Monthly,KEERTHI PURNIMA,KEERTHI PURNIMA,Telangana,Nalgonda,View  registration details for PRAJA ENCOUNTER (TELTEL/2015/64512)
51503,PRAJA EXPRESS,APTEL/2017/73569,20-10-2017,Telugu,Daily,KURNOOL MOHAMMED FAROOQ,KURNOOL MOHAMMED FAROOQ,Andhra Pradesh,Kurnool,View  registration details for PRAJA EXPRESS (APTEL/2017/73569)
51504,PRAJA FARIYAD,GUJGUJ/2013/49913,05-09-2013,Gujarati,Weekly,VAISHALI SWAPNIL SONI,VAISHALI SWAPNIL SONI,Gujarat,Ahmedabad,View  registration details for PRAJA FARIYAD (GUJGUJ/2013/49913)
51505,PRAJA FOCUS,APTEL/2018/75701,20-07-2018,Telugu,Daily,POTHARLANKA MURALI KRISHNA,POTHARLANKA MURALI KRISHNA,Andhra Pradesh,Visakhapatnam,View  registration details for PRAJA FOCUS (APTEL/2018/75701)
51506,PRAJA GALAM,APTEL/2006/18110,09-01-2007,Telugu,Daily (Monday To Saturday),Kokku Ravi Kumar,Kokku Ravi Kumar,Telangana,Nizamabad,View  registration details for PRAJA GALAM (APTEL/2006/18110)
51507,praja galame spanda national news paper,APMUL/26/A3106,06-05-2026,"Telugu, English, Hindi",Daily,JAMMUGANI MOHAN,JAMMUGANI MOHAN,Andhra Pradesh,Guntur,View  registration details for praja galame spanda national news paper (APMUL/26/A3106)
51508,PRAJA GARJANA,APTEL/1999/01542,19-07-2000,Telugu,Fortnightly,SHAIK SHAVALI,SHAIK SHAVALI,Andhra Pradesh,Kurnool,View  registration details for PRAJA GARJANA (APTEL/1999/01542)
51509,PRAJA GARJANA,MAHMAR/2011/37355,20-05-2011,Marathi,Weekly,MOHANKUMAR BHANUDAS MAMDYAL,MOHANKUMAR BHANUDAS MAMDYAL,Maharashtra,Solapur,View  registration details for PRAJA GARJANA (MAHMAR/2011/37355)
51510,PRAJA GAVAYI,TELTEL/2023/90116,12-11-2024,TELUGU,Monthly,VALIGONDA JAYARAJU,VALIGONDA JAYARAJU,Telangana,Medchal Malkajgiri,View  registration details for PRAJA GAVAYI (TELTEL/2023/90116)
51511,PRAJA GAVAYI,TELTEL/2022/81917,30-08-2022,Telugu,Daily,VALIGONDA JAYARAJU,VALIGONDA JAYARAJU,Telangana,Medchal Malkajgiri,View  registration details for PRAJA GAVAYI (TELTEL/2022/81917)
51512,PRAJA GHARJANE,KARKAN/2023/87891,18-07-2024,KANNADA,Daily,MANJUNATH MARTUAPPA BARKI,MANJUNATH MARTUAPPA BARKI,Karnataka,Haveri,View  registration details for PRAJA GHARJANE (KARKAN/2023/87891)
51513,PRAJA GURU,KARKAN/2022/81365,08-04-2022,Kannada,Daily,LAXMIBAI MADAR,LAXMIBAI MADAR,Karnataka,Bagalkot,View  registration details for PRAJA GURU (KARKAN/2022/81365)
51514,PRAJA HASTHA,KNKAN/26/A5170,16-06-2026,Kannada,Daily,Dayanandaswamy D R,Dayanandaswamy D R,Karnataka,Tumkur,View  registration details for PRAJA HASTHA (KNKAN/26/A5170)
51515,PRAJA HITAISHI,GUJBIL/2019/80746,18-02-2022,"Gujarati, Hindi",Fortnightly,RAVINDRA PREMCHAND AGRAWAL,RAVINDRA PREMCHAND AGRAWAL,Gujarat,Navsari,View  registration details for PRAJA HITAISHI (GUJBIL/2019/80746)
51516,PRAJA HITAM,APTEL/2006/16506,07-12-2011,Telugu,Daily,A. R. HASSAN,A. R. HASSAN,Telangana,Hyderabad,View  registration details for PRAJA HITAM (APTEL/2006/16506)
51517,PRAJA HORATA,KARKAN/2011/38479,05-08-2011,Kannada,Fortnightly,SHREEKANTHA H.R.,SHREEKANTHA H.R.,Karnataka,Shimoga,View  registration details for PRAJA HORATA (KARKAN/2011/38479)
51518,PRAJA HRUDAYAM,TELTEL/2022/90247,02-12-2024,TELUGU,Monthly,K. PRATHAP,K.PRATHAP,Telangana,Jogulamba Gadwal,View  registration details for PRAJA HRUDAYAM (TELTEL/2022/90247)
51519,Praja jagattu,KNKAN/26/A2096,27-03-2026,Kannada,Daily,Hanamant Arjun sainsakale,Hanamant Arjun sainsakale,Karnataka,Belagavi,View  registration details for Praja jagattu (KNKAN/26/A2096)
51520,PRAJA JAGRUTHI,APTEL/2011/40615,05-10-2012,Telugu,Daily,KUNCHAM SRINIVAS,KUNCHAM SRINIVAS,Andhra Pradesh,Nizamabad,View  registration details for PRAJA JAGRUTHI (APTEL/2011/40615)
51521,Praja Jagruti,MHMAR/25/A4681,03-12-2025,Marathi,Daily,MANJIRI SACHIN HAGAWANE,MANJIRI SACHIN HAGAWANE,Maharashtra,Pune,View  registration details for Praja Jagruti (MHMAR/25/A4681)
51522,PRAJA JEEVA,KARKAN/2022/82758,17-11-2022,Kannada,Weekly,NINGAPPA.D,NINGAPPA.D,Karnataka,Chitradurga,View  registration details for PRAJA JEEVA (KARKAN/2022/82758)
51523,PRAJA JWALA,APTEL/2010/33400,25-08-2010,Telugu,Daily,APPIKONDA BHASKARA RAO,APPIKONDA BHASKARA RAO,Andhra Pradesh,Visakhapatnam,View  registration details for PRAJA JWALA (APTEL/2010/33400)
51524,PRAJA JYOTHI,TELTEL/2008/24799,23-07-2008,Telugu,Daily,V. SRINIVAS REDDY,M/S SAI KRISHNA PUBLICATIONS,Telangana,Adilabad,View  registration details for PRAJA JYOTHI (TELTEL/2008/24799)
51525,PRAJA JYOTHI,TELTEL/2010/35558,02-02-2011,Telugu,Daily,V. SRINIVAS REDDY,M/S SAI KRISHNA PUBLICATIONS,Telangana,Nizamabad,View  registration details for PRAJA JYOTHI (TELTEL/2010/35558)
