SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
59001,SAHITYA SANDESH,GUJGUJ/2022/82918,05-12-2022,Gujarati,Weekly,DESAI VISHMAYBHAI THAKORBHAI,DESAI VISHMAYBHAI THAKORBHAI,Gujarat,Surat,View  registration details for SAHITYA SANDESH (GUJGUJ/2022/82918)
59002,SAHITYA SANGRAH,MPHIN/2016/67148,01-06-2016,Hindi,Monthly,ANOOP VERMA,ANOOP VERMA,Madhya Pradesh,Bhopal,View  registration details for SAHITYA SANGRAH (MPHIN/2016/67148)
59003,SAHITYA SANSKAR,MPHIN/2019/78614,11-05-2020,Hindi,Quarterly,SURENDRA SINGH PAWAR,SURENDRA SINGH PAWAR,Madhya Pradesh,Jabalpur,View  registration details for SAHITYA SANSKAR (MPHIN/2019/78614)
59004,SAHITYA SARATHI,KARKAN/2018/90519,18-03-2025,KANNADA,Daily,B. H NIRGUDI,B H NIRGUDI,Karnataka,Kalaburagi,View  registration details for SAHITYA SARATHI (KARKAN/2018/90519)
59005,SAHITYA SAROJ,UPHIN/2017/74520,06-02-2018,Hindi,Quarterly,AKHAND PRATAP SINGH,AKHAND PRATAP SINGH,Uttar Pradesh,Ghazipur,View  registration details for SAHITYA SAROJ (UPHIN/2017/74520)
59006,Sahitya Saurabh,BHBIL/25/A2585,16-09-2025,"Hindi, English",Monthly,Arvind Kumar Rajak,Arvind Kumar Rajak,Bihar,Samastipur,View  registration details for Sahitya Saurabh (BHBIL/25/A2585)
59007,SAHITYA SETU,TELHIN/2014/59847,28-01-2015,Hindi,Quarterly,P. SATHI REDDY,ANDHRA PRADESH HINDI ACADEMY,Telangana,Hyderabad,View  registration details for SAHITYA SETU (TELHIN/2014/59847)
59008,SAHITYA SILPI,MPHIN/2011/39224,31-01-2012,Hindi,Monthly,SUDHIR SRIVASTAVA,SUDHIR SRIVASTAVA,Madhya Pradesh,Bhopal,View  registration details for SAHITYA SILPI (MPHIN/2011/39224)
59009,SAHITYA SILSILA,PUNHIN/2009/32590,06-07-2010,Hindi,Quarterly,AJAY KUMAR SHARMA,AJAY KUMAR SHARMA,Punjab,Jalandhar,View  registration details for SAHITYA SILSILA (PUNHIN/2009/32590)
59010,SAHITYA SURABHI,ODIODI/2014/64449,26-10-2015,Oriya,Monthly,ARUN KUMAR SAHU,ARUN KUMAR SAHU,Odisha,Kalahandi,View  registration details for SAHITYA SURABHI (ODIODI/2014/64449)
59011,SAHITYA TARINGNI,13694,01-01-1957,"English, HINDI",Annual,JAGDISH CHANDRA SINHA,"RAJPUT REGIMENT INTER COLLEGE, PILKHUWA",Uttar Pradesh,Meerut,View  registration details for SAHITYA TARINGNI (13694)
59012,SAHITYA TRIVENI,WBMUL/2005/19017,09-04-2007,English,Quarterly,MADHU SINGH,MADHU SINGH,West Bengal,South 24 Parganas,View  registration details for SAHITYA TRIVENI (WBMUL/2005/19017)
59013,SAHITYA UDGAM,MPHIN/2007/26025,31-10-2008,Hindi,Monthly,MADHU SHUKLA,MADHU SHUKLA,Madhya Pradesh,Bhopal,View  registration details for SAHITYA UDGAM (MPHIN/2007/26025)
59014,Sahitya Vaibhav,MHMUL/26/A5735,07-07-2026,"Marathi, Hindi, English",Monthly,Rajendra Prakash Gaikwad,Rajendra Prakash Gaikwad,Maharashtra,Pune,View  registration details for Sahitya Vaibhav (MHMUL/26/A5735)
59015,SAHITYA VEDIKA,HPMUL/2018/77759,24-07-2019,"English, Santhali, Hindi",Annual,PROF. L. N. PANDEY,RASHTRIYA SANSKRIT SANSTHAN,Himachal Pradesh,Kangra,View  registration details for SAHITYA VEDIKA (HPMUL/2018/77759)
59016,SAHITYABINDU,MAHMAR/2016/71299,01-05-2017,Marathi,Daily,VIKRAMSINH VIJAYSINH PAWAR,VIKRAMSINH VIJAYSINH PAWAR,Maharashtra,Kolhapur,View  registration details for SAHITYABINDU (MAHMAR/2016/71299)
59017,SAHITYABINDU,22685,26-08-1972,Marathi,Weekly,VIKRAMSINH VIJAYSINH PAWAR,VIKRAMSINH VIJAYSINH PAWAR,Maharashtra,Kolhapur,View  registration details for SAHITYABINDU (22685)
59018,SAHITYACHAR,WBBEN/2013/55094,27-03-2014,Bengali,Fortnightly,SK SAMSUDDIN,SK SAMSUDDIN,West Bengal,Paschim Bardhaman,View  registration details for SAHITYACHAR (WBBEN/2013/55094)
59019,SAHITYAKAR KALYAN PARISHAD,UPHIN/2002/08938,31-01-2003,Hindi,Monthly,RAM CHANDRA SHUKLA,RAM CHANDRA SHUKLA,Uttar Pradesh,Bareilly,View  registration details for SAHITYAKAR KALYAN PARISHAD (UPHIN/2002/08938)
59020,SAHITYAKUNJ,MHBIL/25/A2703,19-09-2025,"Hindi, Marathi",Monthly,ARVIND VASANTRAO GADEKAR,ARVIND VASANTRAO GADEKAR,Maharashtra,Ahilyanagar,View  registration details for SAHITYAKUNJ (MHBIL/25/A2703)
59021,SAHITYALOKAM,17137,03-10-1969,Malayalam,Bimonthly (Once in two months),C. P. ABOOBACKER,KERALA SAHITYA AKADAMI,Kerala,Thrissur,View  registration details for SAHITYALOKAM (17137)
59022,SAHITYANCHAL,RAJHIN/2004/12738,06-11-2012,Hindi,Bimonthly (Once in two months),Nirmal Kant Vyas,SHIV PRAKASH VYAS,Rajasthan,Bhilwara,View  registration details for SAHITYANCHAL (RAJHIN/2004/12738)
59023,SAHITYARAMBH,MAHMAR/2007/26278,20-11-2008,Marathi,Monthly,RAMAKRUSHNA NAGO KAPURE,KAPURE RAMAKRUSHNA NAGO,Maharashtra,Jalgaon,View  registration details for SAHITYARAMBH (MAHMAR/2007/26278)
59024,SAHITYER BELA BHUMI,WBBEN/2012/42316,18-05-2012,Bengali,Half Yearly,ARUN PATHAK,ARUN PATHAK,West Bengal,North 24 Parganas,View  registration details for SAHITYER BELA BHUMI (WBBEN/2012/42316)
59025,Sahityik Paridrishya,HPHIN/25/A4528,01-12-2025,Hindi,Quarterly,Davinder Kumar Dhar,Davinder Kumar Dhar,Himachal Pradesh,Shimla,View  registration details for Sahityik Paridrishya (HPHIN/25/A4528)
59026,SAHITYSAPTAK,UPHIN/26/A2129,30-03-2026,Hindi,Monthly,ARVIND KUMAR,PANDIT RAMPRSAD BISMIL FOUNDATION TRUST,Uttar Pradesh,Ghaziabad,View  registration details for SAHITYSAPTAK (UPHIN/26/A2129)
59027,SAHJANAND SUDHA,69177,14-10-1998,Gujarati,Monthly,SADHU SWAYAMPRAKASH DAS,BOCHASANWASI SHRI AKSHAR PURUSHOTTAM SWAMINARAYAN SANSTHA,Gujarat,Ahmedabad,View  registration details for SAHJANAND SUDHA (69177)
59028,SAHKAR ACTION,MPHIN/2015/72483,06-07-2017,Hindi,Monthly,YASHPAL SINGH,YASHPAL SINGH,Madhya Pradesh,Ujjain,View  registration details for SAHKAR ACTION (MPHIN/2015/72483)
59029,SAHKAR NETRUTVA,GJGUJ/26/A2875,29-04-2026,Gujarati,Fortnightly,PATEL MAHESHKUMAR NARAYANBHAI,PATEL MAHESHKUMAR NARAYANBHAI,Gujarat,Gandhinagar,View  registration details for SAHKAR NETRUTVA (GJGUJ/26/A2875)
59030,SAHKAR PRATIBHA VANI,MAHMAR/2021/80902,24-01-2022,Marathi,Monthly,RAJENDRA PUNDALIK HAJARE,RAJENDRA PUNDALIK HAJARE,Maharashtra,Solapur,View  registration details for SAHKAR PRATIBHA VANI (MAHMAR/2021/80902)
59031,SAHKAR SAGAR,MAHMAR/2013/48843,26-03-2013,Marathi,Weekly,SAYYAD KHAMAR ALI UMAR ALI,SAYYAD KHAMAR ALI,Maharashtra,Hingoli,View  registration details for SAHKAR SAGAR (MAHMAR/2013/48843)
59032,SAHKAR SAMANVAY,GUJGUJ/2013/49787,21-05-2013,Gujarati,Monthly,HARKISHAN N. BHATT,RAJKOT NAGARIK SAHAKARI BANK LTD.,Gujarat,Rajkot,View  registration details for SAHKAR SAMANVAY (GUJGUJ/2013/49787)
59033,SAHKAR SAMRUDDHI,MHMAR/26/A2097,27-03-2026,Marathi,Fortnightly,Madhukar Gopala Bodke,MANAD SAHKARMANCH SAMRUDDHI FOUNDATION,Maharashtra,Thane,View  registration details for SAHKAR SAMRUDDHI (MHMAR/26/A2097)
59034,SAHKAR SAMUH,HARHIN/2016/69819,03-01-2017,Hindi,Monthly,REKHA RANI,REKHA RANI,Haryana,Kurukshetra,View  registration details for SAHKAR SAMUH (HARHIN/2016/69819)
59035,sahkar sankalp,DLBIL/26/A5888,23-07-2026,"English, Hindi",Quarterly,BINOD ANAND,CONFEDERATION OF NGOS OF RURAL INDIA,Delhi,South Delhi,View  registration details for sahkar sankalp (DLBIL/26/A5888)
