SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
5501,APOORVA WANI,UPHIN/2024/91024,08-07-2025,Hindi,Monthly,ARADHNA PAL,ARADHNA PAL,Uttar Pradesh,Lucknow,View  registration details for APOORVA WANI (UPHIN/2024/91024)
5502,APOORVYA,63012,07-06-2013,Hindi,Monthly,VILASHI DEVI,VILASHI DEVI,Jharkhand,Dumka,View  registration details for APOORVYA (63012)
5503,APORV DIVY DARSHAN,UPHIN/25/A4544,01-12-2025,Hindi,Monthly,RAJESH SHRINET,RAJESH SHRINET,Uttar Pradesh,Lucknow,View  registration details for APORV DIVY DARSHAN (UPHIN/25/A4544)
5504,APOSTHALA THOOTHU,TNTAM/2011/40712,09-02-2012,Tamil,Monthly,SADHU SOBITHARAJ,SADHU SOBITHA RAJ,Tamil Nadu,Kanniyakumari,View  registration details for APOSTHALA THOOTHU (TNTAM/2011/40712)
5505,APOSTLES,13096,01-01-1957,English,Bimonthly (Once in two months),EDWARD A. SCOTT S.J.,PATNA JESUIT SOCIETY,Bihar,Patna,View  registration details for APOSTLES (13096)
5506,APOSTOLIC VOICE,MAHMUL/2015/65829,01-02-2016,"English, Tamil, Hindi",Monthly,PASTOR J. SELVAKUMAR,THE APOSTOLIC MISSION TRUST,Maharashtra,Mumbai,View  registration details for APOSTOLIC VOICE (MAHMUL/2015/65829)
5507,APPA YESU CHRISTHU GUNAMAAKKUGIRAAR,TNTAM/2010/32500,04-06-2010,Tamil,Monthly,G. CHANDRA GNANAMANI,G. CHANDRA GNANAMANI,Tamil Nadu,Thiruvallur,View  registration details for APPA YESU CHRISTHU GUNAMAAKKUGIRAAR (TNTAM/2010/32500)
5508,APPADIYE AGATTUM,TNTAM/2005/17105,28-08-2006,Tamil,Monthly,"FR. A. SAMY DURAI, OSM","FR. A. SAMY DURAI, OSM",Tamil Nadu,Chennai,View  registration details for APPADIYE AGATTUM (TNTAM/2005/17105)
5509,APPALISU,KARKAN/2010/31813,06-04-2010,Kannada,Fortnightly,RUDRAPPA,RUDRAPPA,Karnataka,Koppal,View  registration details for APPALISU (KARKAN/2010/31813)
5510,APPAREL INDIA,HARENG/2012/45083,10-09-2012,English,Monthly,VIJAY MATHUR,APPAREL EXPORT PROMOTION COUNCIL,Haryana,Gurugram,View  registration details for APPAREL INDIA (HARENG/2012/45083)
5511,APPAREL ON LINE,67969,12-12-2005,"English, HINDI",Monthly,DEEPAK MOHINDRA,DEEPAK MOHINDRA,Delhi,New Delhi,View  registration details for APPAREL ON LINE (67969)
5512,APPATCHI MALAR,TNTAM/2013/53850,06-01-2014,Tamil,Monthly,S.SABAPATHI,S.SABAPATHI,Tamil Nadu,Sivaganga,View  registration details for APPATCHI MALAR (TNTAM/2013/53850)
5513,APPEAL,44064,22-01-1987,Oriya,Fortnightly,PRITHWINATH SAHU,PRITHWINATH SAHU,Odisha,Sambalpur,View  registration details for APPEAL (44064)
5514,APPLA MANDAL,MAHHIN/2012/44292,26-07-2012,Hindi,Weekly,VIVEK WASUDEV DODAKE,VIVEK WASUDEV DODAKE,Maharashtra,Amravati,View  registration details for APPLA MANDAL (MAHHIN/2012/44292)
5515,APPLE BEES,KARENG/2016/68202,12-08-2016,English,Monthly,K.P.SUNIL KUMAR,K.P.SUNIL KUMAR,Karnataka,Bengaluru,View  registration details for APPLE BEES (KARENG/2016/68202)
5516,APPLIANCES MARKET INFO,MPBIL/26/A3898,19-05-2026,"Hindi, English",Quarterly,NEERAJ VERMA,Neeraj Verma,Madhya Pradesh,Bhind,View  registration details for APPLIANCES MARKET INFO (MPBIL/26/A3898)
5517,APPOINTMENT & CAREER NEWS,WBENG/2005/16385,03-04-2006,English,Weekly,MOUSUMI GHOSH,SANGSTHAAN PRAKASHAN PVT.LTD.,West Bengal,South 24 Parganas,View  registration details for APPOINTMENT & CAREER NEWS (WBENG/2005/16385)
5518,APPOORVA RAGAM,TNTAM/2002/11708,21-01-2004,Tamil,Monthly,VAZHUVOOR RAVI,VAZHUVOOR RAVI,Tamil Nadu,Chennai,View  registration details for APPOORVA RAGAM (TNTAM/2002/11708)
5519,APPRECIATE INDIA,TNBIL/2018/77186,22-04-2019,"English, Tamil",Bimonthly (Once in two months),M. DAMODARAN,MAHAKAVIBHARATHI INSPIRATIONAL TRUST,Tamil Nadu,Chennai,View  registration details for APPRECIATE INDIA (TNBIL/2018/77186)
5520,APPS UNVEILED,DELENG/2014/55665,21-05-2014,English,Monthly,JYOTI AGGARWAL,APPCRAZY MEDIA PRIVATE LIMITED,Delhi,New Delhi,View  registration details for APPS UNVEILED (DELENG/2014/55665)
5521,APPTA,15846,01-01-1968,"English, Gujarati",Monthly,K.J. RAO,ANDHRA PRADESH PRIMARY TEACHERS ASSOCIATION,Telangana,Hyderabad,View  registration details for APPTA (15846)
5522,APRADH AHUTI,RAJBIL/2012/45987,26-10-2012,"English, HINDI",Fortnightly,PARMESHWAR PRASAD,PARMESHWAR PRASAD,Rajasthan,Jaipur,View  registration details for APRADH AHUTI (RAJBIL/2012/45987)
5523,APRADH ANVESHAK,UTTHIN/2015/65151,09-12-2015,Hindi,Weekly,JANAKI TAMTA,JANAKI TAMTA,Uttarakhand,Udham Singh Nagar,View  registration details for APRADH ANVESHAK (UTTHIN/2015/65151)
5524,APRADH AUR SAMAJ,CHHHIN/2011/37997,24-06-2011,Hindi,Weekly,REEMA AHLUWALIYA,REEMA AHLUWALIYA,Chhattisgarh,Durg,View  registration details for APRADH AUR SAMAJ (CHHHIN/2011/37997)
5525,APRADH BULLETIN,UPHIN/2016/74714,15-03-2018,Hindi,Weekly,SHAILESH JAIN,SHAILESH JAIN,Uttar Pradesh,Lalitpur,View  registration details for APRADH BULLETIN (UPHIN/2016/74714)
5526,APRADH BUREAU,UPHIN/2010/33376,25-08-2010,Hindi,Daily,LALIT KANT PANDEY,LALIT KANT PANDEY,Uttar Pradesh,Lucknow,View  registration details for APRADH BUREAU (UPHIN/2010/33376)
5527,APRADH BUREAU,UPHIN/2007/23450,01-04-2008,Hindi,Monthly,LALIT KANT PANDEY,LALIT KANT PANDEY,Uttar Pradesh,Lucknow,View  registration details for APRADH BUREAU (UPHIN/2007/23450)
5528,APRADH CHARCHA,UPHIN/2016/69574,07-12-2016,Hindi,Monthly,MUHAMMAD HAYAT QUADRI,MUHAMMAD HAYAT QUADRI,Uttar Pradesh,Lucknow,View  registration details for APRADH CHARCHA (UPHIN/2016/69574)
5529,APRADH CONTROL,UPHIN/2012/50323,17-06-2013,Hindi,Weekly,NEHAL AHMAD KHAN,NEHAL AHMAD KHAN,Uttar Pradesh,Lucknow,View  registration details for APRADH CONTROL (UPHIN/2012/50323)
5530,APRADH CONTROL,UPURD/2015/68591,06-09-2016,Urdu,Weekly,NIHAL AHMAD KHAN,NIHAL AHMAD KHAN,Uttar Pradesh,Lucknow,View  registration details for APRADH CONTROL (UPURD/2015/68591)
5531,APRADH DAL,UPHIN/2007/20534,24-07-2007,Hindi,Fortnightly,RAMPYARE NISHAD,RAMPYARE NISHAD,Uttar Pradesh,Sultanpur,View  registration details for APRADH DAL (UPHIN/2007/20534)
5532,APRADH DAL,UPHIN/2009/31398,17-03-2010,Hindi,Weekly,RAMPYARE NISHAD,RAMPYARE NISHAD,Uttar Pradesh,Sultanpur,View  registration details for APRADH DAL (UPHIN/2009/31398)
5533,APRADH DARPAN,UPHIN/2008/27565,24-04-2009,Hindi,Daily,SANJAY SRIVASTAVA,SANJAY SRIVASTAVA,Uttar Pradesh,Lucknow,View  registration details for APRADH DARPAN (UPHIN/2008/27565)
5534,APRADH EXPRESS,56192,26-11-1992,Hindi,Fortnightly,GIRIRAJ PRASAD AGARWAL,ANJUBALA AGRAWAL,Rajasthan,Jaipur,View  registration details for APRADH EXPRESS (56192)
5535,APRADH JAGAT,UPHIN/2015/62555,15-06-2015,Hindi,Weekly,BADREY ALAM,BADREY ALAM,Uttar Pradesh,Lucknow,View  registration details for APRADH JAGAT (UPHIN/2015/62555)
5536,APRADH KA AAINA,UPHIN/2010/31061,23-02-2010,Hindi,Monthly,AJAY TRIPATHI,AJAY TRIPATHI,Uttar Pradesh,Lucknow,View  registration details for APRADH KA AAINA (UPHIN/2010/31061)
5537,APRADH KA JASUS,UPHIN/2015/66680,11-04-2016,Hindi,Fortnightly,KRISHAN KUMAR NIRBHIK,KRISHAN KUMAR NIRBHIK,Uttar Pradesh,Sant Kabir Nagar,View  registration details for APRADH KA JASUS (UPHIN/2015/66680)
5538,APRADH KA KHATMA,UPHIN/2008/26112,07-11-2008,Hindi,Monthly,NARESH KUMAR,NARESH KUMAR,Uttar Pradesh,Ghaziabad,View  registration details for APRADH KA KHATMA (UPHIN/2008/26112)
5539,APRADH KHOJ,DELHIN/2008/24453,24-06-2008,Hindi,Weekly,URMILA THAKUR,URMILA THAKUR,Delhi,New Delhi,View  registration details for APRADH KHOJ (DELHIN/2008/24453)
5540,APRADH KI KHABAR,DELBIL/2011/38006,24-06-2011,"English, HINDI",Daily,UTTAM KUMAR SINGH,UTTAM KUMAR SINGH,Delhi,New Delhi,View  registration details for APRADH KI KHABAR (DELBIL/2011/38006)
5541,APRADH KYON?,UPHIN/2007/22404,04-01-2008,Hindi,Fortnightly,NARENDRA KUMAR SHARMA,NARENDRA KUMAR SHARMA,Uttar Pradesh,Meerut,View  registration details for APRADH KYON? (UPHIN/2007/22404)
5542,APRADH MANJUSHA,MPHIN/2012/46303,08-11-2012,Hindi,Monthly,S.K.BHARDWAJ,S.K. BHARDWAJ,Madhya Pradesh,Bhopal,View  registration details for APRADH MANJUSHA (MPHIN/2012/46303)
5543,APRADH MANJUSHA,MPHIN/2015/63905,26-08-2015,Hindi,Weekly,S.K. BHARDWAJ,S.K. BHARDWAJ,Madhya Pradesh,Bhopal,View  registration details for APRADH MANJUSHA (MPHIN/2015/63905)
5544,APRADH MUKT BHARAT,UPBIL/2012/64458,27-10-2015,"English, HINDI",Weekly,SHIVRAJ SHARMA,SHIVRAJ SHARMA,Uttar Pradesh,Gautam Buddha Nagar,View  registration details for APRADH MUKT BHARAT (UPBIL/2012/64458)
5545,APRADH NAMA,UPHIN/2008/23917,08-05-2008,Hindi,Weekly,ASHWANI JAISWAL,ASHWANI JAISWAL,Uttar Pradesh,Lucknow,View  registration details for APRADH NAMA (UPHIN/2008/23917)
5546,APRADH NAZAR ANDAZ,UPHIN/2014/56713,26-08-2014,Hindi,Weekly,GAUTAM KUMAR JIVA,GAUTAM KUMAR JIVA,Uttar Pradesh,Lucknow,View  registration details for APRADH NAZAR ANDAZ (UPHIN/2014/56713)
5547,APRADH PAR NAZAR NEWS,UPHIN/2015/64492,27-10-2015,Hindi,Weekly,JOHN SINGH,JOHN SINGH,Uttar Pradesh,Meerut,View  registration details for APRADH PAR NAZAR NEWS (UPHIN/2015/64492)
5548,APRADH PRAHARI,UPHIN/2014/56356,01-08-2014,Hindi,Monthly,POONAM BALA,POONAM BALA,Uttar Pradesh,Bara Banki,View  registration details for APRADH PRAHARI (UPHIN/2014/56356)
5549,APRADH PRAHARI,UPHIN/2016/69515,06-12-2016,Hindi,Daily,POONAM BALA,POONAM BALA,Uttar Pradesh,Lucknow,View  registration details for APRADH PRAHARI (UPHIN/2016/69515)
5550,APRADH SANKALAN,UPHIN/2016/69200,09-11-2016,Hindi,Daily,SURESH MALLAH,SURESH MALLAH,Uttar Pradesh,Sultanpur,View  registration details for APRADH SANKALAN (UPHIN/2016/69200)
5551,APRADH SANVAD,RAJHIN/2011/40670,14-11-2013,Hindi,Fortnightly,SHIV KUMAR GARG,SHIV KUMAR GARG,Rajasthan,Jaipur,View  registration details for APRADH SANVAD (RAJHIN/2011/40670)
5552,APRADH SUDHARAK TIMES,DELHIN/1996/03180,03-04-2001,Hindi,Weekly,KAMAL TANDON,KAMAL TANDON,Delhi,New Delhi,View  registration details for APRADH SUDHARAK TIMES (DELHIN/1996/03180)
5553,APRADH TODAY,UPHIN/2008/28619,10-08-2009,Hindi,Daily,D.S. CHAUHAN,D.S.CHAUHAN,Uttar Pradesh,Lucknow,View  registration details for APRADH TODAY (UPHIN/2008/28619)
5554,APRADH TODAY,UPHIN/2012/43146,21-06-2012,Hindi,Fortnightly,D.S.CHAUHAN,D.S.CHAUHAN,Uttar Pradesh,Lucknow,View  registration details for APRADH TODAY (UPHIN/2012/43146)
5555,APRADH TODAY,UPHIN/2006/22083,10-12-2007,Hindi,Monthly,D.S.CHAUHAN,D.S.CHAUHAN,Uttar Pradesh,Lucknow,View  registration details for APRADH TODAY (UPHIN/2006/22083)
5556,APRADH WARTA,UPHIN/2010/35589,04-02-2011,Hindi,Weekly,USHA DEVI,USHA DEVI,Uttar Pradesh,Bahraich,View  registration details for APRADH WARTA (UPHIN/2010/35589)
5557,APRADH YUG,UPHIN/2014/59198,24-12-2014,Hindi,Weekly,SAURABH KUMAR,SAURABH KUMAR,Uttar Pradesh,Lucknow,View  registration details for APRADH YUG (UPHIN/2014/59198)
5558,APRADHI KAUN,UPHIN/2010/33655,10-07-2010,Hindi,Fortnightly,PRAKASH CHAND GUPTA,PRAKASH CHAND GUPTA,Uttar Pradesh,Gorakhpur,View  registration details for APRADHI KAUN (UPHIN/2010/33655)
