SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
52001,PRAKARTI KA SANDESH,JKHIN/2004/12033,18-12-2003,Hindi,Weekly,SURAT SINGH,SURAT SINGH,Jammu and Kashmir,Jammu,View  registration details for PRAKARTI KA SANDESH (JKHIN/2004/12033)
52002,PRAKASAM JYOTHI,APTEL/2015/68956,19-10-2016,Telugu,Monthly,GORANTLA VENKATA RAO,GORANTLA VENKATA RAO,Andhra Pradesh,Prakasam,View  registration details for PRAKASAM JYOTHI (APTEL/2015/68956)
52003,PRAKASAM NEWS LINE,APTEL/2023/87741,03-07-2024,TELUGU,Monthly,MAKAPATI MAHENDRANATH,MAKAPATI MAHENDRANATH,Andhra Pradesh,Prakasam,View  registration details for PRAKASAM NEWS LINE (APTEL/2023/87741)
52004,PRAKASH,2014,04-03-1957,Hindi,Daily,PRASHANT HITESHI,PRASHANT HITESHI,Uttar Pradesh,Aligarh,View  registration details for PRAKASH (2014)
52005,PRAKASH,34982,19-02-1980,Hindi,Daily,NAND LAL DWIVEDI,NAND LAL DWIVEDI,West Bengal,Kolkata,View  registration details for PRAKASH (34982)
52006,PRAKASH ADHAR,MAHMAR/2023/87441,10-06-2024,Marathi,Daily,SUNIL DNYANOBA POPALE,SUNIL DNYANOBA POPALE,Maharashtra,Beed,View  registration details for PRAKASH ADHAR (MAHMAR/2023/87441)
52007,PRAKASH ADHAR,MAHMAR/2015/60822,19-03-2015,Marathi,Weekly,SUNIL GYANOBA POPLE,SUNIL GYANOBA POPLE,Maharashtra,Beed,View  registration details for PRAKASH ADHAR (MAHMAR/2015/60822)
52008,PRAKASH BHARTI,DELHIN/2005/15924,21-12-2012,Hindi,Daily,KHALILUR RAHMAN,KHALILUR RAHMAN,Delhi,New Delhi,View  registration details for PRAKASH BHARTI (DELHIN/2005/15924)
52009,PRAKASH BHARTI,BIHHIN/2013/49798,21-05-2013,Hindi,Daily,KHALILUR RAHMAN,KHALILUR RAHMAN,Bihar,Muzaffarnagar,View  registration details for PRAKASH BHARTI (BIHHIN/2013/49798)
52010,PRAKASH BHARTI,MPHIN/2013/49835,23-05-2013,Hindi,Daily,KHALILUR RAHMAN,KHALILUR RAHMAN,Madhya Pradesh,Bhopal,View  registration details for PRAKASH BHARTI (MPHIN/2013/49835)
