SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
68501,SUDDI DANGURA,KARKAN/2022/82757,17-11-2022,Kannada,Monthly,A. NAGARAJ AMBERKAR,A NAGARAJ AMBERKAR,Karnataka,Shimoga,View  registration details for SUDDI DANGURA (KARKAN/2022/82757)
68502,SUDDI E DINA,KNKAN/26/A2381,10-04-2026,Kannada,Daily,Shivanand Mente,Shivanand Mente,Karnataka,Bijapur,View  registration details for SUDDI E DINA (KNKAN/26/A2381)
68503,SUDDI E DINA,KNKAN/25/A0398,23-05-2025,Kannada,Daily,Shivanand Mente,Shivanand Mente,Karnataka,Kalaburagi,View  registration details for SUDDI E DINA (KNKAN/25/A0398)
68504,SUDDI E DINA,KNKAN/26/A2863,28-04-2026,Kannada,Daily,Shivanand Mente,Shivanand Mente,Karnataka,Bengaluru,View  registration details for SUDDI E DINA (KNKAN/26/A2863)
68505,Suddi Jagatu News,KNKAN/25/A2919,30-09-2025,Kannada,Daily (Monday To Saturday),SANGAMESH,SANGAMESH,Karnataka,Bidar,View  registration details for Suddi Jagatu News (KNKAN/25/A2919)
68506,SUDDI KAALA,KARKAN/2015/63959,28-08-2015,KANNADA,Daily,VASUDEVRAO DESAI,VASUDEVRAO DESAI,Karnataka,Kalaburagi,View  registration details for SUDDI KAALA (KARKAN/2015/63959)
68507,SUDDI KIRANA,KARKAN/2021/81105,09-02-2022,Kannada,Daily,MALLIKARJUNA REDDY B.S,MALLIKARJUNA REDDY BS,Karnataka,Bengaluru Rural,View  registration details for SUDDI KIRANA (KARKAN/2021/81105)
68508,SUDDI MANDARA,KNKAN/25/A2578,16-09-2025,Kannada,Monthly,C G MOHAN KUMAR,C G MOHAN KUMAR,Karnataka,Bengaluru,View  registration details for SUDDI MANDARA (KNKAN/25/A2578)
68509,SUDDI MARGA,KARKAN/2021/81261,24-03-2022,Kannada,Daily,VEERENDRANATH,VEERENDRANATH,Karnataka,Kalaburagi,View  registration details for SUDDI MARGA (KARKAN/2021/81261)
68510,SUDDI MITRA,KNKAN/26/A1659,18-03-2026,Kannada,Daily,APPESH POTARAJ,APPESH POTARAJ,Karnataka,Bagalkot,View  registration details for SUDDI MITRA (KNKAN/26/A1659)
68511,SUDDI MOOLA,50620,11-06-1993,Kannada,Daily,VISHWANATH BASAVARAJ SWAMY,M/S SUDDIMOOLA PUBLISHERS INDIA LTD,Karnataka,Raichur,View  registration details for SUDDI MOOLA (50620)
68512,SUDDI MOOLA,KARKAN/2023/85361,11-09-2023,Kannada,Daily,Siddamma,M/S SUDDIMOOLA PUBLISHERS INDIA LTD,Karnataka,Bengaluru,View  registration details for SUDDI MOOLA (KARKAN/2023/85361)
68513,SUDDI MRUDANGA,58043,09-11-1993,Kannada,Daily,H S SUDHINDRA KUMAR,H.S.SUDHINDRA KUMAR,Karnataka,Bengaluru,View  registration details for SUDDI MRUDANGA (58043)
68514,SUDDI NOORAYENTU,KARKAN/2012/41764,20-04-2012,Kannada,Monthly,MAHAMMADALI BURANSAB HANAGI,M.B. HANAGI,Karnataka,Bagalkot,View  registration details for SUDDI NOORAYENTU (KARKAN/2012/41764)
68515,SUDDI NOTE,KARKAN/2022/83839,17-04-2023,Kannada,Daily,AMBIKA SHIVASHARAN,AMBIKA SHIVASHARAN,Chhattisgarh,Bijapur,View  registration details for SUDDI NOTE (KARKAN/2022/83839)
68516,SUDDI PARIJATA,KARKAN/2013/49375,30-04-2013,Kannada,Weekly,GUBBAVWAR ASHOK,GUBBAVWAR ASHOK,Karnataka,Davanagere,View  registration details for SUDDI PARIJATA (KARKAN/2013/49375)
