SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
62501,SARVOCH DARPAN,UPHIN/2009/32309,14-05-2010,Hindi,Weekly,INDRAJEET YADAV,INDERJEET YADAV,Uttar Pradesh,Gorakhpur,View  registration details for SARVOCH DARPAN (UPHIN/2009/32309)
62502,SARVOCH DESH,UPHIN/2016/76248,17-10-2018,Hindi,Weekly,BRIJKISHORE SINGH CHAUHAN,BRIJKISHORE SINGH CHAUHAN,Uttar Pradesh,Lalitpur,View  registration details for SARVOCH DESH (UPHIN/2016/76248)
62503,SARVOCH SATTA,MPHIN/25/A3974,17-11-2025,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Madhya Pradesh,Indore,View  registration details for SARVOCH SATTA (MPHIN/25/A3974)
62504,SARVOCH SATTA,MPHIN/25/A3127,10-10-2025,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Madhya Pradesh,Anuppur,View  registration details for SARVOCH SATTA (MPHIN/25/A3127)
62505,SARVOCH SATTA,MPHIN/2017/71053,10-04-2017,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Madhya Pradesh,Jabalpur,View  registration details for SARVOCH SATTA (MPHIN/2017/71053)
62506,SARVOCH SATTA,MPHIN/26/A6322,31-07-2026,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Madhya Pradesh,Satna,View  registration details for SARVOCH SATTA (MPHIN/26/A6322)
62507,SARVOCH SATTA,MPHIN/25/A2825,23-09-2025,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Madhya Pradesh,Bhopal,View  registration details for SARVOCH SATTA (MPHIN/25/A2825)
62508,SARVOCH SATTA,MPHIN/25/A3126,10-10-2025,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Madhya Pradesh,Gwalior,View  registration details for SARVOCH SATTA (MPHIN/25/A3126)
62509,SARVOCH SATTA,MPHIN/2019/78247,13-12-2019,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Madhya Pradesh,Narsimhapur,View  registration details for SARVOCH SATTA (MPHIN/2019/78247)
62510,SARVOCH SATTA,UPHIN/26/A1649,18-03-2026,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Uttar Pradesh,Prayagraj,View  registration details for SARVOCH SATTA (UPHIN/26/A1649)
62511,SARVOCH SATTA,CTHIN/26/A6735,12-08-2026,Hindi,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Chhattisgarh,Raipur,View  registration details for SARVOCH SATTA (CTHIN/26/A6735)
62512,SARVOCH SATTA,MPENG/26/A1644,18-03-2026,English,Daily,JITENDRA PRATAP SONI,JITENDRA PRATAP SONI,Madhya Pradesh,Jabalpur,View  registration details for SARVOCH SATTA (MPENG/26/A1644)
62513,SARVOCHCH BHARAT,UPHIN/2009/28790,24-08-2009,Hindi,Weekly,RAMESH CHANDRA SINGH,RAMESH CHANDRA SINGH,Uttar Pradesh,Lucknow,View  registration details for SARVOCHCH BHARAT (UPHIN/2009/28790)
62514,SARVOCHYA CHHATTISGARH,CHHHIN/2011/41823,30-04-2012,Hindi,Weekly,SHIVSHANKAR SONPIPRE,SHIVSHANKAR SONPIPRE,Chhattisgarh,Raipur,View  registration details for SARVOCHYA CHHATTISGARH (CHHHIN/2011/41823)
62515,SARVODAY KRANTI,GUJGUJ/2022/84633,30-05-2023,Gujarati,Weekly,HIRANI DIVYESH HANSRAJBHAI,HIRANI DIVYESH HANSRAJBHAI,Gujarat,Rajkot,View  registration details for SARVODAY KRANTI (GUJGUJ/2022/84633)
62516,Sarvoday patkatha,MPHIN/25/A3462,27-10-2025,Hindi,Monthly,yasir khan,yasir khan,Madhya Pradesh,Bhopal,View  registration details for Sarvoday patkatha (MPHIN/25/A3462)
62517,SARVODAY SHANTIDOOT,UPHIN/2017/74182,14-12-2017,Hindi,Weekly,SANJAY TRIPATHI,SANJAY TRIPATHI,Uttar Pradesh,Ghaziabad,View  registration details for SARVODAY SHANTIDOOT (UPHIN/2017/74182)
62518,SARVODAY TIMES,UPHIN/26/A5875,23-07-2026,Hindi,Daily,ALOK KUMAR GUPTA,ALOK KUMAR GUPTA,Uttar Pradesh,Gonda,View  registration details for SARVODAY TIMES (UPHIN/26/A5875)
62519,SARVODAY TIMES,UPHIN/2011/38288,19-07-2011,Hindi,Daily,ALOK KUMAR GUPTA,ALOK KUMAR GUPTA,Uttar Pradesh,Lucknow,View  registration details for SARVODAY TIMES (UPHIN/2011/38288)
62520,SARVODAY TIMES,UPHIN/26/A5025,12-06-2026,Hindi,Daily,ALOK KUMAR GUPTA,ALOK KUMAR GUPTA,Uttar Pradesh,Faizabad,View  registration details for SARVODAY TIMES (UPHIN/26/A5025)
62521,SARVODAY TIMES,UPHIN/26/A5066,15-06-2026,Hindi,Daily,ALOK KUMAR GUPTA,ALOK KUMAR GUPTA,Uttar Pradesh,Kanpur Nagar,View  registration details for SARVODAY TIMES (UPHIN/26/A5066)
62522,SARVODAY TIMES,UPHIN/2015/70621,06-03-2017,Hindi,Weekly,ALOK KUMAR GUPTA,ALOK KUMAR GUPTA,Uttar Pradesh,Lucknow,View  registration details for SARVODAY TIMES (UPHIN/2015/70621)
62523,SARVODAY WARTA,UPHIN/2010/44874,28-08-2012,Hindi,Weekly,SUNIL KUMAR MISHRA,SUNIL KUMAR MISHRA,Uttar Pradesh,Prayagraj,View  registration details for SARVODAY WARTA (UPHIN/2010/44874)
62524,SARVODAY WARTA,UPHIN/2009/29538,17-11-2009,Hindi,Fortnightly,SUNIL KUMAR MISHRA,SUNIL KUMAR MISHRA,Uttar Pradesh,Prayagraj,View  registration details for SARVODAY WARTA (UPHIN/2009/29538)
62525,SARVODAYA,3188,04-11-1952,Telugu,Monthly,B GOVIND REDDY,B GOVINDA REDDY,Andhra Pradesh,West Godavari,View  registration details for SARVODAYA (3188)
62526,SARVODAYA ABHIYAN,GUJGUJ/2001/05838,30-01-2002,Gujarati,Monthly,RAVAL KANUBHAI MULSHANKAR,RAVAL KANUBHAI MULSHANKAR,Gujarat,Patan,View  registration details for SARVODAYA ABHIYAN (GUJGUJ/2001/05838)
