SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
39501,MANJU MANJUSHA,DELHIN/2007/22870,13-02-2008,Hindi,Daily,MANJU GUPTA,MANJU GUPTA,Delhi,New Delhi,View  registration details for MANJU MANJUSHA (DELHIN/2007/22870)
39502,MANJUKRANTI,KARKAN/2012/44246,24-07-2012,Kannada,Monthly,T.P MANJUNATH,T.P MANJUNATH,Karnataka,Bengaluru,View  registration details for MANJUKRANTI (KARKAN/2012/44246)
39503,MANJULI DARPAN,40517,14-02-1983,Hindi,Daily,MANJULA BHARGAVA,MANJULA BHARGAVA,Delhi,New Delhi,View  registration details for MANJULI DARPAN (40517)
39504,MANJUTHULLIKAL,KERBIL/2022/81751,11-08-2022,"English, Malayalam",Monthly,MARY ESTHAPPAN,BETHLEHEM ABHAYA BHAVAN CHARITABLE SOCIETY,Kerala,Ernakulam,View  registration details for MANJUTHULLIKAL (KERBIL/2022/81751)
39505,MANJUVANI,45532,16-01-1982,Kannada,Monthly,S PRABHAKAR,S D M PUBLICATION TRUST (REGD.),Karnataka,Dakshina Kannada,View  registration details for MANJUVANI (45532)
39506,MANKA VICHAR,MPHIN/2017/70945,25-04-2017,Hindi,Weekly,ALMAS ALI BAIG,ALMAS ALI BAIG,Madhya Pradesh,Bhopal,View  registration details for MANKA VICHAR (MPHIN/2017/70945)
39507,MANKAMESHWAR TIMES,MPHIN/2012/43185,21-06-2012,Hindi,Weekly,ARJUN SINGH SISODIYA,ARJUN SINGH SISODIYA,Madhya Pradesh,Gwalior,View  registration details for MANKAMESHWAR TIMES (MPHIN/2012/43185)
39508,MANKARI MAHARASHTRACHA,MAHMAR/2021/82804,21-11-2022,Marathi,Weekly,AVINASH SANDIP TANDLE,AVINASH SANDIP TANDLE,Maharashtra,Beed,View  registration details for MANKARI MAHARASHTRACHA (MAHMAR/2021/82804)
39509,MANKESH PATRIKE,KARKAN/2010/32435,27-07-2010,Kannada,Monthly,AKBAR BELGAUMKAR,AKBAR BELGAUMKAR,Karnataka,Dharwad,View  registration details for MANKESH PATRIKE (KARKAN/2010/32435)
39510,MANKIND TODAY,MPHIN/2024/90868,13-06-2025,Hindi,Monthly,SANJAY PATEL,SANJAY PATEL,Madhya Pradesh,Bhopal,View  registration details for MANKIND TODAY (MPHIN/2024/90868)
39511,MANMAD BHUJANG,MAHMAR/2011/39238,12-10-2011,Marathi,Fortnightly,JAGDISH PANDURANG ADSULE,JAGDISH PANDURANG ADSULE,Maharashtra,Nashik,View  registration details for MANMAD BHUJANG (MAHMAR/2011/39238)
39512,MANMAD BULETINE,46905,31-12-1987,Marathi,Weekly,GUJARATHI SWATI NARESH,GUJARATHI SWATI NARESH,Maharashtra,Nashik,View  registration details for MANMAD BULETINE (46905)
39513,MANMAD SAPTAHIK SATTAPARIVARTAN,MAHMAR/2014/61914,12-05-2015,Marathi,Weekly,BALAWANT SAKHARAM AWHAD,BALAWANT SAKHARAM AWHAD,Maharashtra,Nashik,View  registration details for MANMAD SAPTAHIK SATTAPARIVARTAN (MAHMAR/2014/61914)
39514,MANMAD VRUTTA SAMRAT,MAHMAR/2020/79744,08-06-2021,Marathi,Weekly,AMOL DHANAJI BANSODE,AMOL DHANAJI BANSODE,Maharashtra,Nashik,View  registration details for MANMAD VRUTTA SAMRAT (MAHMAR/2020/79744)
39515,MANMASI DIGEST,MANMUL/2011/58474,26-11-2014,English,Monthly,TIMOTHY Z. ZOTE,TIMOTHY Z. ZOTE,Manipur,Churachandpur,View  registration details for MANMASI DIGEST (MANMUL/2011/58474)
39516,MANMEET,DELHIN/2014/60222,16-02-2015,Hindi,Monthly,ARVIND KUMAR SINGH,ARVIND KUMAR SINGH,Delhi,New Delhi,View  registration details for MANMEET (DELHIN/2014/60222)
39517,MANMEET,UPHIN/2011/45453,01-10-2012,Hindi,Monthly,ARVIND KUMAR SINGH,ARVIND KUMAR SINGH,Uttar Pradesh,Azamgarh,View  registration details for MANMEET (UPHIN/2011/45453)
39518,MANMIN NEWS,TNTAM/2015/66000,05-02-2016,Tamil,Monthly,M. CHITTI BABU,M. CHITTI BABU,Tamil Nadu,Chennai,View  registration details for MANMIN NEWS (TNTAM/2015/66000)
39519,MANMIN SAMACHAR,DELHIN/2016/70497,27-02-2017,Hindi,Weekly,RAVI AUGUSTINE,MANMIN CENTER DELHI,Delhi,New Delhi,View  registration details for MANMIN SAMACHAR (DELHIN/2016/70497)
