SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
7501,AZIZ MARKAZ,63276,22-02-1996,Hindi,Weekly,MOHD. AFZAL QURESHI,MOHD. AFZAL QURESHI,Uttar Pradesh,Lucknow,View  registration details for AZIZ MARKAZ (63276)
7502,AZIZ TANZIM,BIHURD/2013/54834,28-02-2014,Urdu,Daily,VINOD SHANKER PARASHAR,VINOD SHANKER PARASHAR,Bihar,Patna,View  registration details for AZIZ TANZIM (BIHURD/2013/54834)
7503,AZMAT E BIHAR,BIHURD/2015/64084,07-09-2015,Urdu,Daily,SYED NAIYAR ALI WARSI,SYED NAIYAR ALI WARSI,Bihar,Patna,View  registration details for AZMAT E BIHAR (BIHURD/2015/64084)
7504,AZMAT E HIND,26694,24-06-1975,"Urdu, Hindi",Weekly,HABIB AKHTAR QADRI,HABIB AKTHAR QADRI,Uttar Pradesh,Moradabad,View  registration details for AZMAT E HIND (26694)
7505,AZMAT-E-HIND,UPURD/2007/22971,18-02-2008,Urdu,Daily,MUMTAZ ALAM,MUMTAZ ALAM,Uttar Pradesh,Lucknow,View  registration details for AZMAT-E-HIND (UPURD/2007/22971)
7506,AZMATH E AWLIYA,TELURD/2018/76715,25-01-2019,Urdu,Monthly,SYEDA AFREEN BEGUM,SYEDA AFREEN BEGUM,Telangana,Hyderabad,View  registration details for AZMATH E AWLIYA (TELURD/2018/76715)
7507,B FOR BUILDING,KERMAL/2011/35769,14-02-2011,Malayalam,Monthly,BABU KRISHNAKALA,BABU KRISHNAKALA,Kerala,Pathanamthitta,View  registration details for B FOR BUILDING (KERMAL/2011/35769)
7508,B P S NEWS,UPHIN/2016/66740,25-04-2016,Hindi,Weekly,BUDHPRAKASH SAHU,BUDHPRAKASH SAHU,Uttar Pradesh,Kanpur Nagar,View  registration details for B P S NEWS (UPHIN/2016/66740)
7509,B PROACTIVE ASK EHS,GUJENG/2016/68773,23-09-2016,English,Quarterly,JITENDRA KUMAR ANAND,ASK INSTITUTE OF ENVIRONMENT HEALTH & SAFETY PVT. LTD.,Gujarat,Surat,View  registration details for B PROACTIVE ASK EHS (GUJENG/2016/68773)
7510,B R NAHATA SMRITI SANSTHAN AGRICULTURAL EXTENSION JOURNAL,MPENG/2019/77941,03-09-2019,English,Quarterly,RAHUL NAHATA,B.R. NAHATA SMRITI SANSTHAN,Madhya Pradesh,Mandsaur,View  registration details for B R NAHATA SMRITI SANSTHAN AGRICULTURAL EXTENSION JOURNAL (MPENG/2019/77941)
7511,B S 1000,66004,06-05-2010,English,Annual,NANDAN SINGH RAWAT,BUSINESS STANDARD LTD,Delhi,New Delhi,View  registration details for B S 1000 (66004)
7512,B S P STUDENT MORCHA,62588,31-10-1995,Hindi,Weekly,AJAY RAJ AGARWAL,BHARTIYA SHIKSHA PARISHAD,Uttar Pradesh,Lucknow,View  registration details for B S P STUDENT MORCHA (62588)
7513,B-TOWN,DELENG/2015/63809,14-08-2015,English,Monthly,MOEZ AHMED,MOEZ AHMED,Delhi,New Delhi,View  registration details for B-TOWN (DELENG/2015/63809)
7514,B.A.KUMAR LEKHANIYADI ASPOTA,KARKAN/2000/02200,20-10-2000,Kannada,Fortnightly,B A KUMAR,B A KUMAR,Karnataka,Bengaluru,View  registration details for B.A.KUMAR LEKHANIYADI ASPOTA (KARKAN/2000/02200)
7515,B.C. EXPRESS,APTEL/2012/42237,16-05-2012,Telugu,Fortnightly,D. ABDUL RAHAMAN,D. ABDUL RAHAMAN,Andhra Pradesh,Anantapur,View  registration details for B.C. EXPRESS (APTEL/2012/42237)
7516,B.C.GARJANA SAAMAAJIKA NYAA SAADHANA VEDIKA,APTEL/1999/00319,15-02-2000,Telugu,Monthly,R.KRISHNAIAH,R.KRISHNAIAH,Telangana,Hyderabad,View  registration details for B.C.GARJANA SAAMAAJIKA NYAA SAADHANA VEDIKA (APTEL/1999/00319)
7517,B.C.MEDIA,APTEL/2000/03154,28-03-2001,Telugu,Monthly,N.PURUSHOTHAM GOUD,N.PURUSHOTHAM GOUD,Andhra Pradesh,Hyderabad,View  registration details for B.C.MEDIA (APTEL/2000/03154)
7518,B.K. NEWS,GJGUJ/25/A2468,10-09-2025,Gujarati,Daily,TAPANKUMAR PRAVINBHAI JAYSWAL,TAPANKUMAR PRAVINBHAI JAYSWAL,Gujarat,Surat,View  registration details for B.K. NEWS (GJGUJ/25/A2468)
7519,B.K. NEWS,GUJGUJ/2007/22243,26-12-2007,Gujarati,Daily,TAPANKUMAR PRAVINBHAI JAYSWAL,TAPANKUMAR PRAVINBHAI JAYSWAL,Gujarat,Banaskantha,View  registration details for B.K. NEWS (GUJGUJ/2007/22243)
7520,B.K. NEWS,GJGUJ/25/A2393,02-09-2025,Gujarati,Daily,TAPANKUMAR PRAVINBHAI JAYSWAL,TAPANKUMAR PRAVINBHAI JAYSWAL,Gujarat,Gandhinagar,View  registration details for B.K. NEWS (GJGUJ/25/A2393)
7521,B.N.COLLEGE MAGAZINE,13082,01-01-1957,English,Annual,DEVA PRASAD SEN GUPTA,B.N.COLLEGE,Bihar,Patna,View  registration details for B.N.COLLEGE MAGAZINE (13082)
7522,B.P.N. TIMES,RAJHIN/2010/35578,03-02-2011,Hindi,Daily,B.S. BAGHEL,B.S. BAGHEL,Rajasthan,Dhaulpur,View  registration details for B.P.N. TIMES (RAJHIN/2010/35578)
7523,B.R. TIMES,67063,11-10-1997,Hindi,Weekly,BALRAM DIXIT,BALRAM DIXIT,Uttar Pradesh,Prayagraj,View  registration details for B.R. TIMES (67063)
