SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
37501,MADHUR SWAR,62300,27-06-2013,Hindi,Fortnightly,MANJU LATA SHARMA,MANJULATA SHARMA,Rajasthan,Jaipur,View  registration details for MADHUR SWAR (62300)
37502,MADHUR UJALA,UPHIN/2015/65018,01-12-2015,Hindi,Daily,LAIQ AHMAD,LAIQ AHMAD,Uttar Pradesh,Kanpur Nagar,View  registration details for MADHUR UJALA (UPHIN/2015/65018)
37503,MADHUR VICHAR,MPHIN/2016/70301,02-02-2017,Hindi,Weekly,MADHU TOLANI,MADHU TOLANI,Madhya Pradesh,Bhopal,View  registration details for MADHUR VICHAR (MPHIN/2016/70301)
37504,MADHUR VICHAR,MPHIN/2013/50910,16-07-2013,Hindi,Monthly,SMT. MADHU TOLANI,MADHU TOLANI,Madhya Pradesh,Bhopal,View  registration details for MADHUR VICHAR (MPHIN/2013/50910)
37505,MADHURA MANDYA,KARKAN/2002/11344,27-11-2003,KANNADA,Daily,K. C. MANJUNATHA,K.C.MANJUNATHA,Karnataka,Mandya,View  registration details for MADHURA MANDYA (KARKAN/2002/11344)
37506,MADHURA MITRA,KARKAN/2022/82388,20-10-2022,KANNADA,Daily,CHANDRANAYAKA,CHANDRANAYAKA,Karnataka,Mandya,View  registration details for MADHURA MITRA (KARKAN/2022/82388)
37507,MADHURA MURALI,62828,23-03-2012,Tamil,Monthly,S. SRINIVASAN,GURUJI SRI MURALIDHARA SWAMIGAL MISSION.,Tamil Nadu,Chennai,View  registration details for MADHURA MURALI (62828)
37508,MADHURA MYTHRI,KARKAN/2013/54504,06-02-2014,Kannada,Monthly,D.S. MADHURA,D.S. MADHURA,Karnataka,Bengaluru,View  registration details for MADHURA MYTHRI (KARKAN/2013/54504)
37509,MADHURA PRAKASH VOICE,KARKAN/2018/81440,02-05-2022,Kannada,Monthly,MADHURA,MADHURA,Karnataka,Chitradurga,View  registration details for MADHURA PRAKASH VOICE (KARKAN/2018/81440)
37510,MADHURA SMRUTHULU,APTEL/2006/18472,09-02-2007,Telugu,Monthly,KARNAM BHASKAR RAO,KARNAM BHASKAR RAO,Telangana,Mahbubnagar,View  registration details for MADHURA SMRUTHULU (APTEL/2006/18472)
37511,MADHURAKSHAR,UPHIN/2009/30450,15-01-2010,Hindi,Quarterly,BRIJENDRA AGNIHOTRI,BRIJENDRA AGNIHOTRI,Uttar Pradesh,Fatehpur,View  registration details for MADHURAKSHAR (UPHIN/2009/30450)
37512,MADHURAM SAMAY,UTTHIN/2010/32630,16-06-2010,Hindi,Weekly,AARTI RATURI,AARTI RATURI,Uttarakhand,Dehradun,View  registration details for MADHURAM SAMAY (UTTHIN/2010/32630)
37513,MADHURIMA,DELENG/2009/29511,05-07-2012,English,Monthly,PUSHPENDRA SRIVASTAV,PUSHPENDRA SRIVASTAV,Delhi,New Delhi,View  registration details for MADHURIMA (DELENG/2009/29511)
37514,MADHURIMA,DELHIN/2002/07535,26-06-2012,Hindi,Monthly,PUSHPENDRA SRIVASTAV,PUSHPENDRA SRIVASTAV,Delhi,New Delhi,View  registration details for MADHURIMA (DELHIN/2002/07535)
37515,MADHURIMA,SIKNEP/2007/21829,26-11-2007,Nepali,Weekly,DHANU TAMANG,DHANU TAMANG,Sikkim,Gangtok,View  registration details for MADHURIMA (SIKNEP/2007/21829)
37516,MADHUSAKHA,MAHMAR/2008/29790,30-11-2009,Marathi,Monthly,DR.MILLIND HARI PATWARDHAN,DR. MILIND HARI PATWARDHAN,Maharashtra,Sangli,View  registration details for MADHUSAKHA (MAHMAR/2008/29790)
37517,MADHUSANGAMAVANI,KARKAN/2022/81514,27-05-2022,Kannada,Daily,MADHUMATI SANGAMESHWAR KOPARDE,MADHUMATI SANGAMESHWAR KOPARDE,Karnataka,Bagalkot,View  registration details for MADHUSANGAMAVANI (KARKAN/2022/81514)
37518,MADHUSATTVA,MAHBIL/2008/29636,20-11-2009,"English, Marathi",Bimonthly (Once in two months),DILIP YESHWANT TAWDE,THE SARASWAT CO-OP BANK LTD.,Maharashtra,Mumbai,View  registration details for MADHUSATTVA (MAHBIL/2008/29636)
37519,MADHUVAN NEWS,GUJGUJ/2021/84784,05-06-2023,Gujarati,Weekly,NIRAV MUKESHBHAI GADHIYA,NIRAV MUKESHBHAI GADHIYA,Gujarat,Gir Somnath,View  registration details for MADHUVAN NEWS (GUJGUJ/2021/84784)
