SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
18501,DRUVA JAGATH,KARKAN/2017/71656,12-05-2017,Kannada,Monthly,N. MAHESH,N MAHESH,Karnataka,Bengaluru,View  registration details for DRUVA JAGATH (KARKAN/2017/71656)
18502,DSPMU JOURNAL OF NATURAL SCIENCES,JHAENG/2023/86581,27-03-2024,English,Annual,TAPAN KUMAR SHANDILYA,"DR. SHYAMA PRASAD MUKHERJEE UNIVERSITY, RANCHI",Jharkhand,Ranchi,View  registration details for DSPMU JOURNAL OF NATURAL SCIENCES (JHAENG/2023/86581)
18503,DSV DONORS CLUB BULLETIN,MAHGUJ/2016/67440,13-06-2016,Gujarati,Monthly,RAMESH C. JANANI,RAMESH C JANANI,Maharashtra,Mumbai,View  registration details for DSV DONORS CLUB BULLETIN (MAHGUJ/2016/67440)
18504,DT NEXT,TNENG/2016/71392,25-04-2017,English,Daily,J.P. VIJAYARAJ,THE THANTHI TRUST,Tamil Nadu,Chennai,View  registration details for DT NEXT (TNENG/2016/71392)
18505,DU KHABARNAMA,DELHIN/2014/59604,16-01-2015,Hindi,Daily,GOPAL RAJPUT KARAN,GOPAL RAJPUT KARAN,Delhi,New Delhi,View  registration details for DU KHABARNAMA (DELHIN/2014/59604)
18506,DUARS SAMACHAR,WBBEN/2006/17644,20-11-2006,Bengali,Weekly,SRI RAMEN DEY,RAMEN DEY,West Bengal,Jalpaiguri,View  registration details for DUARS SAMACHAR (WBBEN/2006/17644)
18507,DUBATA SAVERA,MPHIN/2011/42576,28-05-2012,Hindi,Daily,VIVEK YADAV,VIVEK YADAV,Madhya Pradesh,Bhopal,View  registration details for DUBATA SAVERA (MPHIN/2011/42576)
18508,DUBELA,WBBEN/2015/64962,01-12-2015,Bengali,Monthly,BALARAM MISTRY,BALARAM MISTRY,West Bengal,North 24 Parganas,View  registration details for DUBELA (WBBEN/2015/64962)
18509,DUDA GANGA,KARKAN/2017/75366,29-05-2018,Kannada,Fortnightly,ASHOK M. JOGOJE,ASHOK M JOGOJE,Karnataka,Belagavi,View  registration details for DUDA GANGA (KARKAN/2017/75366)
18510,DUDHESHWAR TIMES,GUJGUJ/2000/00637,21-03-2000,Gujarati,Fortnightly,KANUBHAI PURSHOTTAMD,KANUBHAI PURSHOTTAMDAS MISTRY,Gujarat,Ahmedabad,View  registration details for DUDHESHWAR TIMES (GUJGUJ/2000/00637)
18511,DUDHNA EXPRESS,MHMAR/24/A0016,21-11-2024,Marathi,Weekly,Suresh Kavade,Suresh Kavade,Maharashtra,Jalna,View  registration details for DUDHNA EXPRESS (MHMAR/24/A0016)
18512,DUDHWA SANDESH,68710,13-05-1998,Hindi,Weekly,RAMESH CHANDRA MISHRA,RAMESH CHANDRA MISHRA,Uttar Pradesh,Lakhimpur Kheri,View  registration details for DUDHWA SANDESH (68710)
18513,DUDIYORA JANASANGHARSHA,KARKAN/2013/53152,19-11-2013,Kannada,Weekly,M. MUNIKRISHNAPPA,M. MUNIKRISHNAPPA,Karnataka,Bengaluru,View  registration details for DUDIYORA JANASANGHARSHA (KARKAN/2013/53152)
18514,DUDU TIMES,RAJHIN/2018/75979,10-09-2018,Hindi,Fortnightly,MILINDRA SHUJJA,MILINDRA SHUJJA,Rajasthan,Jaipur,View  registration details for DUDU TIMES (RAJHIN/2018/75979)
18515,DUGDH SARITA,DELHIN/2017/74023,04-12-2017,Hindi,Bimonthly (Once in two months),NARESH KUMAR BHANOT,M/S INDIAN DAIRY ASSOCIATION,Delhi,New Delhi,View  registration details for DUGDH SARITA (DELHIN/2017/74023)
