SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
21501,GLOBAL EXPRESS,UPURD/2014/61418,21-04-2015,Urdu,Daily,NUSRAT ALI,NUSRAT ALI,Uttar Pradesh,Lucknow,View  registration details for GLOBAL EXPRESS (UPURD/2014/61418)
21502,GLOBAL EXPRESS,UPURD/2013/54762,25-02-2014,Urdu,Weekly,NUSRAT ALI,NUSRAT ALI,Uttar Pradesh,Lucknow,View  registration details for GLOBAL EXPRESS (UPURD/2013/54762)
21503,GLOBAL FACTS,GUJENG/2016/72470,11-07-2017,English,Fortnightly,KETAN HARIBHAI PATEL,KETAN HARIBHAI PATEL,Gujarat,Gandhinagar,View  registration details for GLOBAL FACTS (GUJENG/2016/72470)
21504,GLOBAL GUJARAT,GUJGUJ/2011/38090,11-05-2012,Gujarati,Fortnightly,Pratima Niren Dalal,GLOBAL GUJARAT COMPETENCIES PVT.LTD.,Gujarat,Ahmedabad,View  registration details for GLOBAL GUJARAT (GUJGUJ/2011/38090)
21505,GLOBAL HALCHAL,MPHIN/2023/90052,05-11-2024,HINDI,Weekly,NITIN SHARMA,NITIN SHARMA,Madhya Pradesh,Chhindwara,View  registration details for GLOBAL HALCHAL (MPHIN/2023/90052)
21506,GLOBAL HARYANA,HARBIL/2016/72131,06-06-2017,"English, HINDI",Monthly,HARJINDER SHARMA,HARJINDER SHARMA,Haryana,Faridabad,View  registration details for GLOBAL HARYANA (HARBIL/2016/72131)
21507,GLOBAL HEADLINE,PUNPUN/2022/87541,14-06-2024,PUNJABI,Monthly,SIMARDEEP SINGH,SIMARDEEP SINGH,Punjab,Jalandhar,View  registration details for GLOBAL HEADLINE (PUNPUN/2022/87541)
21508,GLOBAL HERALD,MPHIN/2012/41876,10-12-2013,Hindi,Daily,VISHNU GOYAL,SHIVA PUBLICATION,Madhya Pradesh,Indore,View  registration details for GLOBAL HERALD (MPHIN/2012/41876)
21509,GLOBAL HERALD,MPHIN/2013/53697,20-12-2013,Hindi,Daily,VISHNU GOYAL,SHIVA PUBLICATION,Madhya Pradesh,Bhopal,View  registration details for GLOBAL HERALD (MPHIN/2013/53697)
21510,GLOBAL HIND BHOOMI EXPRESS,MPHIN/2024/89484,14-10-2024,HINDI,Weekly,KRISHN KUMAR RAJPUT,KRISHN KUMAR RAJPUT,Madhya Pradesh,Hoshangabad,View  registration details for GLOBAL HIND BHOOMI EXPRESS (MPHIN/2024/89484)
21511,GLOBAL HINDUSTAN NEWS,UTTHIN/2016/68959,20-10-2016,Hindi,Monthly,AMIT KUMAR SHARMA,AMIT KUMAR SHARMA,Uttarakhand,Dehradun,View  registration details for GLOBAL HINDUSTAN NEWS (UTTHIN/2016/68959)
21512,Global Impact Review,UPENG/25/A5021,10-12-2025,English,Monthly,AMIT KUMAR,AMIT KUMAR,Uttar Pradesh,Ghaziabad,View  registration details for Global Impact Review (UPENG/25/A5021)
21513,GLOBAL JAGRAN,MPHIN/26/A4227,25-05-2026,Hindi,Monthly,AMIT SHARMA,AMIT SHARMA,Madhya Pradesh,Chhindwara,View  registration details for GLOBAL JAGRAN (MPHIN/26/A4227)
21514,Global Jaunsar Shilalekh,UAHIN/26/A1594,17-03-2026,Hindi,Fortnightly,NAMITA PANCHAULI,NAMITA PANCHAULI,Uttarakhand,Dehradun,View  registration details for Global Jaunsar Shilalekh (UAHIN/26/A1594)
21515,GLOBAL JOBS,MAHENG/2009/41381,11-07-2013,English,Weekly,R. Krishnamurthy,"BENNETT, COLEMAN & CO.LTD",Maharashtra,Mumbai,View  registration details for GLOBAL JOBS (MAHENG/2009/41381)
21516,GLOBAL JOURNAL OF EMERGING MARKET ECONOMICS,DELENG/2011/39332,21-10-2011,English,Thrice In a Year,VIVEK MEHRA,SAGE PUBLICATIONS INDIA PVT.LTD,Delhi,New Delhi,View  registration details for GLOBAL JOURNAL OF EMERGING MARKET ECONOMICS (DELENG/2011/39332)
21517,GLOBAL JOURNAL OF TRANSFUSION MEDICINE AATM,MAHENG/2017/71005,17-04-2017,English,Half Yearly,SATISH PANDURANG SAWANT,ASIAN ASSOCIATION OF TRANSFUSION MEDICINE,Maharashtra,Mumbai,View  registration details for GLOBAL JOURNAL OF TRANSFUSION MEDICINE AATM (MAHENG/2017/71005)
21518,GLOBAL KESARI,RAJHIN/2023/88741,29-08-2024,HINDI,Fortnightly,ASHUTOSH BATTA,ASHUTOSH BATTA,Rajasthan,Jaipur,View  registration details for GLOBAL KESARI (RAJHIN/2023/88741)
21519,Global Khabar,PBHIN/25/A3332,16-10-2025,Hindi,Daily,Raj Rani,Raj Rani,Punjab,Mansa,View  registration details for Global Khabar (PBHIN/25/A3332)
21520,GLOBAL KHABAR,PBENG/25/A3191,14-10-2025,English,Daily,Raj Rani,Raj Rani,Punjab,Mansa,View  registration details for GLOBAL KHABAR (PBENG/25/A3191)
21521,GLOBAL KHABAR,PBPUN/25/A0277,19-05-2025,Punjabi,Daily,Raj Rani,Raj Rani,Punjab,Mansa,View  registration details for GLOBAL KHABAR (PBPUN/25/A0277)
21522,GLOBAL KI SHIKSHA,MPHIN/2022/81597,24-06-2022,Hindi,Quarterly,MEENA GUPTA,MEENA GUPTA,Madhya Pradesh,Bhopal,View  registration details for GLOBAL KI SHIKSHA (MPHIN/2022/81597)
21523,GLOBAL KI SHIKSHA,MPHIN/2023/91102,28-07-2025,Hindi,Monthly,MEENA GUPTA,MEENA GUPTA,Madhya Pradesh,Bhopal,View  registration details for GLOBAL KI SHIKSHA (MPHIN/2023/91102)
21524,GLOBAL LIGHT,KNKAN/26/A6775,13-08-2026,Kannada,Fortnightly,A.B.Gangaraju,A.B.Gangaraju,Karnataka,Tumkur,View  registration details for GLOBAL LIGHT (KNKAN/26/A6775)
21525,Global Lucknow,UPHIN/26/A0326,14-01-2026,Hindi,Monthly,Saurabh Yadav,Saurabh Yadav,Uttar Pradesh,Lucknow,View  registration details for Global Lucknow (UPHIN/26/A0326)
21526,GLOBAL MAHARASHTRA,MAHMAR/2016/70953,26-04-2017,Marathi,Weekly,SHIVAJI BHASKAR SHINDE,SHIVAJI BHASKAR SHINDE,Maharashtra,Jalgaon,View  registration details for GLOBAL MAHARASHTRA (MAHMAR/2016/70953)
21527,GLOBAL MAHATEJ,MHBIL/25/A0192,15-05-2025,"Hindi, Marathi",Daily,ANAND DIGAMBAR MAHALE,ANAND DIGAMBAR MAHALE,Maharashtra,Jalgaon,View  registration details for GLOBAL MAHATEJ (MHBIL/25/A0192)
21528,GLOBAL MANTHAN,RAJHIN/2022/85778,30-11-2023,Hindi,Daily,RAJ CHOUDHARY,NEETU,Rajasthan,Jodhpur,View  registration details for GLOBAL MANTHAN (RAJHIN/2022/85778)
21529,GLOBAL MARATHWADA A SHAKTI,MAHMAR/2015/64704,09-11-2015,Marathi,Weekly,DHANRAJ BABURAO BHARTI,DHANRAJ BABURAO BHARTI,Maharashtra,Latur,View  registration details for GLOBAL MARATHWADA A SHAKTI (MAHMAR/2015/64704)
