SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
38501,MAHSUL SEVA,MAHMAR/2010/36230,17-03-2011,Marathi,Weekly,SYED SHAFI,SYED SHAFI,Maharashtra,Chhatrapati Sambhaji Nagar,View  registration details for MAHSUL SEVA (MAHMAR/2010/36230)
38502,MAHTARI SAMVAD,CTHIN/26/A3392,11-05-2026,Hindi,Monthly,Jitendra Kumar Sahu,Jitendra Kumar Sahu,Chhattisgarh,Durg,View  registration details for MAHTARI SAMVAD (CTHIN/26/A3392)
38503,MAHTARI VANDAN,MPHIN/26/A4855,09-06-2026,Hindi,Monthly,BHARTI SAHU,BHARTI SAHU,Madhya Pradesh,Rewa,View  registration details for MAHTARI VANDAN (MPHIN/26/A4855)
38504,MAHTARI VANDAN,CTHIN/25/A4540,01-12-2025,Hindi,Monthly,BHARTI SAHU,BHARTI SAHU,Chhattisgarh,Raipur,View  registration details for MAHTARI VANDAN (CTHIN/25/A4540)
38505,MAHTO EXPRESS,JHAHIN/2020/79455,17-02-2021,Hindi,Daily,MUNNU KUMARI,MUNNU KUMARI,Jharkhand,Ranchi,View  registration details for MAHTO EXPRESS (JHAHIN/2020/79455)
38506,MAHU TIMES,45314,20-12-1994,Hindi,Weekly,SURESH CHATURVEDI,SURESH CHATURVEDI,Madhya Pradesh,Indore,View  registration details for MAHU TIMES (45314)
38507,MAHUA NEWS,UPHIN/2010/42064,09-05-2012,Hindi,Daily,RAJKUMAR SINGH,RRAJKUMAR SINGH,Uttar Pradesh,Jaunpur,View  registration details for MAHUA NEWS (UPHIN/2010/42064)
38508,MAHUA NEWS,UPBHO/2009/28700,13-08-2009,Bhojpuri,Daily,RAJKUMAR SINGH,RAJKUMAR SINGH,Uttar Pradesh,Jaunpur,View  registration details for MAHUA NEWS (UPBHO/2009/28700)
38509,MAHUA NEWS,UPBHO/2011/43074,21-06-2012,Bhojpuri,Daily,RAJ KUMAR SINGH,RAJKUMAR SINGH,Uttar Pradesh,Lucknow,View  registration details for MAHUA NEWS (UPBHO/2011/43074)
38510,Mahurgarh Jagaruti,MHMAR/25/A5171,16-12-2025,Marathi,Twice a week,SARFRAJ ABDULQADAR DOSANI,SARFRAJ ABDULQADAR DOSANI,Maharashtra,Nanded,View  registration details for Mahurgarh Jagaruti (MHMAR/25/A5171)
38511,MAHURI MAYANK,3528,12-05-1955,Hindi,Monthly,HARIHAR PRASAD ATHGHARA,MAHURI MAYANK SAMITY,Bihar,Gaya,View  registration details for MAHURI MAYANK (3528)
38512,MAHUVA SAMACHAR,GUJGUJ/2011/46159,05-11-2012,Gujarati,Weekly,NATUBHAI C. GAJJAR,NATUBHAI C. GAJJAR,Gujarat,Bhavnagar,View  registration details for MAHUVA SAMACHAR (GUJGUJ/2011/46159)
38513,MAHUVA TIMES,GUJGUJ/2011/39483,11-11-2011,Gujarati,Weekly,HARIBHAI CHITHARBHAI VAGH,HARIBHAI CHITHARBHAI VAGH,Gujarat,Bhavnagar,View  registration details for MAHUVA TIMES (GUJGUJ/2011/39483)
38514,MAHUVA TODAY,GUJGUJ/2002/07348,25-07-2002,Gujarati,Weekly,PARMAR LAVJIBAHI VALJIBHAI,PARMAR LAVJIBAHI VALJIBHAI,Gujarat,Bhavnagar,View  registration details for MAHUVA TODAY (GUJGUJ/2002/07348)
38515,MAHWAR-E-NIZAMABAD,TELURD/2005/16443,18-04-2006,Urdu,Daily,MOHD. GOUSE,MOHD. GOUSE,Telangana,Nizamabad,View  registration details for MAHWAR-E-NIZAMABAD (TELURD/2005/16443)
38516,MAI BHI HUN,MPHIN/2016/66703,25-04-2016,Hindi,Monthly,GHANSHYAM SINGH CHANDRWANSHI,GHANSHYAM SINGH CHANDRWANSHI,Madhya Pradesh,Bhopal,View  registration details for MAI BHI HUN (MPHIN/2016/66703)
38517,MAIDAN E AMAL,UPURD/2016/67502,14-06-2016,Urdu,Monthly,MOHD. SALEEM,MOHD.SALEEM,Uttar Pradesh,Hardoi,View  registration details for MAIDAN E AMAL (UPURD/2016/67502)
38518,MAIDAN E SAHAFAT,MAHURD/2016/68133,02-08-2016,Urdu,Twice a week,SHAHZAD AKHTAR MOHAMMAD YUNUS,SHAHZAD AKHTAR MOHAMMAD YUNUS,Maharashtra,Nashik,View  registration details for MAIDAN E SAHAFAT (MAHURD/2016/68133)
38519,MAIDH EKTA,UTTHIN/2008/26547,19-12-2008,Hindi,Quarterly,MEENAKSHI VERMA,MEENAKSHI VERMA,Uttarakhand,Dehradun,View  registration details for MAIDH EKTA (UTTHIN/2008/26547)
