SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
7001,AVIRAL VARTA,MPHIN/26/A5316,18-06-2026,Hindi,Bimonthly (Once in two months),AANYA TRIPATHI,AANYA TRIPATHI,Madhya Pradesh,Bhopal,View  registration details for AVIRAL VARTA (MPHIN/26/A5316)
7002,AVIRAL VARTA,CHHHIN/2022/83864,20-04-2023,Hindi,Monthly,AANYA TRIPATHI,AANYA TRIPATHI,Chhattisgarh,Raipur,View  registration details for AVIRAL VARTA (CHHHIN/2022/83864)
7003,AVIRAM PATHIK,MPHIN/2007/18879,26-03-2007,Hindi,Monthly,YASHWANT ARGARE,YASHWANT ARGARE,Madhya Pradesh,Bhopal,View  registration details for AVIRAM PATHIK (MPHIN/2007/18879)
7004,AVIRAM SAHITYAKI,UTTHIN/2012/48352,01-03-2013,Hindi,Quarterly,MADHYAMA GUPTA,MADHYAMA GUPTA,Uttarakhand,Haridwar,View  registration details for AVIRAM SAHITYAKI (UTTHIN/2012/48352)
7005,AVIRAM URJA,64824,31-12-1996,Hindi,Monthly,VIJAY SIRVAIYAN,VIJAY SIRVAIYAN,Madhya Pradesh,Bhopal,View  registration details for AVIRAM URJA (64824)
7006,AVIRAT,69181,08-10-1998,Gujarati,Fortnightly,PARESH GOVIND LAL SHAH,SHAH PARVESH KUMAR GOVIND LAL,Gujarat,Ahmedabad,View  registration details for AVIRAT (69181)
7007,AVIRAT SANGHARSH,MAHMAR/2016/72718,26-07-2017,Marathi,Weekly,YOGESH MADHAVRAO KADAM,YOGESH MADHAVRAO KADAM,Maharashtra,Chhatrapati Sambhaji Nagar,View  registration details for AVIRAT SANGHARSH (MAHMAR/2016/72718)
7008,AVIRAT VAATCHAL,MAHMAR/2016/69814,29-12-2016,Marathi,Weekly,SWAPNA SIDDHARTH HARALKAR,SWAPNA SIDDHARTH HARALKAR,Maharashtra,Thane,View  registration details for AVIRAT VAATCHAL (MAHMAR/2016/69814)
7009,AVIRAT WARTA,MAHMAR/2017/74237,21-12-2017,Marathi,Weekly,BHAUSAHEB LAHANU GAMBHIRE,BHAUSAHEB LAHANU GAMBHIRE,Maharashtra,Ahilyanagar,View  registration details for AVIRAT WARTA (MAHMAR/2017/74237)
7010,AVISHKAR,21740,05-07-2013,Hindi,Monthly,RADHA KANT ANTHWAL,NATIONAL RESEARCH DEVELOPMENT CORPORATION,Delhi,New Delhi,View  registration details for AVISHKAR (21740)
7011,AVIYA,MPHIN/2021/82526,21-10-2022,Hindi,Quarterly,KAMLESH KUMAR VERMA,KAMLESH KUMAR VERMA,Madhya Pradesh,Bhopal,View  registration details for AVIYA (MPHIN/2021/82526)
7012,AVIYANSH,ODIMUL/2021/81407,21-04-2022,"English, Oriya, Hindi",Monthly,MEELAN JENA,MEELAN JENA,Odisha,Jagatsinghapur,View  registration details for AVIYANSH (ODIMUL/2021/81407)
7013,AVLOKAN LEKH,GJGUJ/26/A0577,21-01-2026,Gujarati,Weekly,RANA ANANDKUMAR RATILAL,RANA ANANDKUMAR RATILAL,Gujarat,Bhavnagar,View  registration details for AVLOKAN LEKH (GJGUJ/26/A0577)
7014,AVLOKAN SAMACHAR,JHAHIN/2022/83357,24-02-2023,Hindi,Weekly,ARVIND KUMAR,ARVIND KUMAR,Jharkhand,Hazaribagh,View  registration details for AVLOKAN SAMACHAR (JHAHIN/2022/83357)
7015,AVLOKAN TIMES,59727,30-01-1995,Hindi,Weekly,ATISH KUMAR,ATISH KUMAR,Uttar Pradesh,Ghaziabad,View  registration details for AVLOKAN TIMES (59727)
7016,AVNI,GUJGUJ/2016/75271,21-05-2018,Gujarati,Daily,HARDIK DESAI,HARDIK DESAI,Gujarat,Ahmedabad,View  registration details for AVNI (GUJGUJ/2016/75271)
7017,AVNI RAAG,MPHIN/2023/88148,26-07-2024,HINDI,Quarterly,LOKESH MANSORE,LOKESH MANSORE,Madhya Pradesh,Bhopal,View  registration details for AVNI RAAG (MPHIN/2023/88148)
7018,AVOPA NEWS & VIEWS,KARBIL/2006/16434,17-04-2006,"English, Kannada",Monthly,VENKATESH BABU REGANTI,"GEN.SECRETARY, AVOPA",Karnataka,Bengaluru,View  registration details for AVOPA NEWS & VIEWS (KARBIL/2006/16434)
7019,AVOPA NEWS BULLETIN,TELTEL/2016/69729,27-12-2016,Telugu,Monthly,YADAGIRI NUKA,TELANGANA ARYA VYSYA OFFICIALS AND PROFESSIONALS ASSOCIATION,Telangana,Rangareddy,View  registration details for AVOPA NEWS BULLETIN (TELTEL/2016/69729)
7020,AVS NEWS,PUNBIL/2009/28787,27-08-2009,"Hindi, Punjabi",Weekly,ASEEM BHANDARI,ASEEM BHANDARI,Punjab,Amritsar,View  registration details for AVS NEWS (PUNBIL/2009/28787)
7021,AVSAAF-E-HIND,UPURD/2010/36049,09-03-2011,Urdu,Daily,BRIJESH PANDEY,BRIJESH PANDEY,Uttar Pradesh,Lucknow,View  registration details for AVSAAF-E-HIND (UPURD/2010/36049)
7022,AVSAR TODAY,MPHIN/2014/56086,03-07-2014,Hindi,Quarterly,SANDEEP PATHAK,SANDEEP PATHAK,Madhya Pradesh,Bhopal,View  registration details for AVSAR TODAY (MPHIN/2014/56086)
7023,AVSHESH INSIDE,MPHIN/26/A0256,09-01-2026,Hindi,Quarterly,ASMA,ASMA,Madhya Pradesh,Bhopal,View  registration details for AVSHESH INSIDE (MPHIN/26/A0256)
7024,AVTAR KESRI,PUNHIN/2002/09963,28-05-2003,Hindi,Weekly,SHAILENDER SEHGAL,SHAILENDER SEHGAL,Punjab,Jalandhar,View  registration details for AVTAR KESRI (PUNHIN/2002/09963)
7025,AVTAR MIRROR,MPHIN/2017/72214,20-06-2017,Hindi,Weekly,KRISHAN AVTAR SHARMA,KRISHAN AVTAR SHARMA,Madhya Pradesh,Gwalior,View  registration details for AVTAR MIRROR (MPHIN/2017/72214)
7026,AVTAR SANDESH,GUJBIL/2022/86631,29-02-2024,"Gujarati, Hindi",Weekly,KHAN ABDULHAMID FARUKAHEAMD,KHAN ABDULHAMID FARUKAHEAMD,Gujarat,Surat,View  registration details for AVTAR SANDESH (GUJBIL/2022/86631)
7027,AVTAR SHREE,45138,30-04-1986,Hindi,Weekly,ASHOK MALVIYA,ASHOK MALVIYA,Madhya Pradesh,Bhopal,View  registration details for AVTAR SHREE (45138)
7028,AVVAL NEWS,72423,20-12-1999,Hindi,Weekly,MOHAMMAD WASEEM,MOHAMMAD WASEEM,Uttar Pradesh,Lucknow,View  registration details for AVVAL NEWS (72423)
7029,AVVAL NEWS,UPHIN/2008/26322,28-11-2008,Hindi,Daily,MOHD. WASEEM,MOHD. WASEEM,Uttar Pradesh,Lucknow,View  registration details for AVVAL NEWS (UPHIN/2008/26322)
7030,AVVERAHALLI VOICE,KARKAN/2020/81293,25-03-2022,Kannada,Monthly,CHALUVARANGA.R,CHALUVARANGA.R.,Karnataka,Bengaluru,View  registration details for AVVERAHALLI VOICE (KARKAN/2020/81293)
7031,Awaaj jalnekaranecha,MHMAR/25/A5159,16-12-2025,Marathi,Weekly,Mahesh Ganesh Dhembre,Mahesh Ganesh Dhembre,Maharashtra,Jalna,View  registration details for Awaaj jalnekaranecha (MHMAR/25/A5159)
7032,AWAAM KA INSAAF,UTTHIN/2010/32376,19-05-2010,Hindi,Monthly,KAPIL SINGH,KAPIL SINGH,Uttarakhand,Dehradun,View  registration details for AWAAM KA INSAAF (UTTHIN/2010/32376)
7033,AWAAM KI CHAH,MPHIN/2011/38688,29-08-2011,Hindi,Daily,ALTAF KHAN,ALTAF KHAN,Madhya Pradesh,Bhopal,View  registration details for AWAAM KI CHAH (MPHIN/2011/38688)
7034,AWAAM KI SHOHRAT,MPURD/2023/88112,26-07-2024,URDU,Quarterly,SANABBAR SULTANA,SANABBAR SULTANA,Madhya Pradesh,Bhopal,View  registration details for AWAAM KI SHOHRAT (MPURD/2023/88112)
