SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
39001,MANA DEEPAM,TGTEL/25/A1087,05-06-2025,Telugu,Daily,DEGALA JANARDHAN,DEGALA JANARDHAN,Telangana,Suryapet,View  registration details for MANA DEEPAM (TGTEL/25/A1087)
39002,MANA DESAM MANA ANDHRA PATRIKA,APTEL/2016/71671,18-05-2017,Telugu,Daily,R. BABU RAO,R BABURAO,Andhra Pradesh,Vizianagaram,View  registration details for MANA DESAM MANA ANDHRA PATRIKA (APTEL/2016/71671)
39003,MANA DUNIA,TELTEL/2023/85680,31-10-2023,Telugu,Daily,AAKULA SUDHAKAR,AAKULA SUDHAKAR,Telangana,Warangal,View  registration details for MANA DUNIA (TELTEL/2023/85680)
39004,MANA GALAM,APTEL/2017/74310,29-12-2017,Telugu,Daily,S T KHALEEL BASHA,NAGARURU RAGHAVENDRA,Andhra Pradesh,Kurnool,View  registration details for MANA GALAM (APTEL/2017/74310)
39005,MANA GREEN LAND,APTEL/2007/22803,04-02-2008,Telugu,Weekly,P. KOTESWARA RAO,P. KOTESWARA RAO,Andhra Pradesh,Khammam,View  registration details for MANA GREEN LAND (APTEL/2007/22803)
39006,MANA HEALTH INDIA,TELTEL/2017/73823,15-11-2017,Telugu,Fortnightly,MIRALA RAJENDER,MIRALA RAJENDER,Telangana,Karimnagar,View  registration details for MANA HEALTH INDIA (TELTEL/2017/73823)
39007,MANA IBRAHIMPATNAM,APTEL/2014/55387,22-04-2014,Telugu,Weekly,S. SATHYANARAYANA,S. SATHYANARAYANA,Telangana,Rangareddy,View  registration details for MANA IBRAHIMPATNAM (APTEL/2014/55387)
39008,MANA IBRAHIMPATNAM,TELTEL/2014/57918,24-10-2014,Telugu,Monthly,S. SATHYANARAYANA,S. SATHYANARAYANA,Telangana,Rangareddy,View  registration details for MANA IBRAHIMPATNAM (TELTEL/2014/57918)
39009,MANA JAITRAYATHRAA,APTEL/25/A3999,18-11-2025,Telugu,Daily,S RAMESH,S RAMESH,Andhra Pradesh,Chittoor,View  registration details for MANA JAITRAYATHRAA (APTEL/25/A3999)
39010,MANA JANA JYOTHI,APTEL/2006/17483,18-10-2006,Telugu,Fortnightly,PULIKANTI RAJENDER,PULIKANTI RAJENDER,Andhra Pradesh,Karimnagar,View  registration details for MANA JANA JYOTHI (APTEL/2006/17483)
39011,MANA JANASATTA,TELTEL/2015/65680,21-01-2016,Telugu,Daily,DHARAVATH RAMCHAND,DHARAVATH RAMCHAND,Telangana,Khammam,View  registration details for MANA JANASATTA (TELTEL/2015/65680)
39012,MANA KADIYAM NURSERY RAITHU,APTEL/25/A5042,10-12-2025,Telugu,Monthly,Sunkara Venkateswararao,Sunkara Venkateswararao,Andhra Pradesh,East Godavari,View  registration details for MANA KADIYAM NURSERY RAITHU (APTEL/25/A5042)
39013,MANA KALAM,TELTEL/2014/61696,01-05-2015,Telugu,Monthly,SUNKARANENI NARASAIAH,SUNKARANENI NARASAIAH,Telangana,Warangal,View  registration details for MANA KALAM (TELTEL/2014/61696)
39014,MANA KALASALA,APTEL/2014/56808,28-08-2014,Telugu,Weekly,VENNAPUSA DASARADHA RAMI REDDY,VENNAPUSA DASARADHA RAMI REDDY,Andhra Pradesh,Guntur,View  registration details for MANA KALASALA (APTEL/2014/56808)
39015,MANA KARTHVAYAM,APTEL/2009/29395,05-11-2009,Telugu,Daily,JANAKIRAM C.R.,JANAKI RAM C.R.,Andhra Pradesh,Medak,View  registration details for MANA KARTHVAYAM (APTEL/2009/29395)
39016,MANA KRANTHI,TELTEL/2012/48063,15-02-2013,Telugu,Daily,BANDI SAMMAIAH,BANDI SAMMAIAH,Telangana,Karimnagar,View  registration details for MANA KRANTHI (TELTEL/2012/48063)
39017,Mana laksham,TGTEL/26/A0174,01-01-2026,Telugu,Daily,CHANDAMALLA SUDHAKAR,CHANDAMALLA SUDHAKAR,Telangana,Suryapet,View  registration details for Mana laksham (TGTEL/26/A0174)
39018,MANA LEADER,TELURD/2014/59454,09-01-2015,Urdu,Fortnightly,ABDUL KHALEEL,ABDUL KHALEEL,Telangana,Hyderabad,View  registration details for MANA LEADER (TELURD/2014/59454)
39019,MANA LEADER,TELURD/2015/62768,22-06-2015,Urdu,Weekly,ABDUL KHALEEL,ABDUL KHALEEL,Telangana,Hyderabad,View  registration details for MANA LEADER (TELURD/2015/62768)
39020,MANA LEADER,TELURD/2015/62673,17-06-2015,Urdu,Daily,ABDUL KHALEEL,ABDUL KHALEEL,Telangana,Hyderabad,View  registration details for MANA LEADER (TELURD/2015/62673)
