SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
72501,THE GLOBAL EXPRESS,GUJGUJ/2019/90451,24-01-2025,GUJARATI,Weekly,Zabha Ismail,ISMAIL AHMED ZABHA,Gujarat,Panchmahal,View  registration details for THE GLOBAL EXPRESS (GUJGUJ/2019/90451)
72502,THE GLOBAL GYAN,UPHIN/2023/90162,14-11-2024,HINDI,Weekly,ABHAY VARMA,ABHAY VARMA,Uttar Pradesh,Lucknow,View  registration details for THE GLOBAL GYAN (UPHIN/2023/90162)
72503,THE GLOBAL HOME,UPHIN/2010/33424,31-08-2010,Hindi,Weekly,JYOTI YADAV,JYOTI YADAV,Uttar Pradesh,Lucknow,View  registration details for THE GLOBAL HOME (UPHIN/2010/33424)
72504,The Global Impact Frontier Magazine,CTBIL/26/A5106,15-06-2026,"English, Hindi",Monthly,Prashant Singh,Prashant Singh,Chhattisgarh,Raipur,View  registration details for The Global Impact Frontier Magazine (CTBIL/26/A5106)
72505,THE GLOBAL KASHMIR,JKENG/2011/38364,27-07-2011,English,Daily,ZAHOOR AHMAD BHAT,ZAHOOR AHMAD BHAT,Jammu and Kashmir,Srinagar,View  registration details for THE GLOBAL KASHMIR (JKENG/2011/38364)
72506,THE GLOBAL LEADER,UPHIN/2014/56320,25-07-2014,Hindi,Daily,ASHUTOSH MOHAN,ASHUTOSH MOHAN,Uttar Pradesh,Gautam Buddha Nagar,View  registration details for THE GLOBAL LEADER (UPHIN/2014/56320)
72507,THE GLOBAL LENS,MPBIL/26/A4768,05-06-2026,"Hindi, English",Weekly,VIKAS RAGHUWANSHI,VIKAS RAGHUWANSHI,Madhya Pradesh,Betul,View  registration details for THE GLOBAL LENS (MPBIL/26/A4768)
72508,THE GLOBAL LITERATI INSIGHTS,UPENG/2018/77604,20-06-2019,English,Half Yearly,DR. DEEN DAYAL,DR. DEEN DAYAL,Uttar Pradesh,Mathura,View  registration details for THE GLOBAL LITERATI INSIGHTS (UPENG/2018/77604)
72509,THE GLOBAL NEWS NETWORK,TRENG/26/A4191,25-05-2026,English,Weekly,SUDEB DAS,SUDEB DAS,Tripura,West Tripura,View  registration details for THE GLOBAL NEWS NETWORK (TRENG/26/A4191)
72510,The Global Perspective,KLENG/26/A2409,10-04-2026,English,Bimonthly (Once in two months),Amal Raj B,Amal Raj B,Kerala,Thiruvananthapuram,View  registration details for The Global Perspective (KLENG/26/A2409)
72511,THE GLOBAL POLITICS,DELENG/2016/68985,20-10-2016,English,Fortnightly,SRISHTI PANDEY,SRISHTI PANDEY,Delhi,New Delhi,View  registration details for THE GLOBAL POLITICS (DELENG/2016/68985)
72512,THE GLOBAL PRESS,MAHHIN/2016/67478,13-06-2016,Hindi,Fortnightly,KAUSHAL SINGH,KAUSHAL SINGH,Maharashtra,Mumbai,View  registration details for THE GLOBAL PRESS (MAHHIN/2016/67478)
72513,THE GLOBAL TIMES,MAHMAR/2021/84026,28-04-2023,Marathi,Daily,TUSHAR SHRIRAM KHANVILKAR,MANALI TUSHAR KHANVILKAR,Maharashtra,Palghar,View  registration details for THE GLOBAL TIMES (MAHMAR/2021/84026)
72514,THE GLOBAL TIMES,DELENG/2009/30258,01-01-2010,English,Weekly,R.R. AIYAR,AMITA CHAUHAN,Delhi,New Delhi,View  registration details for THE GLOBAL TIMES (DELENG/2009/30258)
72515,THE GLOBAL TIMES,MAHMAR/2020/80312,11-10-2021,Marathi,Daily,TUSHAR SHRIRAM KHANVILKAR,MANALI TUSHAR KHANVILKAR,Maharashtra,Thane,View  registration details for THE GLOBAL TIMES (MAHMAR/2020/80312)
72516,THE GLOBAL TIMES,MAHMAR/2012/44621,14-08-2013,Marathi,Daily,TUSHAR SHRIRAM KHANVILKAR,MANALI TUSHAR KHANVILKAR,Maharashtra,Mumbai,View  registration details for THE GLOBAL TIMES (MAHMAR/2012/44621)
72517,THE GLOBAL VOICE,MAHBIL/2021/80355,11-10-2021,"English, Marathi",Weekly,JYOTI CHETAN CHINDARKAR,JYOTI CHETAN CHINDARKAR,Maharashtra,Thane,View  registration details for THE GLOBAL VOICE (MAHBIL/2021/80355)
72518,THE GLOCAL,UAHIN/26/A2641,16-04-2026,Hindi,Weekly,Mohd Kaifiyan,Mohd Kaifiyan,Uttarakhand,Haridwar,View  registration details for THE GLOCAL (UAHIN/26/A2641)
72519,THE GLORY OF WORLD,MPHIN/26/A4626,04-06-2026,Hindi,Monthly,Mahesh Yadav,Mahesh Yadav,Madhya Pradesh,Bhopal,View  registration details for THE GLORY OF WORLD (MPHIN/26/A4626)
72520,THE GOAN EVERYDAY,GOAENG/2015/65729,21-01-2016,English,Daily,Sagar madhukar Lade,PRUDENT MEDIA (GOA) PVT. LTD.,Goa,North Goa,View  registration details for THE GOAN EVERYDAY (GOAENG/2015/65729)
72521,THE GOAN IN SCHOOL,GOAENG/2016/70668,09-03-2017,English,Weekly,RAJEEV NARAYAN SHARMA,FOMENTO MEDIA,Goa,North Goa,View  registration details for THE GOAN IN SCHOOL (GOAENG/2016/70668)
72522,THE GOLDEN CHAIN,PONBIL/2000/04390,21-07-2001,English,Quarterly,JHUMUR BHATTACHARYA,JHUMUR BHATTACHARYA,Puducherry,Puducherry,View  registration details for THE GOLDEN CHAIN (PONBIL/2000/04390)
72523,THE GOLKONDA MIRROR,TELENG/2017/71518,08-05-2017,English,Daily,NALUVALA ANIL REDDY,NALUVALA ANIL REDDY,Telangana,Karimnagar,View  registration details for THE GOLKONDA MIRROR (TELENG/2017/71518)
