SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
75501,Udgeet Rishi Gyan Prampara,DLHIN/26/A3967,20-05-2026,Hindi,Quarterly,Yamini Gautam,Yamini Gautam,Delhi,New Delhi,View  registration details for Udgeet Rishi Gyan Prampara (DLHIN/26/A3967)
75502,UDGHOSH SAMAY,MPBIL/2020/79198,15-12-2020,"English, HINDI",Monthly,ANKIT SHARMA,ANKIT SHARMA,Madhya Pradesh,Satna,View  registration details for UDGHOSH SAMAY (MPBIL/2020/79198)
75503,UDGHOSHA,24079,30-12-2010,Hindi,Daily,ROMA CHHATRAPATI CHETULE,ROMA CHHATRAPATI CHETULE,Maharashtra,Nagpur,View  registration details for UDGHOSHA (24079)
75504,Udgir Bhumi,MHMAR/26/A3620,13-05-2026,Marathi,Weekly,Kasbe Dhiraj Pandurangrao,Kasbe Dhiraj Pandurangrao,Maharashtra,Latur,View  registration details for Udgir Bhumi (MHMAR/26/A3620)
75505,UDGIR EKMAT,MHMAR/26/A6670,11-08-2026,Marathi,Daily,Nivrutti Ramrao Jawale,Nivrutti Ramrao Jawale,Maharashtra,Latur,View  registration details for UDGIR EKMAT (MHMAR/26/A6670)
75506,UDGIR EKMAT,MAHMAR/2016/67391,06-06-2016,Marathi,Weekly,NIVRUTTI RAMRAO JAWALE,NIVRUTTI RAMRAO JAWALE,Maharashtra,Latur,View  registration details for UDGIR EKMAT (MAHMAR/2016/67391)
75507,UDGIR SAMACHAR,MAHMAR/2016/71159,17-04-2017,Marathi,Weekly,SONI SHRINIWAS MADANLAL,SONI SHRINIWAS MADANLAL,Maharashtra,Latur,View  registration details for UDGIR SAMACHAR (MAHMAR/2016/71159)
75508,UDGIR TODAY,MAHBIL/2023/87204,07-05-2024,"Marathi, Hindi",Weekly,KHIZARODDIN KHALILODDIN MUNSHI,KHIZARODDIN KHALILODDIN MUNSHI,Maharashtra,Latur,View  registration details for UDGIR TODAY (MAHBIL/2023/87204)
75509,UDGIR VRUT VAHINI,MHMAR/26/A5044,12-06-2026,Marathi,Weekly,ANKITA NAGENDRA SABANE,ANKITA NAGENDRA SABANE,Maharashtra,Latur,View  registration details for UDGIR VRUT VAHINI (MHMAR/26/A5044)
75510,UDGIRCHA AWAZ,MHMAR/25/A3720,04-11-2025,Marathi,Weekly,CHAVHAN SHRIKRISHNA GOVINDRAO,CHAVHAN SHRIKRISHNA GOVINDRAO,Maharashtra,Latur,View  registration details for UDGIRCHA AWAZ (MHMAR/25/A3720)
