SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
57501,ROKTHOK NEWS,MAHMAR/2015/62028,21-05-2015,Marathi,Monthly,GIRASE YOGENDRA MAHARUSING,GIRASE YOGENDRA MAHARUSING,Maharashtra,Dhule,View  registration details for ROKTHOK NEWS (MAHMAR/2015/62028)
57502,ROKTHOK PRAHAR,MAHMAR/2013/48467,07-03-2013,Marathi,Weekly,SHAIKH ABDULLAH ABDUL JABBAR,SHAIKH ABDULLAH AB. JABBAR,Maharashtra,Chhatrapati Sambhaji Nagar,View  registration details for ROKTHOK PRAHAR (MAHMAR/2013/48467)
57503,ROKTHOK SANGHARSH,MAHBIL/2019/77742,12-07-2019,"English, HINDI",Fortnightly,KHALID MAMMOO KALANDAN,MAHARASHTRA RAHIVASI SURAKSHA SANGH,Maharashtra,Mumbai,View  registration details for ROKTHOK SANGHARSH (MAHBIL/2019/77742)
57504,ROKTHOK VARTA,MAHMAR/2013/55825,03-06-2014,Marathi,Weekly,RAJESH AMBADAS LAHASE,RAJESH AMBADAS LAHASE,Maharashtra,Buldhana,View  registration details for ROKTHOK VARTA (MAHMAR/2013/55825)
57505,ROLE MODEL,APTEL/26/A0864,30-01-2026,Telugu,Daily,MANNE SITA RAMA CHANDRA MURTHY,MANNE SITA RAMA CHANDRA MURTHY,Andhra Pradesh,West Godavari,View  registration details for ROLE MODEL (APTEL/26/A0864)
57506,ROLE MODEL RAHIMATPUR,MAHMAR/2010/66021,08-02-2016,Marathi,Weekly,SHAILAJA AVINASH KADAM,SHAILAJA AVINASH KADAM,Maharashtra,Satara,View  registration details for ROLE MODEL RAHIMATPUR (MAHMAR/2010/66021)
57507,ROLLI SAMACHAR,UPENG/2003/10500,11-08-2003,English,Daily,ROLI AGARWAL,ROLI AGARWAL,Uttar Pradesh,Bareilly,View  registration details for ROLLI SAMACHAR (UPENG/2003/10500)
57508,ROLLI SAMACHAR,UPHIN/2003/11009,21-10-2003,Hindi,Daily,ROLLI AGRAVAL,"ROLLI AGRAVAL,",Uttar Pradesh,Lucknow,View  registration details for ROLLI SAMACHAR (UPHIN/2003/11009)
57509,ROLLI SAMACHAR,UPHIN/2003/12832,24-06-2004,Hindi,Daily,ROLLI AGGRAWAL,ROLLI AGGRAWAL,Uttar Pradesh,Moradabad,View  registration details for ROLLI SAMACHAR (UPHIN/2003/12832)
57510,ROLLI SAMACHAR,UPHIN/2003/10435,01-08-2003,Hindi,Daily,ROLLI AGARWAL,ROLLI AGARWAL,Uttar Pradesh,Pilibhit,View  registration details for ROLLI SAMACHAR (UPHIN/2003/10435)
