SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
49001,PARWANA-E-DECCAN,21010,19-01-1972,Urdu,Monthly,SHAFI IQBAL,SHAFI IQBAL,Telangana,Hyderabad,View  registration details for PARWANA-E-DECCAN (21010)
49002,PARWANA-E-HIND,DELURD/2012/44166,20-07-2012,Urdu,Fortnightly,S.M.TEHSEEN MUNAWER,S.M.TEHSEEN MUNAWER,Delhi,New Delhi,View  registration details for PARWANA-E-HIND (DELURD/2012/44166)
49003,PARWAT KESARI,UTTHIN/2013/48283,26-02-2013,Hindi,Weekly,SHOBHA RAM,SHOBHA RAM,Uttarakhand,Dehradun,View  registration details for PARWAT KESARI (UTTHIN/2013/48283)
49004,PARWATI SHUSMA,UTTHIN/2011/41960,04-05-2012,Hindi,Weekly,MAHIPAL SHASTRI,MAHIPAL SHASTRI,Uttarakhand,Haridwar,View  registration details for PARWATI SHUSMA (UTTHIN/2011/41960)
49005,PARWATIYA DESHAM TIMES,51701,27-03-1991,Hindi,Weekly,DR. PUSHPA KHANDURI,PUSHPA KHANDURI,Uttarakhand,Dehradun,View  registration details for PARWATIYA DESHAM TIMES (51701)
49006,PARWATIYA SANSAR,UTTHIN/2011/36361,22-03-2011,Hindi,Weekly,RITURAJ GAIROLA,RITURAJ GAIROLA,Uttarakhand,Dehradun,View  registration details for PARWATIYA SANSAR (UTTHIN/2011/36361)
49007,PARWAZ TIMES,MPHIN/2015/62417,04-06-2015,Hindi,Weekly,FOZIA SHAHID,FOZIA SHAHID,Madhya Pradesh,Bhopal,View  registration details for PARWAZ TIMES (MPHIN/2015/62417)
49008,PARWAZ-E-SHAHEEN,32120,15-10-2012,Urdu,Weekly,SYED AIZAZ MOHAMMED,SYED AIZAZ MOHAMMED,Telangana,Hyderabad,View  registration details for PARWAZ-E-SHAHEEN (32120)
49009,PARYA MITRA,MPHIN/2013/54912,11-03-2014,Hindi,Quarterly,NAINA MAHESHWARI,NAINA MAHESHWARI,Madhya Pradesh,Bhopal,View  registration details for PARYA MITRA (MPHIN/2013/54912)
49010,PARYABEKHYAK,ODIODI/1999/00717,22-03-2012,Oriya,Daily,Priyabrata Nayak,HIRANMAYEE MEDIA PVT. LTD.,Odisha,Khordha,View  registration details for PARYABEKHYAK (ODIODI/1999/00717)
49011,PARYAGRAJ PRATAH,UPHIN/26/A2285,08-04-2026,Hindi,Weekly,IMAMUDDIN KHAN,IMAMUDDIN KHAN,Uttar Pradesh,Kushinagar,View  registration details for PARYAGRAJ PRATAH (UPHIN/26/A2285)
49012,PARYALOCHANA,MPHIN/26/A3778,15-05-2026,Hindi,Daily (Monday To Friday),Sandeep Kumar Singh,Sandeep Kumar Singh,Madhya Pradesh,Gwalior,View  registration details for PARYALOCHANA (MPHIN/26/A3778)
49013,PARYAMITAS,UPHIN/2008/24218,30-05-2008,Hindi,Weekly,CHANDRA KUMAR CHHABRA,CHANDRA KUMAR CHHABRA,Uttar Pradesh,Lucknow,View  registration details for PARYAMITAS (UPHIN/2008/24218)
49014,PARYATAK SAMACHAR,ORMUL/25/A1075,05-06-2025,"Bengali, English, Oriya",Weekly,SWARNALATA PATTANAIK,INDIAN COUNCIL OF TOURISM AND SOCIO CULTURAL RESEARCH,Odisha,Puri,View  registration details for PARYATAK SAMACHAR (ORMUL/25/A1075)
49015,PARYATAN AND PARYAVARAN,69785,25-01-1999,English,Fortnightly,MAHESH PUROHIT,MAHESH PUROHIT,Madhya Pradesh,Indore,View  registration details for PARYATAN AND PARYAVARAN (69785)
49016,PARYATAN AVLOKAN,RAJHIN/2000/02055,16-10-2000,Hindi,Fortnightly,SAJJAN SINGH RATHOR,SAJJAN SINGH RATHOR,Rajasthan,Jaipur,View  registration details for PARYATAN AVLOKAN (RAJHIN/2000/02055)
49017,PARYATAN BAZAR,RAJBIL/2012/45790,16-10-2012,"English, HINDI",Weekly,MANOJ KUMAR SHARMA,MANOJ KUMAR SHARMA,Rajasthan,Jodhpur,View  registration details for PARYATAN BAZAR (RAJBIL/2012/45790)
49018,PARYATAN BAZAR,RAJBIL/2014/58931,13-12-2014,"English, HINDI",Daily,MANOJ KUMAR SHARMA,MANOJ KUMAR SHARMA,Rajasthan,Jodhpur,View  registration details for PARYATAN BAZAR (RAJBIL/2014/58931)
49019,PARYATAN BHARAT,ODIBIL/2010/35594,04-02-2011,"English, Oriya",Monthly,NARAYAN MAHANKUDA,NARAYAN MAHANKUDA,Odisha,Ganjam,View  registration details for PARYATAN BHARAT (ODIBIL/2010/35594)
49020,PARYATAN DHARA,HARHIN/2004/12531,24-05-2004,Hindi,Fortnightly,HARDEEP BISHT,M/S. SARASWATI MEDIA PUBLICATIONS,Haryana,Faridabad,View  registration details for PARYATAN DHARA (HARHIN/2004/12531)
49021,PARYATAN DIGDARSHAN,22218,09-10-1969,Hindi,Monthly,SUNIL KUMAR AGARWAL,SUNIL KUMAR AGARWAL,Rajasthan,Udaipur,View  registration details for PARYATAN DIGDARSHAN (22218)
49022,PARYATAN DIGEST,MPHIN/2005/16767,21-06-2006,Hindi,Quarterly,SWATI TIWARI,SWATI TIWARI,Madhya Pradesh,Bhopal,View  registration details for PARYATAN DIGEST (MPHIN/2005/16767)
49023,PARYATAN EXPRESS,MPHIN/2016/67607,22-06-2016,Hindi,Monthly,DEVESH MISHRA,DEVESH MISHRA,Madhya Pradesh,Bhopal,View  registration details for PARYATAN EXPRESS (MPHIN/2016/67607)
49024,PARYATAN KA VICHAR,MPHIN/2021/80626,01-12-2021,Hindi,Quarterly,RASHIDA,RASHIDA,Madhya Pradesh,Bhopal,View  registration details for PARYATAN KA VICHAR (MPHIN/2021/80626)
49025,PARYATAN KI DUNIYA,MPHIN/2011/42920,13-06-2012,Hindi,Monthly,ISHTIYAQ KHAN,ISHTEYAQ KHAN,Madhya Pradesh,Bhopal,View  registration details for PARYATAN KI DUNIYA (MPHIN/2011/42920)
49026,PARYATAN TODAY,MPHIN/2013/53376,05-12-2013,Hindi,Weekly,DR. NEEL KAMAL MAHESHWARI,NEELKAMAL MAHESHWARI,Madhya Pradesh,Gwalior,View  registration details for PARYATAN TODAY (MPHIN/2013/53376)
49027,PARYATAN VANI,DELHIN/2013/60223,16-02-2015,Hindi,Monthly,MANORMA,MANORMA,Delhi,New Delhi,View  registration details for PARYATAN VANI (DELHIN/2013/60223)
49028,PARYATAN YUG,DELHIN/2013/52610,23-10-2013,Hindi,Monthly,P. L. KOTHARI,P.L. KOTHARI,Delhi,New Delhi,View  registration details for PARYATAN YUG (DELHIN/2013/52610)
49029,PARYAVARAN ABHIYAN,MPHIN/2022/86912,19-04-2024,Hindi,Monthly,M. KHAN,MANTASHA KHAN,Madhya Pradesh,Bhopal,View  registration details for PARYAVARAN ABHIYAN (MPHIN/2022/86912)
