SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
47001,NOOTAN KHABAR,UPHIN/2010/31334,17-03-2010,Hindi,Weekly,LAXMI KANT TIWARI,LAKSHMI KANT TIWARI,Uttar Pradesh,Lucknow,View  registration details for NOOTAN KHABAR (UPHIN/2010/31334)
47002,NOOTAN KUTCH,GUJGUJ/2011/40513,25-01-2012,Gujarati,Weekly,SONI HITESH JETHALAL,SONI HITESH JETHALAL,Gujarat,Kutch,View  registration details for NOOTAN KUTCH (GUJGUJ/2011/40513)
47003,Noothana Kala,KNKAN/26/A2465,13-04-2026,Kannada,Daily,Laxmikant,Laxmikant,Karnataka,Raichur,View  registration details for Noothana Kala (KNKAN/26/A2465)
47004,NoothanaYuga Insights,DLHIN/26/A2310,08-04-2026,Hindi,Fortnightly,KAMLESHWAR KUMAR CHADDHA,KAMLESHWAR KUMAR CHADDHA,Delhi,South Delhi,View  registration details for NoothanaYuga Insights (DLHIN/26/A2310)
47005,nootrukunooru sathavitham,TNTAM/25/A1731,07-07-2025,Tamil,Daily,R ANAND,R ANAND,Tamil Nadu,Thiruvallur,View  registration details for nootrukunooru sathavitham (TNTAM/25/A1731)
47006,NOOVIN DHWANI,KARKAN/2010/33493,01-09-2010,Kannada,Fortnightly,AIJAZ AHMED INAMDAR,AIJAZ AHMED INAMDAR,Karnataka,Dharwad,View  registration details for NOOVIN DHWANI (KARKAN/2010/33493)
47007,Norbhid Achuk Nishana,MHMAR/26/A6783,13-08-2026,Marathi,Daily,Manjuldas chatrabhuj kundkar,Manjuldas chatrabhuj kundkar,Maharashtra,Beed,View  registration details for Norbhid Achuk Nishana (MHMAR/26/A6783)
47008,NORTH BENGAL CINEMA,WBMUL/25/A4141,20-11-2025,"English, Hindi, Bengali",Monthly,SANJAY BARMAN,SANJAY BARMAN,West Bengal,Darjiling,View  registration details for NORTH BENGAL CINEMA (WBMUL/25/A4141)
47009,NORTH CENTRAL OF INDIA,UPBIL/2023/87708,28-06-2024,BILINGUAL,Weekly,MUHAMMAD SAYED AHAMAD,MUHAMMAD SAYED AHAMAD,Uttar Pradesh,Prayagraj,View  registration details for NORTH CENTRAL OF INDIA (UPBIL/2023/87708)
47010,NORTH DELHI SANDESH,DELHIN/2014/61522,24-04-2015,Hindi,Weekly,JAYNIWAS LAL SINGH,JAYNIWAS LAL SINGH,Delhi,New Delhi,View  registration details for NORTH DELHI SANDESH (DELHIN/2014/61522)
47011,NORTH EAST COLORS,TRIENG/2017/73934,22-11-2017,English,Daily,MIHIR GUPTA,BHUPENDRA CHANDRA DATTA BHAUMIK TRUST,Tripura,West Tripura,View  registration details for NORTH EAST COLORS (TRIENG/2017/73934)
47012,NORTH EAST CRIMES,MEGENG/2016/68712,14-09-2016,English,Monthly,RIBA SOLONICA KHARPRAN,RIBA SOLONICA KHARPRAN,Meghalaya,East Khasi Hills,View  registration details for NORTH EAST CRIMES (MEGENG/2016/68712)
