SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
59501,SALESIAN SEITHI MALAR,33652,13-12-1979,Tamil,Monthly,FR. A. SILUVAI MUTHU,SALESIAN PUBLISHING SOCIETY,Tamil Nadu,Chennai,View  registration details for SALESIAN SEITHI MALAR (33652)
59502,SALESMEN,APTEL/2013/49862,23-05-2013,Telugu,Daily,P. SUDHAKAR REDDY,P. SUDHAKARREDDY,Andhra Pradesh,Kurnool,View  registration details for SALESMEN (APTEL/2013/49862)
59503,SALI SAMACHAR,MAHMAR/2009/35273,18-01-2011,Marathi,Monthly,SHRIKRISHNA NIVRUTTI,KESHAVRAO GANPATI BADVE,Maharashtra,Kolhapur,View  registration details for SALI SAMACHAR (MAHMAR/2009/35273)
59504,Salil Sandesh,MPHIN/26/A5197,17-06-2026,Hindi,Weekly,Salil Tiwari,Salil Sandesh Broadcasting India Private Limited,Madhya Pradesh,Bhopal,View  registration details for Salil Sandesh (MPHIN/26/A5197)
59505,salil vaarta,MPHIN/26/A2050,27-03-2026,Hindi,Weekly,Ravendra Mishra,Ravendra Mishra,Madhya Pradesh,Bhopal,View  registration details for salil vaarta (MPHIN/26/A2050)
59506,SALIYAR KURAL,TNTAM/2003/10381,30-07-2003,Tamil,Monthly,T.KALASALINGAM,T.KALASALINGAM,Tamil Nadu,Chennai,View  registration details for SALIYAR KURAL (TNTAM/2003/10381)
59507,SALIYAR MALAR,TNTAM/2016/69291,11-11-2016,Tamil,Monthly,I.K.SUBRAMANIAN,I.K. SUBRAMANIAN,Tamil Nadu,Virudhunagar,View  registration details for SALIYAR MALAR (TNTAM/2016/69291)
59508,SALLA,20692,29-09-1970,Marathi,Weekly,SHANKARRAO BHAVRAO TEOLE,SHANKARRAO BHAURAO YEOLE,Maharashtra,Solapur,View  registration details for SALLA (20692)
59509,SALMAAN,37934,12-04-1984,English,Fortnightly,MIRZA KHADER ALI BAG,MIRZA KHADER ALI BAGH,Telangana,Hyderabad,View  registration details for SALMAAN (37934)
59510,SALON INTERNATIONAL,DELENG/2009/33218,09-08-2010,English,Monthly,S.P. TANEJA,IMAGES MULTIMEDIA PVT. LTD.,Delhi,New Delhi,View  registration details for SALON INTERNATIONAL (DELENG/2009/33218)
59511,SALONA RAJASTHAN,RAJHIN/2016/67141,31-05-2016,Hindi,Daily,SUWALAL KUMAWAT,SUWALAL KUMAWAT,Rajasthan,Sikar,View  registration details for SALONA RAJASTHAN (RAJHIN/2016/67141)
59512,SALONA RAJASTHAN,RAJHIN/2003/12629,03-06-2004,Hindi,Weekly,SUWALAL KUMAWAT,SUWALAL KUMAWAT,Rajasthan,Sikar,View  registration details for SALONA RAJASTHAN (RAJHIN/2003/12629)
59513,SALONI DIVYA,UPBIL/2019/77819,07-08-2019,"English, HINDI",Monthly,DR. RAVIKANT SARAL,DR. RAVIKANT SARAL,Uttar Pradesh,Baghpat,View  registration details for SALONI DIVYA (UPBIL/2019/77819)
59514,SALSAAL E SAFA,APBIL/2013/52697,22-10-2013,"English, Urdu",Monthly,GAYAS AHMED RASHADI,GAYAS AHMED RASHADI,Andhra Pradesh,Hyderabad,View  registration details for SALSAAL E SAFA (APBIL/2013/52697)
59515,SALSANG,KERMAL/2016/69019,21-10-2016,Malayalam,Monthly,V.P.JOEMON,V.P.JOEMON,Kerala,Kannur,View  registration details for SALSANG (KERMAL/2016/69019)
59516,SALT KA GAURAV,UTTHIN/2009/28070,24-06-2009,Hindi,Weekly,SHEETAL SAINI,SHEETAL SAINI,Uttarakhand,Haridwar,View  registration details for SALT KA GAURAV (UTTHIN/2009/28070)
59517,SALT LAKE SHAKTI,WBHIN/2008/23751,29-05-2009,Hindi,Fortnightly,SUJIT KUMAR BOSE,SUJIT KUMAR BOSE,West Bengal,North 24 Parganas,View  registration details for SALT LAKE SHAKTI (WBHIN/2008/23751)
59518,SALUJA EXPRESS,UTTHIN/2003/10513,12-08-2003,Hindi,Daily,VINAY BHATT,VINAY BHATT,Uttarakhand,Dehradun,View  registration details for SALUJA EXPRESS (UTTHIN/2003/10513)
