SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
11001,BLUE INK,JKENG/2016/74426,17-01-2018,English,Daily,ADITI SHARMA,ADITI WELFARE INDIA CHARITABLE,Jammu and Kashmir,Jammu,View  registration details for BLUE INK (JKENG/2016/74426)
11002,BLUE MORINING,MAHMAR/2010/36679,08-04-2011,Marathi,Weekly,SHRIKRUSHNA MADHAVRAO TATAD,SHRIKRUSHNA MADHAVRAO TATAD,Maharashtra,Amravati,View  registration details for BLUE MORINING (MAHMAR/2010/36679)
11003,BLUE ROCK,KNKAN/26/A0181,01-01-2026,Kannada,Daily,NARAYAN SHILPI,NARAYAN SHILPI,Karnataka,Bagalkot,View  registration details for BLUE ROCK (KNKAN/26/A0181)
11004,Blue Stone,UPHIN/26/A0436,16-01-2026,Hindi,Monthly,Rakesh Srivastava,Rakesh Srivastava,Uttar Pradesh,Lucknow,View  registration details for Blue Stone (UPHIN/26/A0436)
11005,BLUECHIP BULLETIN,70973,19-12-2012,English,Fortnightly,J. RAJAGOPALAN,M/S. BLUECHIP MEDIA PRIVATE LIMITED.,Maharashtra,Thane,View  registration details for BLUECHIP BULLETIN (70973)
11006,Blueocean HealthNext,UPBIL/26/A6364,05-08-2026,"Hindi, English",Monthly,Ravi Singh Kushwaha,BLUEOCEAN HEALTHCARE INTERNATIONAL PRIVATE LIMITED,Uttar Pradesh,Agra,View  registration details for Blueocean HealthNext (UPBIL/26/A6364)
11007,BMS NEWS,TNTAM/2014/56379,01-08-2014,Tamil,Monthly,K. PALANISAMY,BHARATIYA MAZDOOR SANGH,Tamil Nadu,Chennai,View  registration details for BMS NEWS (TNTAM/2014/56379)
11008,BMSCL JOURNAL OF LAW,KARENG/2022/83460,24-02-2023,English,Half Yearly,DR. ANITHA F.N. D'SOUZA,B.M.S COLLEGE OF LAW,Karnataka,Bengaluru,View  registration details for BMSCL JOURNAL OF LAW (KARENG/2022/83460)
11009,BOBBILI SAMRAJYAM,APTEL/2018/76998,11-03-2019,Telugu,Daily,K. SWAMY NAIDU,K SWAMY NAIDU,Andhra Pradesh,Vizianagaram,View  registration details for BOBBILI SAMRAJYAM (APTEL/2018/76998)
11010,BOBBY,43248,10-10-1985,Urdu,Monthly,M. RAFIQ ANWAR,M. RAFIQ ANWAR,Uttar Pradesh,Pilibhit,View  registration details for BOBBY (43248)
11011,BOBBY DEOL,53401,21-10-1991,Hindi,Monthly,HARIOM SINGH,HARIOM SINGH,Delhi,Central Delhi,View  registration details for BOBBY DEOL (53401)
11012,BODDH KI PUKAR,UPHIN/2010/33361,23-08-2010,Hindi,Weekly,GEETA KUSHWAHA,GEETA KUSHWAHA,Uttar Pradesh,Lucknow,View  registration details for BODDH KI PUKAR (UPHIN/2010/33361)
11013,BODELI LIVE,GUJGUJ/2023/84687,30-05-2023,Gujarati,Weekly,BARKATULLAH IBRAHIM KHATRI,BARKATULLAH IBRAHIM KHATRI,Gujarat,Chhotaudepur,View  registration details for BODELI LIVE (GUJGUJ/2023/84687)
11014,BODH DIPTI,66965,03-11-1997,Bengali,Monthly,NARAYAN CHANDRA NANDI,NARAYAN CH. NANDI,West Bengal,North 24 Parganas,View  registration details for BODH DIPTI (66965)
11015,BODH EXPRESS,UTTHIN/2012/50457,25-06-2013,Hindi,Weekly,RAJPAL SINGH TOMAR,RAJPAL SINGH TOMAR,Uttarakhand,Dehradun,View  registration details for BODH EXPRESS (UTTHIN/2012/50457)
11016,BODH PATRIKA,UPHIN/2006/23448,01-04-2008,Hindi,Monthly,MEENAKSHI PANDEY,MEENAKSHI PANDEYA,Uttar Pradesh,Lucknow,View  registration details for BODH PATRIKA (UPHIN/2006/23448)
11017,BODH SAURABHA,38213,23-06-1986,Hindi,Weekly,VIDYA GUPTA,SMT.VIDYA GUPTA LAL,Rajasthan,Jaipur,View  registration details for BODH SAURABHA (38213)
11018,Bodh Yatra,JHHIN/25/A4142,20-11-2025,Hindi,Bimonthly (Once in two months),Siddharth Shankar,Siddharth Shankar,Jharkhand,Dhanbad,View  registration details for Bodh Yatra (JHHIN/25/A4142)
11019,BODHADOYA,65625,01-01-1997,Bengali,Fortnightly,BIPLAB BISWAS,BIPLAB BISWAS,West Bengal,Murshidabad,View  registration details for BODHADOYA (65625)
11020,BODHAMRUT,MAHMAR/2008/23133,04-03-2008,Marathi,Weekly,MR. SHYAM BUDHAJI UBALE,SHYAM BUDHAJI UBALE,Maharashtra,Thane,View  registration details for BODHAMRUT (MAHMAR/2008/23133)
11021,BODHAN,30157,09-11-1976,Bengali,Monthly,,,,,View  registration details for BODHAN (30157)
11022,BODHANAM,55147,18-06-2013,Malayalam,Quarterly,M.K. MUHAMMAD ALI,ISLAMIC SERVICE TRUST,Kerala,Kozhikode,View  registration details for BODHANAM (55147)
11023,BODHAYAN,DELBIL/2016/68976,17-10-2016,"English, HINDI",Annual,DR. R.K. GUPTA,P.G.D.A.V(EVE.) COLLEGE UNIVERSITY OF DELHI,Delhi,New Delhi,View  registration details for BODHAYAN (DELBIL/2016/68976)
11024,BODHI DEEP,MPHIN/2022/86994,24-04-2024,Hindi,Quarterly,NEELIMA DHOKE,NEELIMA DHOKE,Madhya Pradesh,Bhopal,View  registration details for BODHI DEEP (MPHIN/2022/86994)
11025,BODHI MURASU,TNTAM/2014/57241,16-09-2014,TAMIL,Monthly,S. SARAVANAN,TAMIL NADU BOUDDHA SANGHA TRUST,Tamil Nadu,Chennai,View  registration details for BODHI MURASU (TNTAM/2014/57241)
11026,BODHI NAADU,KNKAN/25/A0406,23-05-2025,Kannada,Daily,Milind Kumar,Milind Kumar,Karnataka,Kalaburagi,View  registration details for BODHI NAADU (KNKAN/25/A0406)
11027,BODHI NEWS,UPHIN/26/A4968,11-06-2026,Hindi,Monthly,AMIT KUMAR SRIVASTAVA,AMIT KUMAR SRIVASTAVA,Uttar Pradesh,Lucknow,View  registration details for BODHI NEWS (UPHIN/26/A4968)
11028,BODHI PRABHAT,UTTHIN/2023/86392,12-02-2024,Hindi,Bimonthly (Once in two months),AVINASH MANI,AVINASH MANI,Uttarakhand,Dehradun,View  registration details for BODHI PRABHAT (UTTHIN/2023/86392)
11029,BODHI SATVA,KNKAN/25/A3437,24-10-2025,Kannada,Daily,RAHUL S HOSAMANI,RAHUL S HOSAMANI,Karnataka,Bagalkot,View  registration details for BODHI SATVA (KNKAN/25/A3437)
11030,BODHI TIMES,MAHMAR/2015/63033,02-07-2015,Marathi,Weekly,SHARDA MANGESH TAYADE,SHARDA MANGESH TAYADE,Maharashtra,Amravati,View  registration details for BODHI TIMES (MAHMAR/2015/63033)
11031,BODHI VRUKSHA,KARKAN/2011/48677,19-03-2013,Kannada,Weekly,Lokesh K V,METROPOLITAN MEDIA COMPANY LTD.,Karnataka,Bengaluru,View  registration details for BODHI VRUKSHA (KARKAN/2011/48677)
11032,BODHISATV MISSION,UPHIN/2014/59038,18-12-2014,Hindi,Monthly,BRIJESH KUMAR BHARTIY,BODHI MANAV KALYAN SAMITI,Uttar Pradesh,Varanasi,View  registration details for BODHISATV MISSION (UPHIN/2014/59038)
11033,BODHISATVA BABASAHEB TODAY,UPHIN/2018/77647,25-06-2019,Hindi,Weekly,GYANPRAKASH JAKHAMI,GYANPRAKASH JAKHAMI,Uttar Pradesh,Lucknow,View  registration details for BODHISATVA BABASAHEB TODAY (UPHIN/2018/77647)
11034,BODHISATVA BABASAHEB TODAY,UPHIN/2015/64643,09-11-2015,Hindi,Monthly,GYANPRAKASH JAKHAMI,GYANPRAKASH JAKHAMI,Uttar Pradesh,Lucknow,View  registration details for BODHISATVA BABASAHEB TODAY (UPHIN/2015/64643)
11035,BODHISATVA VANDANA,MAHMAR/2004/17237,15-03-2012,Marathi,Weekly,DALVI ARUN DASHRATH,ARUN D.DALVI,Maharashtra,Pune,View  registration details for BODHISATVA VANDANA (MAHMAR/2004/17237)
11036,BODHIVRIKSHA,CTBIL/26/A6283,30-07-2026,"Hindi, English",Weekly,SUNIL KUMAR,MISSION MEDIA PRIVATE LIMITED,Chhattisgarh,Raipur,View  registration details for BODHIVRIKSHA (CTBIL/26/A6283)
11037,BODOLAND LAITHUN,ASSBIL/2015/64397,23-10-2015,English,Monthly,DEEPAK KUMAR BASUMATARY,"DIRECTOR OF INFORMATION AND PUBLIC RELATIONS, BTC, KOKRAJHAR",Assam,Kokrajhar,View  registration details for BODOLAND LAITHUN (ASSBIL/2015/64397)
11038,BODOLAND SANSRI,ASSBOD/2013/52614,18-10-2013,English,Daily,BHAKTI BRAHMA,BHAKTI BRAHMA,Assam,Kokrajhar,View  registration details for BODOLAND SANSRI (ASSBOD/2013/52614)
11039,BODOLAND TERRITORIAL COUNCIL GAZETTE,69471,03-12-1998,English,Quarterly,ANITYA KR. BRAHMA,BODOLAND TERRITORIAL COUNCIL SECRETARIAT,Assam,Kokrajhar,View  registration details for BODOLAND TERRITORIAL COUNCIL GAZETTE (69471)
11040,BODOSA,40994,03-06-2013,English,Daily,GARKHWDAO BASUMATARY,GARKHWDAO BASUMATARY,Assam,Kokrajhar,View  registration details for BODOSA (40994)
11041,BODYWEAR BULLETIN,MAHHIN/2006/24429,24-06-2008,Hindi,Monthly,SANJAY R. MANOCHA,SANJAY R. MANOCHA,Maharashtra,Mumbai,View  registration details for BODYWEAR BULLETIN (MAHHIN/2006/24429)
11042,BOGDA KI PUKAR,MPHIN/26/A3755,15-05-2026,Hindi,Fortnightly,ISHRAT BANO,ISHRAT BANO,Madhya Pradesh,Bhopal,View  registration details for BOGDA KI PUKAR (MPHIN/26/A3755)
11043,BOGDA KI PUKAR,MPHIN/2022/87224,08-05-2024,Hindi,Monthly,ISHRAT BANO,ISHRAT BANO,Madhya Pradesh,Bhopal,View  registration details for BOGDA KI PUKAR (MPHIN/2022/87224)
11044,BOHRA LIFE,MPHIN/2016/69992,17-01-2017,Hindi,Monthly,ALI ASGAR,ALI ASGAR,Madhya Pradesh,Bhopal,View  registration details for BOHRA LIFE (MPHIN/2016/69992)
11045,BOHRA NEWS,MPHIN/26/A5557,29-06-2026,Hindi,Monthly,KHUZEMA CHANDA BHAI WALA,KHUZEMA CHANDA BHAI WALA,Madhya Pradesh,Ujjain,View  registration details for BOHRA NEWS (MPHIN/26/A5557)
11046,BOHRA TIMES,MPHIN/2015/65401,04-01-2016,Hindi,Monthly,ANIL RAGHUWANSHI,ANIL RAGHUWANSHI,Madhya Pradesh,Indore,View  registration details for BOHRA TIMES (MPHIN/2015/65401)
11047,BOIER DESH,WBBEN/2005/14921,08-12-2011,Bengali,Quarterly,ZAHRA BASRAI,ABP PVT. LTD.,West Bengal,Kolkata,View  registration details for BOIER DESH (WBBEN/2005/14921)
11048,BOIGHAR BARTA,WBBEN/2017/75515,15-06-2018,Bengali,Quarterly,MOSHARAF HOSSAIN,MOSHARAF HOSSAIN,West Bengal,North 24 Parganas,View  registration details for BOIGHAR BARTA (WBBEN/2017/75515)
11049,BOISAR DARPAN,MAHHIN/2009/40906,28-02-2012,Hindi,Fortnightly,ADALAT K. BHAGAT,ADALAT K. BHAGAT,Maharashtra,Thane,View  registration details for BOISAR DARPAN (MAHHIN/2009/40906)
11050,Boisar Mashal,MHMAR/26/A4446,01-06-2026,Marathi,Weekly,Poonam Pramod Gajbhiye,Poonam Pramod Gajbhiye,Maharashtra,Palghar,View  registration details for Boisar Mashal (MHMAR/26/A4446)
11051,BOISAR SAMACHAR,65933,02-03-1997,Hindi,Fortnightly,RAM PRAKASH NIRALA,RAM PRAKASH NIRALA,Maharashtra,Palghar,View  registration details for BOISAR SAMACHAR (65933)
11052,BOISAR-TARAPUR MITRA,MAHMAR/2012/45172,13-09-2012,Marathi,Monthly,GAJANAN NAMDEO MOHITE,GAJANAN NAMADEO MOHITE,Maharashtra,Thane,View  registration details for BOISAR-TARAPUR MITRA (MAHMAR/2012/45172)
11053,BOITHOKI ADDA,WBBEN/2017/75460,11-06-2018,Bengali,Quarterly,SAUMEN CHATTERJEE,SAUMEN CHATTERJEE,West Bengal,Purba Bardhaman,View  registration details for BOITHOKI ADDA (WBBEN/2017/75460)
11054,BOJJANNA,APBIL/2006/17780,07-12-2006,"Telugu, Hindi",Monthly,SARAGADAM HANUMANTHA RAO,SARAGADAM HANUMANTHARAO,Andhra Pradesh,Visakhapatnam,View  registration details for BOJJANNA (APBIL/2006/17780)
11055,BOKARO KI UDAN,52461,19-11-1992,Hindi,Monthly,AJAY ASHK,AJAY ASHK,Jharkhand,Bokaro,View  registration details for BOKARO KI UDAN (52461)
11056,BOL ANMOL,UPHIN/2008/25252,14-08-2008,Hindi,Weekly,ASHOK GOSWAMI,ASHOK GOSWAMI,Uttar Pradesh,Bulandshahr,View  registration details for BOL ANMOL (UPHIN/2008/25252)
11057,BOL DILLI,RAJHIN/2013/51396,13-08-2013,Hindi,Daily,MANU PRATAP SINGH YADAV,MANU PRATAP SINGH YADAV,Rajasthan,Ganganagar,View  registration details for BOL DILLI (RAJHIN/2013/51396)
11058,BOL NASHIK,MHBIL/25/A2129,08-08-2025,"Marathi, Hindi",Weekly,Irfan shabbir Pathan,Irfan shabbir Pathan,Maharashtra,Nashik,View  registration details for BOL NASHIK (MHBIL/25/A2129)
11059,BOL PANIPAT,HARHIN/2021/85746,17-11-2023,Hindi,Fortnightly,LALIT MOHAN SHARMA,LALIT MOHAN SHARMA,Haryana,Panipat,View  registration details for BOL PANIPAT (HARHIN/2021/85746)
11060,BOL SE BHARUCH PUCHH SE BHARUCH,GJGUJ/26/A0861,30-01-2026,Gujarati,Once In 19 Days,patel gaurav rameshbhai,patel gaurav rameshbhai,Gujarat,Bharuch,View  registration details for BOL SE BHARUCH PUCHH SE BHARUCH (GJGUJ/26/A0861)
11061,BOLA MUMBAI,MAHMAR/2017/72619,24-07-2017,Marathi,Weekly,VIVEK ASHOK JOSHI,VIVEK ASHOK JOSHI,Maharashtra,Mumbai,View  registration details for BOLA MUMBAI (MAHMAR/2017/72619)
11062,BOLBALA SEVA SAMACHAR,GUJGUJ/2008/28800,21-08-2009,Gujarati,Weekly,UPADHYAY JAYESHKUMAR INDUKUMAR,SRI BOLBALA CHERITEBAL TRUST,Gujarat,Rajkot,View  registration details for BOLBALA SEVA SAMACHAR (GUJGUJ/2008/28800)
11063,BOLCHAAL,MAHURD/2009/62047,20-05-2015,Urdu,Daily,MOHD. SABER,MOHAMMED SABER,Maharashtra,Nanded,View  registration details for BOLCHAAL (MAHURD/2009/62047)
11064,BOLCHAAL,MAHHIN/2014/61223,13-04-2015,Hindi,Weekly,MOHAMMED SABER,MOHAMMED SABER,Maharashtra,Nanded,View  registration details for BOLCHAAL (MAHHIN/2014/61223)
11065,BOLCHAAL,MAHMAR/2014/61222,13-04-2015,Marathi,Weekly,MOHAMMED SABER,MOHAMMED SABER,Maharashtra,Nanded,View  registration details for BOLCHAAL (MAHMAR/2014/61222)
11066,BOLCHAAL,70659,12-05-1999,Urdu,Weekly,MOHD. SABER URF BABU RAJ,MOHAMMED SABER RAJ ALI UADER RAJ,Maharashtra,Nanded,View  registration details for BOLCHAAL (70659)
11067,BOLD ADVICE,MPHIN/26/A1832,23-03-2026,Hindi,Monthly,SHADAT BEE,SHADAT BEE,Madhya Pradesh,Bhopal,View  registration details for BOLD ADVICE (MPHIN/26/A1832)
11068,BOLD ADVICE,MPHIN/25/A4078,19-11-2025,Hindi,Quarterly,SHADAT BEE,SHADAT BEE,Madhya Pradesh,Bhopal,View  registration details for BOLD ADVICE (MPHIN/25/A4078)
11069,Bold Bite,GJGUJ/26/A1606,17-03-2026,Gujarati,Fortnightly,Nilesh Nalinbhai Bhatt,Nilesh Nalinbhai Bhatt,Gujarat,Ahmedabad,View  registration details for Bold Bite (GJGUJ/26/A1606)
11070,BOLD GOLD,JKENG/2004/14930,15-06-2011,English,Daily,GAGANPREET KOUR,GAGANPREET KOUR,Jammu and Kashmir,Jammu,View  registration details for BOLD GOLD (JKENG/2004/14930)
11071,BOLD MINUTES,UPHIN/26/A4069,21-05-2026,Hindi,Monthly,PIYUSH SHARMA,PIYUSH SHARMA,Uttar Pradesh,Mathura,View  registration details for BOLD MINUTES (UPHIN/26/A4069)
11072,BOLD NEWS,JKENG/2017/73131,23-11-2017,English,Daily,SHARIFA,SHARIFA,Jammu and Kashmir,Jammu,View  registration details for BOLD NEWS (JKENG/2017/73131)
11073,BOLD NEWS,DELHIN/2016/71460,02-05-2017,Hindi,Daily,NIHAL AHMAD,NIHAL AHMAD,Delhi,New Delhi,View  registration details for BOLD NEWS (DELHIN/2016/71460)
11074,BOLD OUTLINE,KARENG/2018/75957,31-08-2018,English,Quarterly,MADHUKAR GADDAM,WEBWIZ NEW MEDIA PVT LTD,Karnataka,Bengaluru,View  registration details for BOLD OUTLINE (KARENG/2018/75957)
11075,Bold View,GJGUJ/26/A6497,10-08-2026,Gujarati,Weekly,Jani Chetankumar Rajendrakumar,Jani Chetankumar Rajendrakumar,Gujarat,Ahmedabad,View  registration details for Bold View (GJGUJ/26/A6497)
11076,BOLE HUNTI,ODIBIL/2014/56975,05-09-2014,"English, Oriya",Monthly,ANURADHA MOHANTY,PARTICIPATORY ENDEVAOUR FOR CHANGE AND UPLIFTMENT FOR COMMONS FOUNDATION,Odisha,Khordha,View  registration details for BOLE HUNTI (ODIBIL/2014/56975)
11077,BOLLYWOOD AND BEYOND,DELENG/2021/80325,11-10-2021,English,Bimonthly (Once in two months),NARESH SHARMA,NARESH SHARMA,Delhi,New Delhi,View  registration details for BOLLYWOOD AND BEYOND (DELENG/2021/80325)
11078,BOLLYWOOD BLOG,MAHHIN/2009/32907,16-07-2010,Hindi,Monthly,MANOJ KUMAR KAMALA PRASAD YADAV,MANOJ KUMAR KAMALA PRASAD YADAV,Maharashtra,Mumbai,View  registration details for BOLLYWOOD BLOG (MAHHIN/2009/32907)
11079,BOLLYWOOD CINE REPORTER,UPHIN/2013/50311,17-06-2013,Hindi,Weekly,AJAY SHASTRI,AJAY SHASTRI,Uttar Pradesh,Ghaziabad,View  registration details for BOLLYWOOD CINE REPORTER (UPHIN/2013/50311)
11080,BOLLYWOOD EXPRESS,DELHIN/2007/20576,27-07-2007,Hindi,Monthly,S. ZAKI HAIDER,S.ZAKI HAIDER,Delhi,New Delhi,View  registration details for BOLLYWOOD EXPRESS (DELHIN/2007/20576)
11081,BOLLYWOOD MEDIA,MAHBIL/2013/53800,31-12-2013,"English, HINDI",Monthly,AKBAR KHAN,AKBAR KHAN,Maharashtra,Mumbai,View  registration details for BOLLYWOOD MEDIA (MAHBIL/2013/53800)
11082,BOLLYWOOD MIRROR,MAHBIL/2017/73581,20-10-2017,"English, HINDI",Half Yearly,GANPATLAL BHANWARLAL KOTHARI,GANPATLAL BHANWARLAL KOTHARI,Maharashtra,Mumbai,View  registration details for BOLLYWOOD MIRROR (MAHBIL/2017/73581)
11083,BOLLYWOOD REPORTER,UPHIN/2011/42056,09-05-2012,Hindi,Monthly,TRIPURARI SHARAN SRIVASTAVA,TRIPURARI SHARAN SRIVASTAVA,Uttar Pradesh,Bahraich,View  registration details for BOLLYWOOD REPORTER (UPHIN/2011/42056)
11084,Bollywood Sangeet Ki Duniya,MHMUL/25/A1852,17-07-2025,"English, Hindi, Gujarati",Monthly,Vimal Narayan Upadhyaya,Vimal Narayan Upadhyaya,Maharashtra,Mumbai Suburban,View  registration details for Bollywood Sangeet Ki Duniya (MHMUL/25/A1852)
11085,BOLLYWOOD SECRET,WBENG/2014/56864,02-09-2014,English,Monthly,YASH MEHTA,YASH MEHTA,West Bengal,North 24 Parganas,View  registration details for BOLLYWOOD SECRET (WBENG/2014/56864)
11086,BOLLYWOOD STATION,MAHBIL/2015/65565,12-01-2016,"Marathi, Hindi",Quarterly,CHANDRASHEKHAR O. GOSWAMI,CHANDRASHEKHAR O. GOSWAMI,Maharashtra,Mumbai,View  registration details for BOLLYWOOD STATION (MAHBIL/2015/65565)
11087,BOLLYWOOD TOWN,MAHENG/2015/64424,27-10-2015,English,Monthly,SHARMILA MISHRA,SHARMILA MISHRA,Maharashtra,Mumbai,View  registration details for BOLLYWOOD TOWN (MAHENG/2015/64424)
11088,BOLNA JARURI HAI,MPHIN/2023/89609,15-10-2024,HINDI,Weekly,AWADHESH KUMAR CHANDRAVANSHI,AWADHESH KUMAR CHANDRAVANSHI,Madhya Pradesh,Bhopal,View  registration details for BOLNA JARURI HAI (MPHIN/2023/89609)
11089,BOLO BINDAS,GJGUJ/25/A0858,03-06-2025,Gujarati,Fortnightly,Vagadiya Dilipbhai Nathabhai,Vagadiya Dilipbhai Nathabhai,Gujarat,Rajkot,View  registration details for BOLO BINDAS (GJGUJ/25/A0858)
11090,BOLO INDIA,KNENG/26/A6880,14-08-2026,English,Quarterly,KOLAR RAGHUNATHA RAO SUJAY,BOLO-INDIA MEDIA NETWORKS PVT LTD,Karnataka,Bengaluru,View  registration details for BOLO INDIA (KNENG/26/A6880)
11091,BOLO ZINDAGI,BIHHIN/2023/86004,03-01-2024,Hindi,Monthly,RAKESH KUMAR SINGH,RAKESH KUMAR SINGH,Bihar,Patna,View  registration details for BOLO ZINDAGI (BIHHIN/2023/86004)
11092,BOLPUR VIDYAYATAN SAMAYIKI,13892,01-01-1957,Bengali,Annual,KAMLA KANTA NAYEK,BOLPUR H.S.M. SCHOOL,West Bengal,Birbhum,View  registration details for BOLPUR VIDYAYATAN SAMAYIKI (13892)
11093,BOLSE GUJARAT,GUJGUJ/2023/88626,21-08-2024,GUJARATI,Fortnightly,SHAILESHBHAI KHANABHAI CHAUHAN,SHAILESHBHAI KHANABHAI CHAUHAN,Gujarat,Banaskantha,View  registration details for BOLSE GUJARAT (GUJGUJ/2023/88626)
11094,BOLSHEVIK,35978,03-10-1979,Malayalam,Monthly,A.V.M. RYAN,A.V.M. RYAN,Kerala,Thrissur,View  registration details for BOLSHEVIK (35978)
11095,BOLTA AKHBAR,MPHIN/2011/41901,03-05-2012,Hindi,Monthly,SHAZIYA SULTAN,SHAZIYA SULTAN,Madhya Pradesh,Bhopal,View  registration details for BOLTA AKHBAR (MPHIN/2011/41901)
11096,BOLTA BHARAT,MPHIN/2008/30888,08-03-2010,Hindi,Weekly,S.R.ALI,S.R.ALI,Madhya Pradesh,Bhopal,View  registration details for BOLTA BHARAT (MPHIN/2008/30888)
11097,BOLTA BHARAT,MPHIN/2004/13512,29-10-2004,Hindi,Daily,S.R.ALI,S.R.ALI,Madhya Pradesh,Bhopal,View  registration details for BOLTA BHARAT (MPHIN/2004/13512)
11098,BOLTA BHARAT,JHAURD/2022/85702,16-05-2024,Urdu,Daily,ZEBA NOORI,ZEBA NOORI,Jharkhand,Ranchi,View  registration details for BOLTA BHARAT (JHAURD/2022/85702)
11099,BOLTA BHOPAL,MPHIN/2016/72067,02-06-2017,Hindi,Fortnightly,TABREZ KHAN,TABREZ KHAN,Madhya Pradesh,Bhopal,View  registration details for BOLTA BHOPAL (MPHIN/2016/72067)
11100,BOLTA BIJAPUR NEWS,CHHHIN/2022/87304,17-05-2024,Hindi,Quarterly,SAMMAIYA PAGE,SAMMAIYA PAGE,Chhattisgarh,Bijapur,View  registration details for BOLTA BIJAPUR NEWS (CHHHIN/2022/87304)
11101,BOLTA CHHINDWARA,MPHIN/26/A4226,25-05-2026,Hindi,Quarterly,JEGYASA TANDEKAR,JEGYASA TANDEKAR,Madhya Pradesh,Chhindwara,View  registration details for BOLTA CHHINDWARA (MPHIN/26/A4226)
11102,BOLTA JADU,15388,07-06-1968,Hindi,Daily,DEEP CHAND JAIN,DEEP CHAND JAIN,Uttar Pradesh,Jhansi,View  registration details for BOLTA JADU (15388)
11103,BOLTA MESSAGE,MPHIN/2016/71329,27-04-2017,Hindi,Daily,SHOIAB ATHAR,SHOIAB ATHAR,Madhya Pradesh,Bhopal,View  registration details for BOLTA MESSAGE (MPHIN/2016/71329)
11104,BOLTA MESSAGE,MPHIN/2012/46225,06-11-2012,Hindi,Weekly,SHOIAB ATHAR,SHOIAB ATHAR,Madhya Pradesh,Bhopal,View  registration details for BOLTA MESSAGE (MPHIN/2012/46225)
11105,BOLTA NYAY,MPHIN/2019/78667,22-05-2020,Hindi,Weekly,SADIA MANSOOR,SADIA MANSOOR,Madhya Pradesh,Bhopal,View  registration details for BOLTA NYAY (MPHIN/2019/78667)
11106,BOLTA PUNJAB,PBHIN/25/A0101,08-04-2025,Hindi,Weekly,SANJAY KAPOOR,SANJAY KAPOOR,Punjab,Amritsar,View  registration details for BOLTA PUNJAB (PBHIN/25/A0101)
11107,BOLTA RAJASTHAN,RAJHIN/2009/30368,08-10-2012,Hindi,Weekly,MUBARIK ALI,MUBARIK ALI,Rajasthan,Sikar,View  registration details for BOLTA RAJASTHAN (RAJHIN/2009/30368)
11108,BOLTA SHABD,MPHIN/2012/49632,13-05-2013,Hindi,Monthly,SURAJ SINGH RAJPUT,SURAJ SINGH RAJPUT,Madhya Pradesh,Hoshangabad,View  registration details for BOLTA SHABD (MPHIN/2012/49632)
11109,BOLTA TARA,MAHMAR/2021/81046,24-01-2022,Marathi,Monthly,PRAKASH ANANDA MATRE,PRAKASH ANANDA MATRE,Maharashtra,Mumbai,View  registration details for BOLTA TARA (MAHMAR/2021/81046)
11110,BOLTA VOTER,UAHIN/25/A0278,19-05-2025,Hindi,Daily,RATAN SINGH NEGI,RATAN SINGH NEGI,Uttarakhand,Dehradun,View  registration details for BOLTA VOTER (UAHIN/25/A0278)
11111,BOLTEE DIWAREN,38124,06-06-1986,Hindi,Weekly,UMESH KUMAR DIXIT,UMESH KUMAER DIXIT,Madhya Pradesh,Rewa,View  registration details for BOLTEE DIWAREN (38124)
11112,BOLTEE DIWAREN,38540,11-04-1986,Hindi,Weekly,DR. UMESH DIXIT,DR. UMESH DIXIT,Madhya Pradesh,Bhopal,View  registration details for BOLTEE DIWAREN (38540)
11113,BOLTI AWAZ,MPHIN/2016/67058,26-05-2016,Hindi,Monthly,VINAYAK RATHORE,VINAYAK RATHORE,Madhya Pradesh,Bhopal,View  registration details for BOLTI AWAZ (MPHIN/2016/67058)
11114,BOLTI BHOOMI,37083,27-10-1950,Hindi,Weekly,ASHOK KUMAR,ASHOK KUMAR,Delhi,New Delhi,View  registration details for BOLTI BHOOMI (37083)
11115,BOLTI DHARTI,RAJHIN/2021/83287,10-03-2023,Hindi,Fortnightly,BRIJ MOHAN,BRIJ MOHAN,Rajasthan,Sikar,View  registration details for BOLTI DHARTI (RAJHIN/2021/83287)
