SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
46501,NIRMA UNIVERSITY JOURNAL OF BUSINESS AND MANAGEMENT STUDIES,GUJENG/2018/78968,05-06-2023,English,Quarterly,RITU AGARWAL,INSTITUTE OF MANAGEMENT NIRMA UNIVERSITY,Gujarat,Ahmedabad,View  registration details for NIRMA UNIVERSITY JOURNAL OF BUSINESS AND MANAGEMENT STUDIES (GUJENG/2018/78968)
46502,NIRMAL AASHIRWAD,MPHIN/2012/42175,14-05-2012,Hindi,Monthly,MANJU CHANDRA,MANJU CHANDRA,Madhya Pradesh,Bhopal,View  registration details for NIRMAL AASHIRWAD (MPHIN/2012/42175)
46503,NIRMAL AATMA,UPHIN/2021/80018,28-07-2021,Hindi,Daily,TANAY KUMAR DIXIT,TANAY KUMAR DIXIT,Uttar Pradesh,Lucknow,View  registration details for NIRMAL AATMA (UPHIN/2021/80018)
46504,NIRMAL BHAVNA,MPHIN/2017/72069,02-06-2017,Hindi,Monthly,NIRMAL SHRIVASTAVA,NIRMAL SHRIVASTAVA,Madhya Pradesh,Gwalior,View  registration details for NIRMAL BHAVNA (MPHIN/2017/72069)
46505,NIRMAL BHRAMAN,52024,09-01-1991,Hindi,Weekly,PREETI SHARMA,PREETI SHARMA,Madhya Pradesh,Indore,View  registration details for NIRMAL BHRAMAN (52024)
46506,NIRMAL BHUMI,GUJGUJ/2008/36440,25-03-2011,Gujarati,Weekly,JALDIP RAMESHCHANDRA BHATT,JALDEEP RAMESHCHANDRA BHATT,Gujarat,Bhavnagar,View  registration details for NIRMAL BHUMI (GUJGUJ/2008/36440)
46507,NIRMAL DARPAN,MPHIN/2015/61258,15-04-2015,Hindi,Weekly,INDRAJEET SINGH SENGAR,INDRAJEET SINGH SENGAR,Madhya Pradesh,Bhopal,View  registration details for NIRMAL DARPAN (MPHIN/2015/61258)
46508,NIRMAL DHYAN JYOTI,GUJHIN/2018/77156,03-04-2019,Hindi,Monthly,MEHTA SHANTA BEN BALCHANDRA,VISHWA SHANTI NIRMAL DHYAN KENDRA,Gujarat,Junagadh,View  registration details for NIRMAL DHYAN JYOTI (GUJHIN/2018/77156)
46509,Nirmal Dunia,MPHIN/26/A1881,23-03-2026,Hindi,Fortnightly,Gajendra Singh,Gajendra Singh,Madhya Pradesh,Rewa,View  registration details for Nirmal Dunia (MPHIN/26/A1881)
46510,NIRMAL EXPRESS,UTTHIN/2012/42389,18-05-2012,Hindi,Weekly,ABHA JUYAL,ABHA JUYAL,Uttarakhand,Dehradun,View  registration details for NIRMAL EXPRESS (UTTHIN/2012/42389)
46511,NIRMAL GANGA,UTTHIN/2022/86817,05-04-2024,Hindi,Fortnightly,SURAJ KUMAR TAMTA,SURAJ KUMAR TAMTA,Uttarakhand,Udham Singh Nagar,View  registration details for NIRMAL GANGA (UTTHIN/2022/86817)
46512,NIRMAL GANGA,UTTHIN/2011/37796,19-03-2013,Hindi,Fortnightly,SURAJ KUMAR TAMTA,SURAJ KUMAR TAMTA,Uttarakhand,Haridwar,View  registration details for NIRMAL GANGA (UTTHIN/2011/37796)
46513,NIRMAL GUJARAT,GUJGUJ/2015/61984,21-05-2015,Gujarati,Daily,ASHWINBHAI DEVKINANDAN GHUWALEWALA,ASHWINBHAI DEVKINANDAN GHUWALEWALA,Gujarat,Anand,View  registration details for NIRMAL GUJARAT (GUJGUJ/2015/61984)
46514,NIRMAL GUJARAT,GUJGUJ/2007/22995,04-08-2014,Gujarati,Daily,ASHWINBHAI DEVKINANDAN GHUWALEWALA,ASHWINBHAI DEVKINANDAN GHUWALEWALA,Gujarat,Ahmedabad,View  registration details for NIRMAL GUJARAT (GUJGUJ/2007/22995)
46515,NIRMAL GUJARAT,GUJGUJ/2015/62223,27-05-2015,Gujarati,Daily,ASHWINBHAI DEVKINANADAN GHUWALEWALA,ASHWINBHAI DEVKINANDAN GHUWALEWALA,Gujarat,Kheda,View  registration details for NIRMAL GUJARAT (GUJGUJ/2015/62223)
46516,NIRMAL GWALLIOR,MPHIN/2023/89650,15-10-2024,HINDI,Monthly,BHAVANA SHRIVASTAVA,BHAVANA SHRIVASTAVA,Madhya Pradesh,Gwalior,View  registration details for NIRMAL GWALLIOR (MPHIN/2023/89650)
46517,NIRMAL HINDUSTAN,MAHMUL/2019/78416,12-05-2020,"English, Marathi, Hindi",Weekly,LOKESH VARDANSINGH THAKUR,LOKESH VARDANSINGH THAKUR,Maharashtra,Nagpur,View  registration details for NIRMAL HINDUSTAN (MAHMUL/2019/78416)
46518,NIRMAL INDIA,MPHIN/2023/88351,02-08-2024,HINDI,Weekly,KANHAIYA LAL DHARMIK,KANHAIYA LAL DHARMIK,Madhya Pradesh,Bhopal,View  registration details for NIRMAL INDIA (MPHIN/2023/88351)
46519,NIRMAL KAMPTEE,MAHBIL/2014/60990,27-03-2015,"Marathi, Hindi",Weekly,NARESH ATMARAM DHOKE,NARESH ATMARAM DHOKE,Maharashtra,Nagpur,View  registration details for NIRMAL KAMPTEE (MAHBIL/2014/60990)
