SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
40501,MEDIA MOTIVATION,MPHIN/2024/89876,25-10-2024,HINDI,Quarterly,ADITYA SINGH,ADITYA SINGH,Madhya Pradesh,Bhopal,View  registration details for MEDIA MOTIVATION (MPHIN/2024/89876)
40502,MEDIA MOVEMENT,UPHIN/2014/56619,21-08-2014,Hindi,Weekly,SIDDHARTH TRIVEDI,SIDDHARTH TRIVEDI,Uttar Pradesh,Bareilly,View  registration details for MEDIA MOVEMENT (UPHIN/2014/56619)
40503,MEDIA NAADI,TEL/2011/37687,06-06-2011,Telugu,Daily,N. BRAMHAIAH,N. BRAMHAIAH,Andhra Pradesh,Kurnool,View  registration details for MEDIA NAADI (TEL/2011/37687)
40504,MEDIA NAADI,APTEL/25/A1433,27-06-2025,Telugu,Monthly,nallabothula bramhaiah,nallabothula bramhaiah,Andhra Pradesh,Kurnool,View  registration details for MEDIA NAADI (APTEL/25/A1433)
40505,MEDIA NAI SUBAH,DELHIN/2013/54853,06-03-2014,Hindi,Monthly,HAMVIR SINGH,HAMVIR SINGH,Delhi,New Delhi,View  registration details for MEDIA NAI SUBAH (DELHIN/2013/54853)
40506,MEDIA NAYAK,MAHMAR/2010/34439,25-11-2010,Marathi,Weekly,SAU. VRUSHALI PRATAP SARDAR,VRUSHALI PRATAP SARDAR,Maharashtra,Dhule,View  registration details for MEDIA NAYAK (MAHMAR/2010/34439)
40507,MEDIA NEWS,MAHMAR/2014/57154,12-09-2014,Marathi,Fortnightly,PRITAM SUBHASH SHETTY,PRITAM SUBHASH SHETTY,Maharashtra,Mumbai,View  registration details for MEDIA NEWS (MAHMAR/2014/57154)
40508,MEDIA NEWS,TNTAM/2015/62772,22-06-2015,Tamil,Monthly,R. BASKARAN,R. BASKARAN,Tamil Nadu,Chennai,View  registration details for MEDIA NEWS (TNTAM/2015/62772)
40509,MEDIA NEWS CHAMBER,UPHIN/2016/69150,10-11-2016,Hindi,Weekly,SUMAN PANDEY,SUMAN PANDEY,Uttar Pradesh,Lucknow,View  registration details for MEDIA NEWS CHAMBER (UPHIN/2016/69150)
40510,MEDIA NEWS CHAMBER,UPHIN/2023/86783,04-04-2024,Hindi,Monthly,SUMAN PANDEY,SUMAN PANDEY,Uttar Pradesh,Lucknow,View  registration details for MEDIA NEWS CHAMBER (UPHIN/2023/86783)
40511,Media News Line,HRHIN/25/A0423,23-05-2025,Hindi,Daily,ANIL KUMAR,ANIL KUMAR,Haryana,Rohtak,View  registration details for Media News Line (HRHIN/25/A0423)
40512,MEDIA OF READER,GUJGUJ/2001/05184,02-11-2001,Gujarati,Weekly,RAMPRASAD F CHHAVARIA,RAMPRASAD F CHHAVARIA,Gujarat,Ahmedabad,View  registration details for MEDIA OF READER (GUJGUJ/2001/05184)
40513,MEDIA ONE,KERENG/2018/75485,11-06-2018,English,Monthly,Gopakumar P S,Gopakumar P S,Kerala,Ernakulam,View  registration details for MEDIA ONE (KERENG/2018/75485)
40514,MEDIA ONE,KERMAL/2016/68939,19-10-2016,Malayalam,Daily,Gopakumar P S,Gopakumar P S,Kerala,Ernakulam,View  registration details for MEDIA ONE (KERMAL/2016/68939)
40515,MEDIA OPERATION,MAHHIN/2006/17204,20-09-2006,Hindi,Monthly,ABDUL SALAM ALI SHAIKH,ABDUL SALAM ALI SHAIKH,Maharashtra,Mumbai,View  registration details for MEDIA OPERATION (MAHHIN/2006/17204)
40516,MEDIA PAHAL,MPHIN/2016/71686,17-05-2017,Hindi,Monthly,PALASH JUNEJA,PALASH JUNEJA,Madhya Pradesh,Bhopal,View  registration details for MEDIA PAHAL (MPHIN/2016/71686)
40517,MEDIA PAHAL,MPHIN/2017/77353,13-05-2019,Hindi,Daily,PALASH JUNEJA,PALASH JUNEJA,Madhya Pradesh,Bhopal,View  registration details for MEDIA PAHAL (MPHIN/2017/77353)
40518,MEDIA PAKSH,MPHIN/2016/77562,17-06-2019,Hindi,Daily,AMARNATH BHARDWAJ,AMARNATH BHARDWAJ,Madhya Pradesh,Gwalior,View  registration details for MEDIA PAKSH (MPHIN/2016/77562)
40519,MEDIA PANCHAYAT,MPHIN/2012/43014,19-06-2012,Hindi,Daily,SUNIL BUDHWANI,SUNIL BUDHWANI,Madhya Pradesh,Bhopal,View  registration details for MEDIA PANCHAYAT (MPHIN/2012/43014)
40520,MEDIA PARIVAR,UPHIN/2010/44978,30-08-2012,Hindi,Weekly,RAM PYARI,RAM PYARI,Uttar Pradesh,Lucknow,View  registration details for MEDIA PARIVAR (UPHIN/2010/44978)
40521,MEDIA PARIVAR,UPHIN/2016/69237,09-11-2016,Hindi,Daily,RAM PYARI,RAM PYARI,Uttar Pradesh,Lucknow,View  registration details for MEDIA PARIVAR (UPHIN/2016/69237)
40522,MEDIA PARTNER,RAJHIN/2015/60992,27-03-2015,Hindi,Fortnightly,RADHESHYAM NAGA,RADHESHYAM NAGA,Rajasthan,Jaipur,View  registration details for MEDIA PARTNER (RAJHIN/2015/60992)
40523,MEDIA PLANNER,DELENG/2010/37708,06-06-2011,English,Monthly,SUHAIB A. ILYASI,SUHAIB A. ILYASI,Delhi,New Delhi,View  registration details for MEDIA PLANNER (DELENG/2010/37708)
40524,MEDIA PLUS,UPHIN/2009/29128,08-10-2009,Hindi,Monthly,SANTVANA AVASTHI,SANTVANA AVASTHI,Uttar Pradesh,Lucknow,View  registration details for MEDIA PLUS (UPHIN/2009/29128)
40525,MEDIA PLUS BHARAT,RJBIL/25/A4814,05-12-2025,"Hindi, English",Weekly,Ganesh Kumar Prajapati,Media Plus News Private Limited,Rajasthan,Jaipur,View  registration details for MEDIA PLUS BHARAT (RJBIL/25/A4814)
40526,MEDIA POWER,MPHIN/2012/46285,08-11-2012,Hindi,Monthly,RAVINDRA KUMAR DEVLIYA,RAVINDRA KUMAR DEVLIYA,Madhya Pradesh,Bhopal,View  registration details for MEDIA POWER (MPHIN/2012/46285)
40527,MEDIA POWER,APTEL/2018/77763,24-07-2019,Telugu,Fortnightly,G.V.S. BHAGAVAN,G.V.S.BHAGAVAN,Andhra Pradesh,Visakhapatnam,View  registration details for MEDIA POWER (APTEL/2018/77763)
40528,MEDIA PRAMUKH,MPHIN/2014/55550,07-05-2014,Hindi,Weekly,SANJAY VYAS,SANJAY VYAS,Madhya Pradesh,Bhopal,View  registration details for MEDIA PRAMUKH (MPHIN/2014/55550)
40529,MEDIA PRAWAKTA,MPHIN/2013/49019,05-04-2013,Hindi,Weekly,SURESH YADAV,SURESH YADAV,Madhya Pradesh,Indore,View  registration details for MEDIA PRAWAKTA (MPHIN/2013/49019)
40530,MEDIA PRAWAKTA,MPHIN/2012/47929,08-02-2013,Hindi,Monthly,SURESH YADAV,SURESH YADAV,Madhya Pradesh,Indore,View  registration details for MEDIA PRAWAKTA (MPHIN/2012/47929)
40531,MEDIA PUBLICITY,MAHHIN/2011/43573,02-06-2015,Hindi,Weekly,ASHIQ ALI SAYYED,ASHIQ ALI SAYYED,Maharashtra,Mumbai,View  registration details for MEDIA PUBLICITY (MAHHIN/2011/43573)
40532,MEDIA PUSHKAR,BIHHIN/2023/88946,25-09-2024,HINDI,Weekly,ARVIND KUMAR,ARVIND KUMAR,Bihar,Rohtas,View  registration details for MEDIA PUSHKAR (BIHHIN/2023/88946)
40533,MEDIA QUALITY,MPHIN/2021/80433,15-11-2021,Hindi,Monthly,SAYRA,SAYRA,Madhya Pradesh,Bhopal,View  registration details for MEDIA QUALITY (MPHIN/2021/80433)
40534,MEDIA RAAJ,MPHIN/2015/62102,26-05-2015,Hindi,Weekly,REKHA RAJESH MISHRA,REKHA RAJESH MISHRA,Madhya Pradesh,Rewa,View  registration details for MEDIA RAAJ (MPHIN/2015/62102)
40535,MEDIA RATH,MPHIN/2015/60601,05-03-2015,Hindi,Monthly,PANKAJ,PANKAJ,Madhya Pradesh,Bhopal,View  registration details for MEDIA RATH (MPHIN/2015/60601)
40536,MEDIA RELATION,MPHIN/2014/57676,10-10-2014,Hindi,Monthly,SANJAY KUMAR ROKADE,SANJAY KUMAR ROKARE,Madhya Pradesh,Indore,View  registration details for MEDIA RELATION (MPHIN/2014/57676)
40537,MEDIA REVIEW,DELURD/2014/55234,,Urdu,Monthly,SUHAIL ANJUM,SUHAIL ANJUM,Delhi,New Delhi,View  registration details for MEDIA REVIEW (DELURD/2014/55234)
40538,MEDIA SAAR,UPHIN/1999/00131,19-01-2000,Hindi,Weekly,MAHENDRA SINGH YADAV,MAHENDRA SINGH YADAV,Uttar Pradesh,Ghaziabad,View  registration details for MEDIA SAAR (UPHIN/1999/00131)
40539,MEDIA SAFARNAMA,HARHIN/2015/62024,21-05-2015,Hindi,Daily,SAGAR BANSAL,SAGAR BANSAL,Haryana,Kurukshetra,View  registration details for MEDIA SAFARNAMA (HARHIN/2015/62024)
40540,MEDIA SAMRAT,62195,13-09-1995,HINDI,Weekly,SACHIN KUMAR SHARMA,SACHIN KUMAR SHARMA,Madhya Pradesh,Rewa,View  registration details for MEDIA SAMRAT (62195)
40541,MEDIA SANDESH,MAHBIL/2007/27379,01-04-2009,"Marathi, Hindi",Weekly,Abdulhaq Hayat Shaikh,ABDUL HAQ HAYAT SHAIKH,Maharashtra,Thane,View  registration details for MEDIA SANDESH (MAHBIL/2007/27379)
40542,MEDIA SANSAR,DELHIN/2008/25812,10-10-2008,Hindi,Monthly,MOHD. ASLAM,MOHD. ASLAM,Delhi,New Delhi,View  registration details for MEDIA SANSAR (DELHIN/2008/25812)
40543,MEDIA SCAN,DELHIN/2007/27128,02-03-2009,Hindi,Monthly,ASHISH KUMAR ANSHU,ASHISH KUMAR ANSHU,Delhi,New Delhi,View  registration details for MEDIA SCAN (DELHIN/2007/27128)
40544,MEDIA SEARCH,MPHIN/2014/58840,10-12-2014,Hindi,Weekly,MAHENDRA SINGH RAJPUT,MAHENDRA SINGH RAJPUT,Madhya Pradesh,Bhopal,View  registration details for MEDIA SEARCH (MPHIN/2014/58840)
40545,MEDIA SEITHI,TNTAM/2016/73491,11-10-2017,Tamil,Daily,P. R. VELANGAN,P.R.VELANGAN,Tamil Nadu,Chennai,View  registration details for MEDIA SEITHI (TNTAM/2016/73491)
40546,MEDIA SETU,GUJGUJ/2009/40945,01-03-2012,Gujarati,Weekly,GITABEN PRANAVKUMAR PATEL,GITABEN PRANAV KUMAR PATEL,Gujarat,Ahmedabad,View  registration details for MEDIA SETU (GUJGUJ/2009/40945)
40547,MEDIA SETU,GUJGUJ/2014/56738,27-08-2014,Gujarati,Daily,GITABEN PRANAVKUMAR PATEL,GITABEN PRANAV KUMAR PATEL,Gujarat,Ahmedabad,View  registration details for MEDIA SETU (GUJGUJ/2014/56738)
40548,MEDIA SHODH,MAHMAR/2013/53905,07-01-2014,Marathi,Fortnightly,PRAMOD ANANDA ZALTE,PRAMOD ANANDA ZALTE,Maharashtra,Dhule,View  registration details for MEDIA SHODH (MAHMAR/2013/53905)
40549,MEDIA SPECIAL,HARHIN/2008/28221,06-07-2009,Hindi,Daily,DHARMAINDER PRASHER,DHARMAINDER PARASHER,Haryana,Ambala,View  registration details for MEDIA SPECIAL (HARHIN/2008/28221)
40550,MEDIA SPECTRUM,DELENG/2002/07219,15-07-2002,English,Fortnightly,K. K. PADMANABHAN,SPECTRUM INDIA,Delhi,New Delhi,View  registration details for MEDIA SPECTRUM (DELENG/2002/07219)
40551,MEDIA STAND,UPHIN/2021/80776,27-12-2021,Hindi,Daily,SATYENDRA KUMAR SHARMA,SATYENDRA KUMAR SHARMA,Uttar Pradesh,Gorakhpur,View  registration details for MEDIA STAND (UPHIN/2021/80776)
40552,MEDIA STATION,MPHIN/2021/85232,04-10-2023,Hindi,Monthly,M.S.RAJPUT,M.S.RAJPUT,Madhya Pradesh,Bhopal,View  registration details for MEDIA STATION (MPHIN/2021/85232)
40553,MEDIA STRIKE,MAHMUL/2020/90584,03-04-2025,"English, Marathi, Hindi",Weekly,TAK RUSHIKESH RAMESH,TAK RAMESH MAROTIRAO,Maharashtra,Nanded,View  registration details for MEDIA STRIKE (MAHMUL/2020/90584)
40554,MEDIA SUPPORT,CHHHIN/2012/47182,31-12-2012,Hindi,Weekly,ABDUL ASLAM,ABDUL ASLAM,Chhattisgarh,Korba,View  registration details for MEDIA SUPPORT (CHHHIN/2012/47182)
40555,MEDIA SYNDICATE,UPURD/2012/48163,20-02-2013,Urdu,Daily,MOHAMMAD SALEEM KHAN,MOHAMMAD SALEEM KHAN,Uttar Pradesh,Lucknow,View  registration details for MEDIA SYNDICATE (UPURD/2012/48163)
40556,MEDIA TANTRA,MPHIN/2012/46289,08-11-2012,Hindi,Daily,DHARMENDRA SHUKLA,DHARMENDRA SHUKLA,Madhya Pradesh,Indore,View  registration details for MEDIA TANTRA (MPHIN/2012/46289)
40557,MEDIA TENDER,DELHIN/2010/35852,08-07-2013,Hindi,Weekly,ASHOK KUMAR BANSAL,ASHOK KUMAR BANSAL,Delhi,New Delhi,View  registration details for MEDIA TENDER (DELHIN/2010/35852)
40558,MEDIA THE OMBUDSMAN,APENG/2008/23975,19-05-2008,English,Daily,SYED JAFFER ABBAS NADEEM,SYED JAFFER ABBAS NADEEM,Andhra Pradesh,Hyderabad,View  registration details for MEDIA THE OMBUDSMAN (APENG/2008/23975)
40559,Media Times jatiyapatrika,APTEL/26/A2968,29-04-2026,Telugu,Daily,PATAHAN KARESHMA KHATHU,PATAHAN KARESHMA KHATHU,Andhra Pradesh,Kurnool,View  registration details for Media Times jatiyapatrika (APTEL/26/A2968)
40560,MEDIA TIMES LUCKNOW,UPHIN/2010/36774,11-08-2011,Hindi,Weekly,ARMEEN ANSARI,ARMEEN ANSARI,Uttar Pradesh,Lakhimpur Kheri,View  registration details for MEDIA TIMES LUCKNOW (UPHIN/2010/36774)
40561,MEDIA TODAY,TNTAM/2012/55862,06-06-2014,Tamil,Monthly,K. PALANI,K.PALANI,Tamil Nadu,Chennai,View  registration details for MEDIA TODAY (TNTAM/2012/55862)
40562,MEDIA TODAY,APTEL/2011/41879,29-05-2013,Telugu,Monthly,Kunkunoory Koteswar Rao,Kunkunoory Koteswar Rao,Andhra Pradesh,Hyderabad,View  registration details for MEDIA TODAY (APTEL/2011/41879)
