SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
63001,SATYA AHINSA SAMACHAR,GJGUJ/25/A0377,22-05-2025,Gujarati,Weekly,Mali Prashant,Mali Prashant,Gujarat,Ahmedabad,View  registration details for SATYA AHINSA SAMACHAR (GJGUJ/25/A0377)
63002,SATYA AHINSHA,GUJBIL/2012/44395,01-08-2012,"Gujarati, Hindi",Weekly,THAKUR AJITSINGH JAYKISHAN,THAKUR AJITSINGH JAYKISHAN,Gujarat,Navsari,View  registration details for SATYA AHINSHA (GUJBIL/2012/44395)
63003,SATYA ALOK,UTTHIN/2019/78060,15-10-2019,Hindi,Weekly,MAHENDRA SINGH,MAHENDRA SINGH,Uttarakhand,Udham Singh Nagar,View  registration details for SATYA ALOK (UTTHIN/2019/78060)
63004,SATYA ANE AHINSA NEWS,GUJGUJ/2023/88746,29-08-2024,GUJARATI,Fortnightly,PATHAN FAIYAZKHAN ABBASKHAN,PATHAN FAIYAZKHAN ABBASKHAN,Gujarat,Ahmedabad,View  registration details for SATYA ANE AHINSA NEWS (GUJGUJ/2023/88746)
63005,Satya ane Nyay,GJGUJ/26/A0509,20-01-2026,Gujarati,Fortnightly,shaikh Naeemudeen,shaikh Naeemudeen,Gujarat,Ahmedabad,View  registration details for Satya ane Nyay (GJGUJ/26/A0509)
63006,SATYA ANVESHI,MPHIN/2015/62412,04-06-2015,Hindi,Weekly,AISHWARY PANDEY,AISHWARY PANDEY,Madhya Pradesh,Bhopal,View  registration details for SATYA ANVESHI (MPHIN/2015/62412)
63007,SATYA APARADHA KAHANEE,ODIODI/2003/17355,17-12-2012,Oriya,Monthly,ALOK KUMAR NAYAK,ALOK KUMAR NAYAK,Odisha,Cuttack,View  registration details for SATYA APARADHA KAHANEE (ODIODI/2003/17355)
63008,SATYA AUR TATHYA,UPHIN/2010/35715,11-02-2011,Hindi,Weekly,DR. RAVINDER RANA,RAVINDRA RANA,Uttar Pradesh,Saharanpur,View  registration details for SATYA AUR TATHYA (UPHIN/2010/35715)
63009,SATYA AWAJ,MPHIN/2001/06979,25-06-2002,HINDI,Monthly,KALPANA SHRIVASTAV,KALPANA SHRIVASTAV,Madhya Pradesh,Bhopal,View  registration details for SATYA AWAJ (MPHIN/2001/06979)
63010,SATYA BAAN,MPHIN/2021/87305,15-05-2024,Hindi,Weekly,JAGDISH SHARMA,JAGDISH SHARMA,Madhya Pradesh,Guna,View  registration details for SATYA BAAN (MPHIN/2021/87305)
63011,SATYA BAAT,RAJHIN/2011/50689,05-07-2013,Hindi,Monthly,NARAYAN RAM CHAUDHARY,NARAYAN RAM CHAUDHARY,Rajasthan,Jodhpur,View  registration details for SATYA BAAT (RAJHIN/2011/50689)
63012,SATYA BANDHU,KARKAN/2015/63689,07-08-2015,Kannada,Fortnightly,SURESHA.R,SURESHA R.,Karnataka,Ramanagara,View  registration details for SATYA BANDHU (KARKAN/2015/63689)
63013,SATYA BANEE,ORORI/26/A4215,25-05-2026,Oriya,Daily,Padma Charan Jena,Padma Charan Jena,Odisha,Jagatsinghapur,View  registration details for SATYA BANEE (ORORI/26/A4215)
63014,SATYA BATMI,MAHMAR/2017/73136,05-09-2017,Marathi,Weekly,PATHAN IMRAN KHAN ABBAS KHAN,PATHAN IMRAN KHAN ABBAS KHAN,Maharashtra,Akola,View  registration details for SATYA BATMI (MAHMAR/2017/73136)
63015,SATYA BHARAT,GUJGUJ/2015/64878,20-11-2015,Gujarati,Daily,JAYSHREEBEN UJJAVALKUMAR DAVE,JAYSHREEBEN UJJAVAL KUMAR DAVAE,Gujarat,Ahmedabad,View  registration details for SATYA BHARAT (GUJGUJ/2015/64878)
63016,SATYA BHASHAN,TRIBEN/2016/67405,06-06-2016,Bengali,Daily,NABENDU BHATTACHARJEE,ATAL MEMORIAL TRUST,Tripura,West Tripura,View  registration details for SATYA BHASHAN (TRIBEN/2016/67405)
63017,SATYA BHAWNA NEWS,UPHIN/2018/76117,20-09-2018,Hindi,Weekly,MALTI RATHORE,MALTI RATHORE,Uttar Pradesh,Ghaziabad,View  registration details for SATYA BHAWNA NEWS (UPHIN/2018/76117)
63018,SATYA BODH,MPHIN/26/A6918,14-08-2026,Hindi,Quarterly,Beni Prasad Ahirwar,Beni Prasad Ahirwar,Madhya Pradesh,Bhopal,View  registration details for SATYA BODH (MPHIN/26/A6918)
63019,SATYA BODHAK SAMAJ,18893,12-11-1970,Marathi,Weekly,DADASAHEB ANANDRAO RAJESHIRKE,DADASAHEB ANANDRAO RAJESHIRKE,Maharashtra,Ahilyanagar,View  registration details for SATYA BODHAK SAMAJ (18893)
63020,Satya Bol,UPHIN/26/A0654,22-01-2026,Hindi,Monthly,Rajesh Mishra,Rajesh Mishra,Uttar Pradesh,Lucknow,View  registration details for Satya Bol (UPHIN/26/A0654)
63021,SATYA BOL,GJGUJ/26/A4895,10-06-2026,Gujarati,Weekly,DHRUTI ANILKUMAR KANSARA,DHRUTI ANILKUMAR KANSARA,Gujarat,Kheda,View  registration details for SATYA BOL (GJGUJ/26/A4895)
63022,SATYA BRAHM PATH,UPHIN/2021/84171,11-05-2023,Hindi,Daily,SANJAY KUMAR AWASTHI,SANJAY KUMAR AWASTHI,Uttar Pradesh,Lucknow,View  registration details for SATYA BRAHM PATH (UPHIN/2021/84171)
63023,SATYA CHAKRA,KARKAN/2017/75249,18-05-2018,Kannada,Fortnightly,PARAMANAND NINGAPPA CHALAWADI,PRAMANAND NINGAPPA CHALAWADI,Chhattisgarh,Bijapur,View  registration details for SATYA CHAKRA (KARKAN/2017/75249)
63024,SATYA CHANKYA NEWS,DELHIN/2017/74538,02-02-2018,Hindi,Fortnightly,SHIV KUMAR DUBEY,SHIV KUMAR DUBEY,Delhi,New Delhi,View  registration details for SATYA CHANKYA NEWS (DELHIN/2017/74538)
63025,SATYA CHETANA,ODIODI/2002/09402,21-03-2003,Oriya,Monthly,JYOSTNA R.MISHRA,JYOSTNA RANI MISHRA,Odisha,Khordha,View  registration details for SATYA CHETANA (ODIODI/2002/09402)
63026,SATYA CHETNA,RJHIN/26/A4596,03-06-2026,Hindi,Daily,RAMESH BHAGCHANDANI,RAMESH BHAGCHANDANI,Rajasthan,Jodhpur,View  registration details for SATYA CHETNA (RJHIN/26/A4596)
63027,SATYA CHITRA,RAJHIN/2014/57225,15-09-2014,Hindi,Fortnightly,SANJAY MEHTA,SANJAY MEHTA,Rajasthan,Jodhpur,View  registration details for SATYA CHITRA (RAJHIN/2014/57225)
63028,SATYA CRIME,MAHMAR/2014/57960,27-10-2014,Marathi,Fortnightly,SANDEEP HARISHCHANDRA DHAKAD,SANDEEP HARISHCHANDRA DHAKAD,Maharashtra,Dhule,View  registration details for SATYA CRIME (MAHMAR/2014/57960)
63029,SATYA DARPAN,51663,07-03-1991,Hindi,Daily,Mohd Bilal,Mohd Bilal,Uttar Pradesh,Muzaffarnagar,View  registration details for SATYA DARPAN (51663)
63030,SATYA DARPAN,GUJGUJ/2013/53300,03-12-2013,Gujarati,Weekly,SANTOSH NAGINBHAI DANTANI,SANTOSH NAGINBHAI DANTANI,Gujarat,Navsari,View  registration details for SATYA DARPAN (GUJGUJ/2013/53300)
63031,SATYA DARPANA,KARKAN/2011/41072,13-03-2012,Kannada,Monthly,M.N. METIYAVAR,M.N. METIYAVAR,Karnataka,Dharwad,View  registration details for SATYA DARPANA (KARKAN/2011/41072)
63032,SATYA DARSHANA,KARKAN/2022/83057,11-01-2023,Kannada,Daily,MALLAPPA P MADAR,MALLAPPA P MADAR,Karnataka,Gadag,View  registration details for SATYA DARSHANA (KARKAN/2022/83057)
63033,SATYA DARSHITA,GUJHIN/2016/66858,13-05-2016,Hindi,Daily,KUMUDCHANDRA DAVE,KUMUDCHANDRA DAVE,Gujarat,Gandhinagar,View  registration details for SATYA DARSHITA (GUJHIN/2016/66858)
63034,SATYA DAY,GUJGUJ/2013/49501,06-05-2013,Gujarati,Daily,GULZAR A. KHAN,GULZAR A. KHAN,Gujarat,Surat,View  registration details for SATYA DAY (GUJGUJ/2013/49501)
63035,SATYA DAY,GUJGUJ/2009/58336,18-11-2014,Gujarati,Daily,GULZAR A. KHAN,GULZAR A. KHAN,Gujarat,The Dangs,View  registration details for SATYA DAY (GUJGUJ/2009/58336)
63036,SATYA DAY,GUJGUJ/2014/55177,03-04-2014,Gujarati,Daily,GULZAR A. KHAN,GULZAR A. KHAN,Gujarat,Vadodara,View  registration details for SATYA DAY (GUJGUJ/2014/55177)
63037,SATYA DAY,GUJGUJ/2006/18673,25-03-2014,Gujarati,Daily,GULZAR A. KHAN,GULZAR A. KHAN,Gujarat,Valsad,View  registration details for SATYA DAY (GUJGUJ/2006/18673)
63038,SATYA DEEPIKA UDAYAM,APTEL/26/A4267,26-05-2026,Telugu,Daily,Seelam Subrahmanyeswara Rao,Seelam Subrahmanyeswara Rao,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,View  registration details for SATYA DEEPIKA UDAYAM (APTEL/26/A4267)
63039,SATYA DEV SAMVAD,UTTBIL/2006/19407,26-04-2007,"English, HINDI",Monthly,B.K.GUPTA,NAVNEET ARORA,Uttarakhand,Haridwar,View  registration details for SATYA DEV SAMVAD (UTTBIL/2006/19407)
63040,SATYA DHEYA,MAHMAR/2008/26976,11-02-2009,Marathi,Weekly,BABAN RAVJI CHAUDHARY,SHOBHA BABAN CHAUDHARI,Maharashtra,Dhule,View  registration details for SATYA DHEYA (MAHMAR/2008/26976)
63041,SATYA DISHA,MPHIN/2016/69595,08-12-2016,Hindi,Monthly,MADHURI PAWAR,MADHURI PAWAR,Madhya Pradesh,Bhopal,View  registration details for SATYA DISHA (MPHIN/2016/69595)
63042,SATYA DUT,13068,01-01-1959,Hindi,Monthly,K. THOMAS,K. THOMAS,Madhya Pradesh,Hoshangabad,View  registration details for SATYA DUT (13068)
63043,SATYA DWANDITA,UPHIN/2018/77551,17-06-2019,Hindi,Weekly,SAMEER KUMAR TRIPATHI,SAMEER KUMAR TRIPATHI,Rajasthan,Pratapgarh,View  registration details for SATYA DWANDITA (UPHIN/2018/77551)
63044,SATYA DWANI,KARKAN/2010/36302,21-03-2011,Kannada,Monthly,RAJAKUMAR FAKKIRAPPA GANIGER,RAJAKUMAR FAKKIRAPPA GANIGER,Karnataka,Dharwad,View  registration details for SATYA DWANI (KARKAN/2010/36302)
