SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
16501,DESH VARTA,19256,21-05-1969,Hindi,Weekly,SHRI MAHESH CHANDRA UPADHYAY,SHRI MAHESH CHANDRA UPADHYAY,Uttar Pradesh,Jhansi,View  registration details for DESH VARTA (19256)
16502,DESH VATAN,UPHIN/2010/36321,21-03-2011,Hindi,Weekly,DESHRAJ VERMA,DESHRAJ VERMA,Uttar Pradesh,Lucknow,View  registration details for DESH VATAN (UPHIN/2010/36321)
16503,DESH VIDESH HEADLINE,PUNMUL/2021/86182,23-01-2024,"English, Punjabi, Hindi",Quarterly,INDERJIT CHANDER,INDERJIT CHANDER,Punjab,Jalandhar,View  registration details for DESH VIDESH HEADLINE (PUNMUL/2021/86182)
16504,DESH VIDESH TIMES,PUNPUN/2008/25314,21-08-2008,Punjabi,Daily,PARAMJIT KAUR GILL,PARAMJIT KAUR GILL,Punjab,Ludhiana,View  registration details for DESH VIDESH TIMES (PUNPUN/2008/25314)
16505,DESH VIDESH TIMES,MAHMAR/2021/90661,23-04-2025,MARATHI,Weekly,SACHIN WAMAN SALUNKE,SACHIN WAMAN SALUNKE,Maharashtra,Raigad,View  registration details for DESH VIDESH TIMES (MAHMAR/2021/90661)
16506,DESH VIKAS,APENG/2014/57359,19-09-2014,English,Quarterly,YANDRATHI VIJAYAKUMARI,YANDRATHI VIJAYAKUMARI,Andhra Pradesh,Visakhapatnam,View  registration details for DESH VIKAS (APENG/2014/57359)
16507,DESH-PARDESH NI AAJKAL,GUJGUJ/2001/09154,27-02-2003,Gujarati,Daily,CHANDRESH DHANRAJ JETHANI,DHANRAJ NEWS & MEDIA PVT. LTD.,Gujarat,Bhavnagar,View  registration details for DESH-PARDESH NI AAJKAL (GUJGUJ/2001/09154)
16508,DESH-PARDESH NI AAJKAL,GUJGUJ/1998/01054,17-05-2000,Gujarati,Daily,CHANDRESH DHANRAJ JETHANI,DHANRAJ NEWS & MEDIA PVT. LTD.,Gujarat,Ahmedabad,View  registration details for DESH-PARDESH NI AAJKAL (GUJGUJ/1998/01054)
16509,DESH-PARDESH NI AAJKAL,GUJGUJ/2004/12986,09-08-2004,Gujarati,Daily,CHANDRESH DHANRAJ JETHANI,DHANRAJ NEWS & MEDIA PVT. LTD.,Gujarat,Porbandar,View  registration details for DESH-PARDESH NI AAJKAL (GUJGUJ/2004/12986)
16510,DESHA DOOTHA,KARKAN/2020/79095,19-11-2020,Kannada,Daily,SHARANAPPA GUMAGERI,SHARANAPPA GUMAGERI,Karnataka,Koppal,View  registration details for DESHA DOOTHA (KARKAN/2020/79095)
