SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
76001,UNITECH TIMES,UPHIN/2008/24484,24-06-2008,Hindi,Daily,AMIT KUMAR BAJPAI,AMIT KUMAR BAJPAI,Uttar Pradesh,Lucknow,View  registration details for UNITECH TIMES (UPHIN/2008/24484)
76002,UNITED ACADEMY OF PULMONARY MEDICINE JOURNAL OF RESPIRATORY DISEASES AND ALLIED SCIENCES,RAJENG/2021/81216,08-03-2022,English,Thrice In a Year,DR. RAMAKANT DIXIT,UNITED ACADEMY OF PULMONARY MEDICINE,Rajasthan,Ajmer,View  registration details for UNITED ACADEMY OF PULMONARY MEDICINE JOURNAL OF RESPIRATORY DISEASES AND ALLIED SCIENCES (RAJENG/2021/81216)
76003,UNITED ANCHOR POINT,TGBIL/26/A5447,23-06-2026,"English, Urdu",Daily,ALI HYDER FARISHTA,ALI HYDER FARISHTA,Telangana,Hyderabad,View  registration details for UNITED ANCHOR POINT (TGBIL/26/A5447)
76004,UNITED AVADH,UPHIN/2006/22535,14-01-2008,Hindi,Weekly,VIRENDER SINGH,VIRENDER SINGH,Uttar Pradesh,Lucknow,View  registration details for UNITED AVADH (UPHIN/2006/22535)
76005,UNITED BHARAT,UPHIN/2001/02941,23-02-2001,Hindi,Daily,DILIP KUMAR MISHRA,NAHID RAZA,Uttar Pradesh,Prayagraj,View  registration details for UNITED BHARAT (UPHIN/2001/02941)
76006,UNITED BHARAT,UPHIN/2007/24639,10-07-2008,Hindi,Daily,SUMAN KUMAR JHA,NAHID RAZA,Uttar Pradesh,Lucknow,View  registration details for UNITED BHARAT (UPHIN/2007/24639)
76007,United Bharat,CTHIN/26/A0697,22-01-2026,Hindi,Daily,NAHID RAZA,NAHID RAZA,Chhattisgarh,Raipur,View  registration details for United Bharat (CTHIN/26/A0697)
76008,UNITED CHURCH OF INDIA,DELTAM/2016/70494,27-02-2017,Tamil,Monthly,J. RUSTIN RAJ,UNITED CHURCH OF INDIA,Delhi,New Delhi,View  registration details for UNITED CHURCH OF INDIA (DELTAM/2016/70494)
76009,UNITED CHURCH OF INDIA,DELENG/2016/70496,27-02-2017,English,Monthly,J. RUSTIN RAJ,UNITED CHURCH OF INDIA,Delhi,New Delhi,View  registration details for UNITED CHURCH OF INDIA (DELENG/2016/70496)
76010,UNITED CHURCH OF INDIA,DELHIN/2016/70500,27-02-2017,Hindi,Monthly,J. RUSTIN RAJ,UNITED CHURCH OF INDIA,Delhi,New Delhi,View  registration details for UNITED CHURCH OF INDIA (DELHIN/2016/70500)
76011,UNITED DUNIYA,UPHIN/2022/84447,24-05-2023,Hindi,Weekly,AJAY KUMAR,AJAY KUMAR,Uttar Pradesh,Kanpur Nagar,View  registration details for UNITED DUNIYA (UPHIN/2022/84447)
76012,UNITED FOR INDIA NEWS,GUJGUJ/2018/76111,20-09-2018,Gujarati,Weekly,RAUFAHMED NIAZMOHAMMED SHAIKH,RAUFAHMED NIAZMOHAMMED SHAIKH,Gujarat,Valsad,View  registration details for UNITED FOR INDIA NEWS (GUJGUJ/2018/76111)
76013,UNITED FOUNDATION OF PROFESSIONALS JOURNAL,HARBIL/2022/91149,28-08-2025,"English, HINDI",Weekly,PARVEEN KUMAR,UNITED FOUNDATION OF PROFESSIONALS,Haryana,Gurugram,View  registration details for UNITED FOUNDATION OF PROFESSIONALS JOURNAL (HARBIL/2022/91149)
76014,UNITED HERALD,UPHIN/2014/58364,18-11-2014,Hindi,Weekly,AFSHAN ALTAF,AFSHAN ALTAF,Uttar Pradesh,Lucknow,View  registration details for UNITED HERALD (UPHIN/2014/58364)
76015,UNITED JAMMU,JKENG/2015/64134,11-09-2015,English,Weekly,HARVINDER SINGH,HARVINDER SINGH,Jammu and Kashmir,Jammu,View  registration details for UNITED JAMMU (JKENG/2015/64134)
76016,UNITED KHANDESH,MAHMAR/2022/82702,14-11-2022,Marathi,Daily,NARENDRA WAMAN SONAWANE,NARENDRA WAMAN SONAWANE,Maharashtra,Dhule,View  registration details for UNITED KHANDESH (MAHMAR/2022/82702)
76017,UNITED MAHARASHTRA,MAHHIN/2010/43416,26-06-2012,Hindi,Weekly,SOMNATH MADHAV DUBEY,SOMNATH MADHAV DUBEY,Maharashtra,Thane,View  registration details for UNITED MAHARASHTRA (MAHHIN/2010/43416)
76018,UNITED NEWS,UPHIN/2008/23443,01-04-2008,Hindi,Weekly,ABHAY AGRAWAL,ABHAY AGRAWAL,Uttar Pradesh,Lucknow,View  registration details for UNITED NEWS (UPHIN/2008/23443)
76019,UNITED NEWS CIRCLE,UPHIN/2012/44625,09-08-2012,Hindi,Monthly,INDRAJEET,INDRAJEET,Uttar Pradesh,Chandauli,View  registration details for UNITED NEWS CIRCLE (UPHIN/2012/44625)
76020,UNITED PARIVAR NEWS,UPHIN/2014/57444,23-09-2014,Hindi,Daily,SHALINI,SHALINI,Uttar Pradesh,Lucknow,View  registration details for UNITED PARIVAR NEWS (UPHIN/2014/57444)
76021,UNITED POST,PUNBIL/2023/86000,03-01-2024,"Hindi, Punjabi",Monthly,RITIDEEP KAUR,RITIDEEP KAUR,Punjab,Jalandhar,View  registration details for UNITED POST (PUNBIL/2023/86000)
