SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
55501,RAJYADHIKARAM SADHYAM,APTEL/2021/82969,01-12-2022,Telugu,Monthly,MOSA NAGARAJU,MOSA NAGARAJU,Andhra Pradesh,Visakhapatnam,View  registration details for RAJYADHIKARAM SADHYAM (APTEL/2021/82969)
55502,RAJYAKARTA,MAHMAR/2014/54940,13-03-2014,Marathi,Weekly,MAHADEV PANDURANG GAVALI,MAHADEV PANDURANG GAVALI,Maharashtra,Ahilyanagar,View  registration details for RAJYAKARTA (MAHMAR/2014/54940)
55503,RAJYAKATHA,ODIODI/2017/73822,15-11-2017,Oriya,Weekly,SHASHANKA SEKHAR DASH,SHASHANKA SEKHAR DASH,Odisha,Khordha,View  registration details for RAJYAKATHA (ODIODI/2017/73822)
55504,RAJYAMANCH,MAHMAR/2008/26886,27-01-2009,Marathi,Weekly,TRIMBAK DATTATRYA KUMBHAR,TRIMBAK DATTATRYA KUMBHAR,Maharashtra,Latur,View  registration details for RAJYAMANCH (MAHMAR/2008/26886)
55505,RAJYOG MANAS,MAHMAR/2010/46731,30-11-2012,Marathi,Weekly,JYOTSNA SHASHIKANT PAGARE,JYOTSNA SHASHIKANT PAGARE,Maharashtra,Nashik,View  registration details for RAJYOG MANAS (MAHMAR/2010/46731)
55506,RAJYOG SARANSH,MPHIN/2012/41276,23-03-2012,Hindi,Monthly,RAJ KUMAR GARG,RAJ KUMAR GARG,Madhya Pradesh,Bhopal,View  registration details for RAJYOG SARANSH (MPHIN/2012/41276)
55507,RAKASHNHAR,54940,01-10-1993,Gujarati,Weekly,RASHILABEN MAHENDRABHAI THAKKAR,RASHILABEN MAHENDRABHAI THAKKAR,Gujarat,Bhavnagar,View  registration details for RAKASHNHAR (54940)
55508,RAKAT KRANTI,9903,16-11-1965,Hindi,Weekly,SHRI SUNNO KHAN,SHRI HARI NARAYAN GUPTA,Uttar Pradesh,Jhansi,View  registration details for RAKAT KRANTI (9903)
55509,RAKBA SAMRPAN,CTHIN/26/A1285,19-02-2026,Hindi,Monthly,vivek kumar mishra,vivek kumar mishra,Chhattisgarh,Rajnandgaon,View  registration details for RAKBA SAMRPAN (CTHIN/26/A1285)
55510,RAKESH DOOT,48887,16-02-1991,Hindi,Weekly,CHIMAN LAL SAINI,CHIMAN LAL SAINI,Rajasthan,Rajasthan,View  registration details for RAKESH DOOT (48887)
55511,RAKET OF BHEL,52032,07-01-1991,English,Weekly,C R VISHWAKARMA,C R VISHWAKARMA,Madhya Pradesh,Bhopal,View  registration details for RAKET OF BHEL (52032)
55512,RAKHA PRABH,PUNPUN/2019/77860,20-08-2019,Punjabi,Weekly,GURPREET SINGH SIDHU,GURPREET SINGH SIDHU,Punjab,Jalandhar,View  registration details for RAKHA PRABH (PUNPUN/2019/77860)
55513,RAKHAN,MAHMAR/2013/53830,02-01-2014,Marathi,Weekly,SHAILENDRA SUBHASH ISHI,SHAILENDRA SUBHASH ISHI,Maharashtra,Nandurbar,View  registration details for RAKHAN (MAHMAR/2013/53830)
55514,RAKHEWAL,20508,12-12-2005,Gujarati,Daily,AMNATLAL BADANMAL SHETH,TARUN KUMAR AMRUTLAL SETH,Gujarat,Banaskantha,View  registration details for RAKHEWAL (20508)
55515,RAKHI GARIMA,RAJHIN/2013/61922,14-05-2015,Hindi,Weekly,PRADEEP KUMAR GAUR,PRADEEP KUMAR GAUR,Rajasthan,Karauli,View  registration details for RAKHI GARIMA (RAJHIN/2013/61922)
55516,RAKNO,3660,04-05-2010,"English, KONKANI",Weekly,Rupesh Ashok Madtha,M/S. DEEPTI TRUST,Karnataka,Dakshina Kannada,View  registration details for RAKNO (3660)
55517,RAKSHA,APTEL/2002/11331,27-11-2003,Telugu,Daily,BUDDIGA GOPI,BUDDIGA GOPI,Telangana,Medak,View  registration details for RAKSHA (APTEL/2002/11331)
55518,RAKSHA ANIRVEDA,DELENG/2018/76856,15-02-2019,English,Quarterly,AJIT KUMAR THAKUR,AJIT KUMAR THAKUR,Delhi,New Delhi,View  registration details for RAKSHA ANIRVEDA (DELENG/2018/76856)
55519,RAKSHA DARPAN,UTTHIN/2016/73409,26-09-2017,Hindi,Weekly,RAKSHA SHARMA,RAKSHA SHARMA,Uttarakhand,Dehradun,View  registration details for RAKSHA DARPAN (UTTHIN/2016/73409)
55520,RAKSHA KAVACHA,KARKAN/2023/88283,02-08-2024,KANNADA,Daily,SHOBHA NANAPPA MAVARAKAR,SHOBHA NANAPPA MAVARAKAR,Karnataka,Belagavi,View  registration details for RAKSHA KAVACHA (KARKAN/2023/88283)
55521,RAKSHA SUTRA,UPHIN/26/A4457,01-06-2026,Hindi,Daily,Shashi devi,Shashi devi,Uttar Pradesh,Basti,View  registration details for RAKSHA SUTRA (UPHIN/26/A4457)
55522,RAKSHA TIMES,MAHHIN/2017/72389,23-06-2017,Hindi,Weekly,KULDEEP SINGH NARENDRA SINGH RATHOD,KULDEEP SINGH NARENDRA SINGH RATHOD,Maharashtra,Gondia,View  registration details for RAKSHA TIMES (MAHHIN/2017/72389)
55523,RAKSHAK JAGAR,MAHMAR/2019/89256,30-09-2024,MARATHI,Weekly,ASHOK MALLU PAWAR,ASHOK MALLU PAWAR,Maharashtra,Sangli,View  registration details for RAKSHAK JAGAR (MAHMAR/2019/89256)
55524,RAKSHAK KE SATHI,GUJGUJ/2022/83085,13-01-2023,Gujarati,Weekly,PRITESH JITENDRABHAI BAROT,PRITESH JITENDRABHAI BAROT,Gujarat,Ahmedabad,View  registration details for RAKSHAK KE SATHI (GUJGUJ/2022/83085)
55525,RAKSHAK KHABAR,DELHIN/2015/62100,25-05-2015,Hindi,Daily,DR.LAXMAN SINGH MEENA,LAXMAN SINGH MEENA,Delhi,New Delhi,View  registration details for RAKSHAK KHABAR (DELHIN/2015/62100)
55526,RAKSHAK KHABAR,DELHIN/2015/65652,15-01-2016,Hindi,Monthly,DR. LAXMAN SINGH MEENA,LAXMAN SINGH MEENA,Delhi,New Delhi,View  registration details for RAKSHAK KHABAR (DELHIN/2015/65652)
55527,RAKSHAK KHABAR,MPHIN/2011/38991,23-09-2011,Hindi,Daily,LAXMAN SINGH MEENA,LAXMAN SINGH MEENA,Madhya Pradesh,Bhopal,View  registration details for RAKSHAK KHABAR (MPHIN/2011/38991)
55528,RAKSHAK PLUS,RAJHIN/2016/68275,12-08-2016,Hindi,Weekly,RAMSWAROOP YADAV,RAMSWAROOP YADAV,Rajasthan,Jaipur,View  registration details for RAKSHAK PLUS (RAJHIN/2016/68275)
55529,Rakshak Prahri,UPHIN/26/A6342,03-08-2026,Hindi,Monthly,Jitesh Kumar Singh,Jitesh Kumar Singh,Uttar Pradesh,Lucknow,View  registration details for Rakshak Prahri (UPHIN/26/A6342)
55530,RAKSHAK RAYTECHA,MAHMAR/2023/88907,13-09-2024,MARATHI,Weekly,NASIR ISAK SHIKALGAR,NASIR ISAK SHIKALGAR,Maharashtra,Satara,View  registration details for RAKSHAK RAYTECHA (MAHMAR/2023/88907)
55531,RAKSHAK STUTI,MPHIN/2022/85002,14-06-2023,Hindi,Quarterly,HEMLATA PANDEY,HEMLATA PANDEY,Madhya Pradesh,Bhopal,View  registration details for RAKSHAK STUTI (MPHIN/2022/85002)
55532,RAKSHANA JYOTHI,TELTEL/2014/73319,20-09-2017,Telugu,Monthly,AMARAVARUPU KOTESWARA RAO,AMARAVARUPU KOTESHWAR RAO,Telangana,Khammam,View  registration details for RAKSHANA JYOTHI (TELTEL/2014/73319)
55533,RAKSHANA MARGAM,TELTEL/2016/72343,23-06-2017,Telugu,Fortnightly,ANUMALLA MALLESHAM EZRA,ANUMALLA MALLESHAM EZRA,Telangana,Karimnagar,View  registration details for RAKSHANA MARGAM (TELTEL/2016/72343)
55534,RAKSHANA SWARAM,APTEL/2014/59663,20-01-2015,Telugu,Monthly,P. W. PURUSHOTHAM,P. W. PURUSHOTHAM,Andhra Pradesh,Anantapur,View  registration details for RAKSHANA SWARAM (APTEL/2014/59663)
55535,RAKSHANA VARTHAMANAM,APTEL/2017/73813,15-11-2017,Telugu,Monthly,T. PADMAPRIYA,T.PADMAPRIYA,Andhra Pradesh,East Godavari,View  registration details for RAKSHANA VARTHAMANAM (APTEL/2017/73813)
55536,RAKSHIT TEHALKA,UPHIN/2008/24880,23-07-2008,Hindi,Weekly,TEJPAL SINGH,TEJPAL SINGH,Uttar Pradesh,Baghpat,View  registration details for RAKSHIT TEHALKA (UPHIN/2008/24880)
55537,RAKSHNA,APTEL/2008/25164,14-08-2008,Telugu,Daily,P. RAVI TEJA,K.SURYA KUMARI @SURYATEJA,Andhra Pradesh,Sri Potti Sriramulu Nellore,View  registration details for RAKSHNA (APTEL/2008/25164)
55538,RAKSHNA,APTEL/2006/16961,27-07-2006,Telugu,Daily,P. RAVI TEJA,K.SURYA KUMARI @SURYATEJA,Andhra Pradesh,Krishna,View  registration details for RAKSHNA (APTEL/2006/16961)
55539,RAKSHNA,APTEL/2008/25170,14-08-2008,Telugu,Daily,P. RAVI TEJA,K.SURYA KUMARI @SURYATEJA,Andhra Pradesh,Eluru,View  registration details for RAKSHNA (APTEL/2008/25170)
55540,RAKSHNA,APTEL/2008/25165,14-08-2008,Telugu,Daily,P. RAVI TEJA,K.SURYA KUMARI @SURYATEJA,Andhra Pradesh,Guntur,View  registration details for RAKSHNA (APTEL/2008/25165)
