SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
25001,HINDUSTAN JANADHAR,UPHIN/2012/47970,12-02-2013,Hindi,Weekly,GARGI JOSHI,LORD BUDDHA WELFARE FOUNDATION,Uttar Pradesh,Lucknow,View  registration details for HINDUSTAN JANADHAR (UPHIN/2012/47970)
25002,HINDUSTAN JANADHAR,UPHIN/2013/53350,03-12-2013,Hindi,Weekly,GARGI JOSHI,LORD BUDDHA WELFARE FOUNDATION,Uttar Pradesh,Balrampur,View  registration details for HINDUSTAN JANADHAR (UPHIN/2013/53350)
25003,HINDUSTAN JANPRATIRODH,DELHIN/2023/88517,22-08-2024,HINDI,Fortnightly,NATASHA VIG,NATASHA VIG,Delhi,New Delhi,View  registration details for HINDUSTAN JANPRATIRODH (DELHIN/2023/88517)
25004,HINDUSTAN JEEV SANDESH,DELHIN/2015/62822,22-06-2015,Hindi,Weekly,YOGI RAVINDRA SWAMI,YOGI RAVINDRA SWAMI,Delhi,New Delhi,View  registration details for HINDUSTAN JEEV SANDESH (DELHIN/2015/62822)
25005,HINDUSTAN JYOTHI,APURD/2010/35557,02-02-2011,Urdu,Daily,SYED IBRAHIM KAFEEL,SYED IBRAHIM KAFEEL,Andhra Pradesh,Hyderabad,View  registration details for HINDUSTAN JYOTHI (APURD/2010/35557)
25006,HINDUSTAN KA ITIHAS,UPHIN/2012/42725,30-05-2012,Hindi,Daily,KRISHNA KUMAR,KRISHAN KUMAR,Uttar Pradesh,Kanpur Nagar,View  registration details for HINDUSTAN KA ITIHAS (UPHIN/2012/42725)
25007,HINDUSTAN KA KHWAB,BIHURD/2014/56778,28-08-2014,Urdu,Daily,KUMKUM KUMARI,KUMKUM KUMARI,Bihar,Patna,View  registration details for HINDUSTAN KA KHWAB (BIHURD/2014/56778)
25008,HINDUSTAN KA PARCHAM,MPHIN/2016/70772,28-03-2017,Hindi,Monthly,ABDUL FARID,ABDUL FARID,Madhya Pradesh,Bhopal,View  registration details for HINDUSTAN KA PARCHAM (MPHIN/2016/70772)
25009,HINDUSTAN KA PRATIK,BIHHIN/2015/62586,15-06-2015,Hindi,Daily,MOHAMMAD GAUHAR,MOHAMMAD GAUHAR,Bihar,Patna,View  registration details for HINDUSTAN KA PRATIK (BIHHIN/2015/62586)
25010,HINDUSTAN KA PRATIK,DELHIN/2023/88640,21-08-2024,HINDI,Daily,MOHAMMAD GAUHAR,MOHAMMAD GAUHAR,Delhi,New Delhi,View  registration details for HINDUSTAN KA PRATIK (DELHIN/2023/88640)
25011,HINDUSTAN KA SWAROOP,40287,18-11-1982,Hindi,Daily,KASHI NATH DWIVEDI,KASHI NATH DWIVEDI,Uttar Pradesh,Deoria,View  registration details for HINDUSTAN KA SWAROOP (40287)
25012,HINDUSTAN KA SWARUP,23459,20-12-1972,Hindi,Weekly,KASHI NATH DIWEDI,BRAHMANAND SAXENA,Uttar Pradesh,Deoria,View  registration details for HINDUSTAN KA SWARUP (23459)
25013,HINDUSTAN KAL TAK,UPHIN/2014/55389,22-04-2014,Hindi,Daily,SACHIN JAIN,SACHIN JAIN,Uttar Pradesh,Lucknow,View  registration details for HINDUSTAN KAL TAK (UPHIN/2014/55389)
25014,HINDUSTAN KAL TAK,GUJHIN/2014/57095,10-09-2014,Hindi,Daily,SACHIN JAIN,SACHIN JAIN,Gujarat,Ahmedabad,View  registration details for HINDUSTAN KAL TAK (GUJHIN/2014/57095)
25015,HINDUSTAN KAL TAK,UTTHIN/2012/42976,15-06-2012,Hindi,Daily,SACHIN JAIN,SACHIN JAIN,Uttarakhand,Dehradun,View  registration details for HINDUSTAN KAL TAK (UTTHIN/2012/42976)
25016,HINDUSTAN KAL TAK,UPHIN/2013/52887,31-10-2013,Hindi,Daily,SACHIN JAIN,SACHIN JAIN,Uttar Pradesh,Ghaziabad,View  registration details for HINDUSTAN KAL TAK (UPHIN/2013/52887)
25017,HINDUSTAN KAL TAK,DELHIN/2005/15619,20-10-2011,Hindi,Daily,SACHIN JAIN,SACHIN JAIN,Delhi,New Delhi,View  registration details for HINDUSTAN KAL TAK (DELHIN/2005/15619)
25018,HINDUSTAN KE AMAN KA ELAAN,MAHHIN/2000/07736,26-10-2012,Hindi,Weekly,SAYYED MOINUDDIN BADESAHAB,SAYYED MOINUDDIN BADESAHAB,Maharashtra,Latur,View  registration details for HINDUSTAN KE AMAN KA ELAAN (MAHHIN/2000/07736)
25019,HINDUSTAN KEE JAAN,RAJHIN/2023/87050,26-04-2024,Hindi,Daily,KULDEEP RAV,KULDEEP RAV,Rajasthan,Churu,View  registration details for HINDUSTAN KEE JAAN (RAJHIN/2023/87050)
