SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
32001,KARANJA EXPRESS,KARENG/2023/85198,20-07-2023,English,Daily,Ajay Bhosle,Ajay Bhosle,Karnataka,Bidar,View  registration details for KARANJA EXPRESS (KARENG/2023/85198)
32002,KARANJA HUNKAR,MAHMAR/2015/64714,09-11-2015,Marathi,Weekly,ANKUSH HIMMATRAO KADU,ANKUSH HIMMATRAO KADU,Maharashtra,Washim,View  registration details for KARANJA HUNKAR (MAHMAR/2015/64714)
32003,KARANJA MAHADAL,MAHHIN/2013/51139,01-08-2013,Hindi,Weekly,M. ARIF A. JALIL POPTE,M. ARIF A. JALIL POPTE,Maharashtra,Washim,View  registration details for KARANJA MAHADAL (MAHHIN/2013/51139)
32004,KARANJA METRO,MAHMAR/2017/74911,23-02-2018,Marathi,Weekly,VILAS SUDAM RAUT,VILAS SUDAM RAUT,Maharashtra,Washim,View  registration details for KARANJA METRO (MAHMAR/2017/74911)
32005,KARANJA PARIVARTAN,MAHMAR/2020/79291,18-01-2021,Marathi,Weekly,RUPALI HEMANT PAPALE,RUPALI HEMANT PAPALE,Maharashtra,Washim,View  registration details for KARANJA PARIVARTAN (MAHMAR/2020/79291)
32006,KARANJA SAMNA,MAHMAR/2011/40700,14-08-2013,Marathi,Weekly,DNYANESHWAR VITTHALJI GHUDE,DNYANESHWAR VITTHALJI GHUDE,Maharashtra,Washim,View  registration details for KARANJA SAMNA (MAHMAR/2011/40700)
32007,KARANJA SWABHIMAN,MAHBIL/2022/83551,09-03-2023,"Marathi, Hindi",Weekly,SALIMKHAN SHERKHAN,SALIMKHAN SHERKHAN,Maharashtra,Washim,View  registration details for KARANJA SWABHIMAN (MAHBIL/2022/83551)
32008,KARANJA VRUTTKESARI,MAHMAR/2014/60679,11-03-2015,Marathi,Weekly,RAMDAS VITTHALRAO MISAL,RAMDAS VITTHALRAO MISAL,Maharashtra,Washim,View  registration details for KARANJA VRUTTKESARI (MAHMAR/2014/60679)
32009,KARANTI DHWAJ,40344,09-08-1983,Hindi,Weekly,VINOD KUMAR TIWARI,VINOD KUMAR TIWARI,Uttar Pradesh,Gorakhpur,View  registration details for KARANTI DHWAJ (40344)
32010,KARANTI NIRNAY,MAHMAR/2009/28372,16-07-2009,Marathi,Weekly,NIZAM DASTGIR SHAIKH,NIZAM DASTGIR SHAIKH,Maharashtra,Latur,View  registration details for KARANTI NIRNAY (MAHMAR/2009/28372)
32011,KARANTI SANGRAM,9981,01-01-1964,Hindi,Weekly,TILAK RAJ BHATIA,TILAK RAJ BHATIA,Haryana,Hisar,View  registration details for KARANTI SANGRAM (9981)
32012,KARANTIGATHA,UTTHIN/2006/18799,13-03-2007,Hindi,Weekly,SHRIRAM GUPTA,SRI RAM GUPTA,Uttarakhand,Dehradun,View  registration details for KARANTIGATHA (UTTHIN/2006/18799)
