SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,Action
54501,RAHI NAYEE RAH KE,44416,31-12-1985,Hindi,Fortnightly,BIJAY KUMAR SINGH,BIJAY KUMAR SINGH,Jharkhand,Purbi Singhbhum,View  registration details for RAHI NAYEE RAH KE (44416)
54502,RAHI SAFARNAMA,MAHURD/2020/79102,23-11-2020,Urdu,Weekly,ANSARI SHAUKAT RAHI YAQOOB ALI,ANSARI SHAUKAT RAHI YAQOOB ALI,Maharashtra,Thane,View  registration details for RAHI SAFARNAMA (MAHURD/2020/79102)
54503,RAHI SAMACHAR,GUJGUJ/2017/71629,16-05-2017,Gujarati,Weekly,MOHSIN YASINBHAI JAVRAWALA,MOHSIN YASINBHAI JAVRAWALA,Gujarat,Ahmedabad,View  registration details for RAHI SAMACHAR (GUJGUJ/2017/71629)
54504,RAHMANIA TIMES,MPHIN/2016/69931,16-01-2017,Hindi,Daily,ABDUR RAHMAN,ABDUR RAHMAN,Madhya Pradesh,Bhopal,View  registration details for RAHMANIA TIMES (MPHIN/2016/69931)
54505,RAHMATABAD TIMES,APTEL/25/A0932,03-06-2025,Telugu,Daily,SHAIK NAZEER AHMED BASHA,SHAIK NAZEER AHMED BASHA,Andhra Pradesh,Kurnool,View  registration details for RAHMATABAD TIMES (APTEL/25/A0932)
54506,RAHMATABAD TIMES,APTEL/26/A3335,11-05-2026,Telugu,Daily,SHAIK NAZEER AHMED BASHA,SHAIK NAZEER AHMED BASHA,Andhra Pradesh,Sri Potti Sriramulu Nellore,View  registration details for RAHMATABAD TIMES (APTEL/26/A3335)
54507,RAHMATH,5833,17-07-1961,Tamil,Monthly,MAULAVI B.A. KALILOOR RAHMAN ROYAJEE,MAULAVI B.A. KALILOOR RAHMAN ROYAJEE,Tamil Nadu,Tirunelveli,View  registration details for RAHMATH (5833)
54508,RAHNUMA E AWAM,APURD/2013/51126,29-07-2013,Urdu,Weekly,SYED WAHEEDUDDIN HYDER,SYED WAHEEDUDDIN HYDER,Andhra Pradesh,Hyderabad,View  registration details for RAHNUMA E AWAM (APURD/2013/51126)
54509,RAHNUMA E BARAR,MAHURD/2017/74356,04-01-2018,Urdu,Weekly,ABRAR AHMAD ZAMEER AHMAD,ABRAR AHMAD ZAMEER AHMAD,Maharashtra,Akola,View  registration details for RAHNUMA E BARAR (MAHURD/2017/74356)
54510,RAHNUMA E DECCAN,APURD/26/A1247,18-02-2026,Urdu,Daily,OMER DRAZ KHAN,RAHNUMA E DECCAN,Andhra Pradesh,N T R,View  registration details for RAHNUMA E DECCAN (APURD/26/A1247)
54511,RAHNUMA E HIND,APURD/2011/39430,29-07-2013,Urdu,Weekly,SYED KARRAR ALI KHAN,SYED KARRAR ALI KHAN,Andhra Pradesh,Hyderabad,View  registration details for RAHNUMA E HIND (APURD/2011/39430)
54512,RAHNUMA E HIND,44968,29-07-2013,Urdu,Daily,SYED KARRAR ALI KHAN,SYED KARRAR ALI KHAN,Telangana,Hyderabad,View  registration details for RAHNUMA E HIND (44968)
54513,RAHNUMA E KHAWATEEN,38983,17-04-1982,Urdu,Weekly,SAMDANI BEGUM,SAMDANI BEGUM,Telangana,Hyderabad,View  registration details for RAHNUMA E KHAWATEEN (38983)
54514,RAHNUMA MANZIL,BIHURD/2023/88947,25-09-2024,URDU,Daily,MOHAMMAD MOZAMMIL ALAM,MOHAMMAD MOZAMMIL ALAM,Bihar,Patna,View  registration details for RAHNUMA MANZIL (BIHURD/2023/88947)
54515,RAHNUMA MANZIL,JHAURD/2020/79447,17-02-2021,Urdu,Daily,MOHAMMAD MOZAMMIL ALAM,MOHAMMAD MOZAMMIL ALAM,Jharkhand,Ranchi,View  registration details for RAHNUMA MANZIL (JHAURD/2020/79447)
54516,RAHNUMA MANZIL,MPURD/2023/88390,12-08-2024,URDU,Daily,MOHAMMAD MOZAMMIL ALAM,MOHAMMAD MOZAMMIL ALAM,Madhya Pradesh,Bhopal,View  registration details for RAHNUMA MANZIL (MPURD/2023/88390)
54517,RAHNUMA-E-AALAM,APURD/2012/42354,18-05-2012,Urdu,Daily,MOHAMMED SHAKEEL,MOHAMMED SHAKEEL,Andhra Pradesh,Hyderabad,View  registration details for RAHNUMA-E-AALAM (APURD/2012/42354)
54518,RAHNUMA-E-DECCAN,3124,12-12-2005,Urdu,Daily,OMER DRAZ KHAN,RAHNUMA-E-DECCAN,Telangana,Hyderabad,View  registration details for RAHNUMA-E-DECCAN (3124)
54519,RAHNUMA-E-MULK,20798,15-03-1972,Urdu,Weekly,QAZI MOHAMED BAHAUDDIN,QAZI MOHD. BAHAUDIIN S/O MOHD. ZIAUDDIN,Maharashtra,Chhatrapati Sambhaji Nagar,View  registration details for RAHNUMA-E-MULK (20798)
54520,RAHON KA SAFAR,66022,04-03-1997,Hindi,Weekly,A. JARAR KHAN,A. JARAR KHAN,Madhya Pradesh,Bhopal,View  registration details for RAHON KA SAFAR (66022)
54521,RAHON KA SAFAR,CHHHIN/2013/53738,27-12-2013,Hindi,Monthly,A. JARIR KHAN,A. JARIR KHAN,Chhattisgarh,Raipur,View  registration details for RAHON KA SAFAR (CHHHIN/2013/53738)
54522,RAHRAWAN E ADAB,WBURD/2017/76433,16-11-2018,Urdu,Quarterly,SHAHNAZ NABI,SHAHNAZ NABI,West Bengal,South 24 Parganas,View  registration details for RAHRAWAN E ADAB (WBURD/2017/76433)
54523,RAHU KA DARPAN,MPHIN/2012/42217,15-05-2012,Hindi,Monthly,OM PRAKASH RAJAURIA,OMPRAKASH RAJAURIA,Madhya Pradesh,Bhopal,View  registration details for RAHU KA DARPAN (MPHIN/2012/42217)
54524,RAHUL ADITYA,MAHMAR/2011/43926,10-07-2012,Marathi,Weekly,SUNIL TANNALAL MISAR,SUNIL TANNALAL MISAR,Maharashtra,Washim,View  registration details for RAHUL ADITYA (MAHMAR/2011/43926)
54525,RAHUL KHOJ,UPHIN/2007/22345,07-01-2008,Hindi,Weekly,SEETA DEVI,SEETA DEVI,Uttar Pradesh,Lucknow,View  registration details for RAHUL KHOJ (UPHIN/2007/22345)
54526,RAHUL KHOJ,UPHIN/25/A5138,15-12-2025,Hindi,Monthly,sita devi,Sita devi,Uttar Pradesh,Lucknow,View  registration details for RAHUL KHOJ (UPHIN/25/A5138)
54527,RAHUL KI LEKHANI,UPHIN/2009/29137,08-10-2009,Hindi,Weekly,RAHUL CHAUBEY,RAHUL CHAUBEY,Uttar Pradesh,Lalitpur,View  registration details for RAHUL KI LEKHANI (UPHIN/2009/29137)
54528,RAHURI WARTA,MAHMAR/2018/75632,25-06-2018,Marathi,Weekly,DAWKHAR KUMAR BHAUSAHEB,DAWKHAR KUMAR BHAUSAHEB,Maharashtra,Ahilyanagar,View  registration details for RAHURI WARTA (MAHMAR/2018/75632)
54529,RAIBAG DARSHAN,KARKAN/2019/85667,09-11-2023,Kannada,Weekly,PRAVEEN PRAKASH PUJERI,PRAVEEN PRAKASH PUJERI,Karnataka,Belagavi,View  registration details for RAIBAG DARSHAN (KARKAN/2019/85667)
54530,RAIBARELEY AMETHI TIMES,MAHHIN/2007/22014,03-12-2007,Hindi,Monthly,DAYASHANKAR MISHRA,DAYASHANKAR MISHRA,Maharashtra,Mumbai,View  registration details for RAIBARELEY AMETHI TIMES (MAHHIN/2007/22014)
54531,RAIBERAELI DARPAN,UPHIN/2006/23180,04-03-2008,Hindi,Weekly,YAKUB KHAN,YAKUB KHAN,Uttar Pradesh,Rae Bareli,View  registration details for RAIBERAELI DARPAN (UPHIN/2006/23180)
54532,RAICHUR DHVANI,KARKAN/2020/79174,11-12-2020,Kannada,Daily,LAXMANA,LAXMANA,Karnataka,Raichur,View  registration details for RAICHUR DHVANI (KARKAN/2020/79174)
54533,RAICHUR EXPRESS,45469,16-07-1986,English,Daily,B S DESHPANDE,B S DESHPANDE,Karnataka,Raichur,View  registration details for RAICHUR EXPRESS (45469)
54534,RAICHUR JWALEY,KARKAN/2019/81933,05-09-2022,Kannada,Monthly,A. MD. RAFI,A MD RAFI,Karnataka,Raichur,View  registration details for RAICHUR JWALEY (KARKAN/2019/81933)
54535,RAICHUR KRANTI,KARKAN/2019/90697,07-05-2025,Kannada,Daily,AZMATH KHAN,AZMATH KHAN,Karnataka,Raichur,View  registration details for RAICHUR KRANTI (KARKAN/2019/90697)
54536,RAICHUR MUNJAVU,KARKAN/2023/88433,12-08-2024,KANNADA,Daily,AMARESH,AMARESH,Karnataka,Raichur,View  registration details for RAICHUR MUNJAVU (KARKAN/2023/88433)
54537,RAICHUR ONLINE NEWS,KARENG/2007/25347,20-08-2008,English,Daily,V. SRIPAD,V. SRIPAD,Karnataka,Raichur,View  registration details for RAICHUR ONLINE NEWS (KARENG/2007/25347)
54538,RAICHUR PRABHA,KARKAN/2001/04797,09-08-2001,Kannada,Daily,SUSHILENDRA SODEGAR,SUSHILENDRA SODEGAR,Karnataka,Raichur,View  registration details for RAICHUR PRABHA (KARKAN/2001/04797)
54539,RAICHUR SAMACHARA,KARKAN/2022/86476,15-02-2024,Kannada,Daily,KIRAN KUMAR,KIRANKUMAR,Karnataka,Raichur,View  registration details for RAICHUR SAMACHARA (KARKAN/2022/86476)
54540,RAICHUR SAMAYA,KARKAN/2017/73976,24-11-2017,Kannada,Fortnightly,KIRAN S.,KIRAN S.,Karnataka,Bengaluru,View  registration details for RAICHUR SAMAYA (KARKAN/2017/73976)
54541,RAICHUR SANJE,KARKAN/2014/59869,29-01-2015,Kannada,Daily,BHEEMARAO P,BHEEMARAO P,Karnataka,Raichur,View  registration details for RAICHUR SANJE (KARKAN/2014/59869)
